Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
C-O800-O800-1M,,Transceivers & SFP Modul,Formfaktor,OSFP,1,Wertliste,Attribut
C-O800-O800-1M,,Transceivers & SFP Modul,Geschwindigkeit,800 Gbit/s,2,Wertliste,Attribut
C-O800-O800-1M,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
C-O800-O800-1M,,Transceivers & SFP Modul,Anschlusstyp,OSFP auf OSFP,6,Wertliste,Attribut
C-O800-O800-1M,,Transceivers & SFP Modul,Länge,1 m,7,Wertliste,Attribut
C-O800-O800-1M,,Transceivers & SFP Modul,Kabeltyp,Passives Twinax-Kupferkabel (DAC),8,Wertliste,Attribut
C-O800-O800-1M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),10,Wertliste,Attribut
C-O800-O800-1M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
C-O800-O800-1M,,Transceivers & SFP Modul,Standard,800GBASE-CR8,14,Wertliste,Attribut
C-O800-O800-2M,,Transceivers & SFP Modul,Formfaktor,OSFP,1,Wertliste,Attribut
C-O800-O800-2M,,Transceivers & SFP Modul,Geschwindigkeit,800 Gbit/s,2,Wertliste,Attribut
C-O800-O800-2M,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
C-O800-O800-2M,,Transceivers & SFP Modul,Anschlusstyp,OSFP auf OSFP,6,Wertliste,Attribut
C-O800-O800-2M,,Transceivers & SFP Modul,Länge,2 m,7,Wertliste,Attribut
C-O800-O800-2M,,Transceivers & SFP Modul,Kabeltyp,Passives Twinax-Kupferkabel (DAC),8,Wertliste,Attribut
C-O800-O800-2M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),10,Wertliste,Attribut
C-O800-O800-2M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
C-O800-O800-2M,,Transceivers & SFP Modul,Standard,800GBASE-CR8,14,Wertliste,Attribut
A-O800-O800-1M,,Transceivers & SFP Modul,Formfaktor,OSFP,1,Wertliste,Attribut
A-O800-O800-1M,,Transceivers & SFP Modul,Geschwindigkeit,800 Gbit/s,2,Wertliste,Attribut
A-O800-O800-1M,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
A-O800-O800-1M,,Transceivers & SFP Modul,Anschlusstyp,OSFP auf OSFP,6,Wertliste,Attribut
A-O800-O800-1M,,Transceivers & SFP Modul,Länge,1 m,7,Wertliste,Attribut
A-O800-O800-1M,,Transceivers & SFP Modul,Kabeltyp,Aktives optisches Kabel (AOC),8,Wertliste,Attribut
A-O800-O800-1M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),10,Wertliste,Attribut
A-O800-O800-1M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
A-O800-O800-3M,,Transceivers & SFP Modul,Formfaktor,OSFP,1,Wertliste,Attribut
