Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
C-O800-O800-1M;Arista C-O800-O800-1M 800G DAC OSFP auf OSFP – passives Direct-Attach-Kupferkabel (DAC), 800GBASE-CR8, Länge 1 m;"<p>Das Arista C-O800-O800-1M ist ein 800-Gigabit-passives Twinax-Kupferkabel (DAC). Über eine Länge von 1 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Ohne aktive Komponenten benötigt es keine eigene Stromversorgung. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista C-O800-O800-1M ist ein 800-Gigabit-passives Direct-Attach-Kupferkabel (DAC) für OSFP auf OSFP und überträgt 800 Gbit/s.</p><p>Über eine feste Länge von 1 m verbindet das C-O800-O800-1M Arista OSFP auf OSFP; als passive Baugruppe kommt es ohne eigene Elektronik und Stromversorgung aus (nach 800GBASE-CR8).</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 1 m; der passive Twinax-Kupferaufbau benötigt keine externe Stromversorgung und unterstützt kein DOM. Über den Anschluss OSFP auf OSFP eignet sich das C-O800-O800-1M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-Direktanschlusskabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/c-o800-o800-1m;0,06;0,22;C-O800-O800-1M;Arista;standard;Stk;Arista C-O800-O800-1M 800G DAC 1 m | Hexwaren;Original Arista C-O800-O800-1M: 800-Gigabit-passives twinax-kupferkabel (dac) OSFP auf OSFP, 800GBASE-CR8, Länge 1 m. Konfektionierte Enden, für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;DAC Kabel;TRUE;Y;Y
C-O800-O800-2M;Arista C-O800-O800-2M 800G DAC OSFP auf OSFP – passives Direct-Attach-Kupferkabel (DAC), 800GBASE-CR8, Länge 2 m;"<p>Das Arista C-O800-O800-2M ist ein 800-Gigabit-passives Twinax-Kupferkabel (DAC). Über eine Länge von 2 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Ohne aktive Komponenten benötigt es keine eigene Stromversorgung. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista C-O800-O800-2M ist ein 800-Gigabit-passives Direct-Attach-Kupferkabel (DAC) für OSFP auf OSFP und überträgt 800 Gbit/s.</p><p>Über eine feste Länge von 2 m verbindet das C-O800-O800-2M Arista OSFP auf OSFP; als passive Baugruppe kommt es ohne eigene Elektronik und Stromversorgung aus (nach 800GBASE-CR8).</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 2 m; der passive Twinax-Kupferaufbau benötigt keine externe Stromversorgung und unterstützt kein DOM. Über den Anschluss OSFP auf OSFP eignet sich das C-O800-O800-2M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-Direktanschlusskabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/c-o800-o800-2m;0,06;0,22;C-O800-O800-2M;Arista;standard;Stk;Arista C-O800-O800-2M 800G DAC 2 m | Hexwaren;Original Arista C-O800-O800-2M: 800-Gigabit-passives twinax-kupferkabel (dac) OSFP auf OSFP, 800GBASE-CR8, Länge 2 m. Konfektionierte Enden, für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;DAC Kabel;TRUE;Y;Y
A-O800-O800-1M;Arista A-O800-O800-1M AOC OSFP auf OSFP – aktives optisches Kabel (AOC), Länge 1 m;"<p>Das Arista A-O800-O800-1M ist ein aktives optisches Kabel (AOC). Über eine Länge von 1 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Die integrierte Optik wird über die Ports versorgt; ein externes Netzteil entfällt. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista A-O800-O800-1M ist ein Ethernet-aktives optisches Kabel (AOC) für OSFP auf OSFP und überträgt .</p><p>Über eine feste Länge von 1 m verbindet das A-O800-O800-1M Arista OSFP auf OSFP; Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 1 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Über den Anschluss OSFP auf OSFP eignet sich das A-O800-O800-1M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-AOC-Kabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/a-o800-o800-1m;0,06;0,22;A-O800-O800-1M;Arista;standard;Stk;Arista A-O800-O800-1M AOC 1 m | Hexwaren;Original Arista A-O800-O800-1M: aktives optisches 800G-Kabel (AOC) mit OSFP-auf-OSFP-Steckern, Länge 1 m. Werkseitig konfektionierte Enden für den Einsatz in Arista-EOS-Switches.;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
A-O800-O800-3M;Arista A-O800-O800-3M AOC OSFP auf OSFP – aktives optisches Kabel (AOC), Länge 3 m;"<p>Das Arista A-O800-O800-3M ist ein aktives optisches Kabel (AOC). Über eine Länge von 3 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Die integrierte Optik wird über die Ports versorgt; ein externes Netzteil entfällt. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista A-O800-O800-3M ist ein Ethernet-aktives optisches Kabel (AOC) für OSFP auf OSFP und überträgt .</p><p>Über eine feste Länge von 3 m verbindet das A-O800-O800-3M Arista OSFP auf OSFP; Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 3 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Über den Anschluss OSFP auf OSFP eignet sich das A-O800-O800-3M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-AOC-Kabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/a-o800-o800-3m;0,06;0,22;A-O800-O800-3M;Arista;standard;Stk;Arista A-O800-O800-3M AOC 3 m | Hexwaren;Original Arista A-O800-O800-3M: aktives optisches 800G-Kabel (AOC) mit OSFP-auf-OSFP-Steckern, Länge 3 m. Werkseitig konfektionierte Enden für den Einsatz in Arista-EOS-Switches.;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
A-O800-O800-5M;Arista A-O800-O800-5M AOC OSFP auf OSFP – aktives optisches Kabel (AOC), Länge 5 m;"<p>Das Arista A-O800-O800-5M ist ein aktives optisches Kabel (AOC). Über eine Länge von 5 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Die integrierte Optik wird über die Ports versorgt; ein externes Netzteil entfällt. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista A-O800-O800-5M ist ein Ethernet-aktives optisches Kabel (AOC) für OSFP auf OSFP und überträgt .</p><p>Über eine feste Länge von 5 m verbindet das A-O800-O800-5M Arista OSFP auf OSFP; Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 5 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Über den Anschluss OSFP auf OSFP eignet sich das A-O800-O800-5M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-AOC-Kabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/a-o800-o800-5m;0,06;0,22;A-O800-O800-5M;Arista;standard;Stk;Arista A-O800-O800-5M AOC 5 m | Hexwaren;Original Arista A-O800-O800-5M: aktives optisches 800G-Kabel (AOC) mit OSFP-auf-OSFP-Steckern, Länge 5 m. Werkseitig konfektionierte Enden für den Einsatz in Arista-EOS-Switches.;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
A-O800-O800-7M;Arista A-O800-O800-7M AOC OSFP auf OSFP – aktives optisches Kabel (AOC), Länge 7 m;"<p>Das Arista A-O800-O800-7M ist ein aktives optisches Kabel (AOC). Über eine Länge von 7 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Die integrierte Optik wird über die Ports versorgt; ein externes Netzteil entfällt. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista A-O800-O800-7M ist ein Ethernet-aktives optisches Kabel (AOC) für OSFP auf OSFP und überträgt .</p><p>Über eine feste Länge von 7 m verbindet das A-O800-O800-7M Arista OSFP auf OSFP; Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 7 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Über den Anschluss OSFP auf OSFP eignet sich das A-O800-O800-7M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-AOC-Kabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/a-o800-o800-7m;0,06;0,22;A-O800-O800-7M;Arista;standard;Stk;Arista A-O800-O800-7M AOC 7 m | Hexwaren;Original Arista A-O800-O800-7M: aktives optisches 800G-Kabel (AOC) mit OSFP-auf-OSFP-Steckern, Länge 7 m. Werkseitig konfektionierte Enden für den Einsatz in Arista-EOS-Switches.;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
A-O800-O800-10M;Arista A-O800-O800-10M AOC OSFP auf OSFP – aktives optisches Kabel (AOC), Länge 10 m;"<p>Das Arista A-O800-O800-10M ist ein aktives optisches Kabel (AOC). Über eine Länge von 10 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Die integrierte Optik wird über die Ports versorgt; ein externes Netzteil entfällt. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista A-O800-O800-10M ist ein Ethernet-aktives optisches Kabel (AOC) für OSFP auf OSFP und überträgt .</p><p>Über eine feste Länge von 10 m verbindet das A-O800-O800-10M Arista OSFP auf OSFP; Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 10 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Über den Anschluss OSFP auf OSFP eignet sich das A-O800-O800-10M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-AOC-Kabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/a-o800-o800-10m;0,06;0,22;A-O800-O800-10M;Arista;standard;Stk;Arista A-O800-O800-10M AOC 10 m | Hexwaren;Original Arista A-O800-O800-10M: -aktives optisches kabel (aoc) OSFP auf OSFP, Länge 10 m. Konfektionierte Enden, für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
A-O800-O800-15M;Arista A-O800-O800-15M AOC OSFP auf OSFP – aktives optisches Kabel (AOC), Länge 15 m;"<p>Das Arista A-O800-O800-15M ist ein aktives optisches Kabel (AOC). Über eine Länge von 15 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Die integrierte Optik wird über die Ports versorgt; ein externes Netzteil entfällt. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista A-O800-O800-15M ist ein Ethernet-aktives optisches Kabel (AOC) für OSFP auf OSFP und überträgt .</p><p>Über eine feste Länge von 15 m verbindet das A-O800-O800-15M Arista OSFP auf OSFP; Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 15 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Über den Anschluss OSFP auf OSFP eignet sich das A-O800-O800-15M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-AOC-Kabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/a-o800-o800-15m;0,06;0,22;A-O800-O800-15M;Arista;standard;Stk;Arista A-O800-O800-15M AOC 15 m | Hexwaren;Original Arista A-O800-O800-15M: -aktives optisches kabel (aoc) OSFP auf OSFP, Länge 15 m. Konfektionierte Enden, für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
A-O800-O800-20M;Arista A-O800-O800-20M AOC OSFP auf OSFP – aktives optisches Kabel (AOC), Länge 20 m;"<p>Das Arista A-O800-O800-20M ist ein aktives optisches Kabel (AOC). Über eine Länge von 20 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Die integrierte Optik wird über die Ports versorgt; ein externes Netzteil entfällt. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista A-O800-O800-20M ist ein Ethernet-aktives optisches Kabel (AOC) für OSFP auf OSFP und überträgt .</p><p>Über eine feste Länge von 20 m verbindet das A-O800-O800-20M Arista OSFP auf OSFP; Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 20 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Über den Anschluss OSFP auf OSFP eignet sich das A-O800-O800-20M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-AOC-Kabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/a-o800-o800-20m;0,06;0,22;A-O800-O800-20M;Arista;standard;Stk;Arista A-O800-O800-20M AOC 20 m | Hexwaren;Original Arista A-O800-O800-20M: -aktives optisches kabel (aoc) OSFP auf OSFP, Länge 20 m. Konfektionierte Enden, für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
A-O800-O800-25M;Arista A-O800-O800-25M AOC OSFP auf OSFP – aktives optisches Kabel (AOC), Länge 25 m;"<p>Das Arista A-O800-O800-25M ist ein aktives optisches Kabel (AOC). Über eine Länge von 25 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Die integrierte Optik wird über die Ports versorgt; ein externes Netzteil entfällt. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista A-O800-O800-25M ist ein Ethernet-aktives optisches Kabel (AOC) für OSFP auf OSFP und überträgt .</p><p>Über eine feste Länge von 25 m verbindet das A-O800-O800-25M Arista OSFP auf OSFP; Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 25 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Über den Anschluss OSFP auf OSFP eignet sich das A-O800-O800-25M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-AOC-Kabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/a-o800-o800-25m;0,06;0,22;A-O800-O800-25M;Arista;standard;Stk;Arista A-O800-O800-25M AOC 25 m | Hexwaren;Original Arista A-O800-O800-25M: -aktives optisches kabel (aoc) OSFP auf OSFP, Länge 25 m. Konfektionierte Enden, für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
