Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
00FE333,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
00FE333,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
00FE333,,Transceivers & SFP Modul,Transceiver Typ,T,3,Wertliste,Attribut
00FE333,,Transceivers & SFP Modul,Fasertyp,Kupfer,5,Wertliste,Attribut
00FE333,,Transceivers & SFP Modul,Anschlusstyp,RJ45,6,Wertliste,Attribut
00FE333,,Transceivers & SFP Modul,Anwendung,Zugriffs-/Verteilnetz (Kupfer),10,Wertliste,Attribut
00FE333,,Transceivers & SFP Modul,Reichweite,bis 100 m,11,Wertliste,Attribut
00FE333,,Transceivers & SFP Modul,DOM Unterstützung,Nein,12,Wertliste,Attribut
00FE333,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
00FE333,,Transceivers & SFP Modul,Standard,1000BASE-T,14,Wertliste,Attribut
81Y1622,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
81Y1622,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
81Y1622,,Transceivers & SFP Modul,Transceiver Typ,SX,3,Wertliste,Attribut
81Y1622,,Transceivers & SFP Modul,Faseranzahl,2,4,Wertliste,Attribut
81Y1622,,Transceivers & SFP Modul,Fasertyp,Multimode,5,Wertliste,Attribut
81Y1622,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
81Y1622,,Transceivers & SFP Modul,Wellenlänge,850 nm,9,Wertliste,Attribut
81Y1622,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Kurzstrecke),10,Wertliste,Attribut
81Y1622,,Transceivers & SFP Modul,Reichweite,bis 550 m,11,Wertliste,Attribut
81Y1622,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
81Y1622,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
81Y1622,,Transceivers & SFP Modul,Standard,1000BASE-SX,14,Wertliste,Attribut
90Y9424,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
90Y9424,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
90Y9424,,Transceivers & SFP Modul,Transceiver Typ,LX,3,Wertliste,Attribut
90Y9424,,Transceivers & SFP Modul,Faseranzahl,2,4,Wertliste,Attribut
90Y9424,,Transceivers & SFP Modul,Fasertyp,Singlemode,5,Wertliste,Attribut
90Y9424,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
90Y9424,,Transceivers & SFP Modul,Wellenlänge,1310 nm,9,Wertliste,Attribut
90Y9424,,Transceivers & SFP Modul,Anwendung,Campus-/Metro-Netz (Langstrecke),10,Wertliste,Attribut
90Y9424,,Transceivers & SFP Modul,Reichweite,bis 10 km,11,Wertliste,Attribut
90Y9424,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
90Y9424,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
90Y9424,,Transceivers & SFP Modul,Standard,1000BASE-LX,14,Wertliste,Attribut
4TC7B13092,,Transceivers & SFP Modul,Formfaktor,SFP+,1,Wertliste,Attribut
4TC7B13092,,Transceivers & SFP Modul,Geschwindigkeit,10 Gbit/s,2,Wertliste,Attribut
4TC7B13092,,Transceivers & SFP Modul,Transceiver Typ,T,3,Wertliste,Attribut
4TC7B13092,,Transceivers & SFP Modul,Fasertyp,Kupfer,5,Wertliste,Attribut
4TC7B13092,,Transceivers & SFP Modul,Anschlusstyp,RJ45,6,Wertliste,Attribut
4TC7B13092,,Transceivers & SFP Modul,Anwendung,Zugriffs-/Verteilnetz (Kupfer),10,Wertliste,Attribut
4TC7B13092,,Transceivers & SFP Modul,Reichweite,bis 30 m,11,Wertliste,Attribut
4TC7B13092,,Transceivers & SFP Modul,DOM Unterstützung,Nein,12,Wertliste,Attribut
4TC7B13092,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
4TC7B13092,,Transceivers & SFP Modul,Standard,10GBASE-T,14,Wertliste,Attribut
7G17A03130,,Transceivers & SFP Modul,Formfaktor,SFP+,1,Wertliste,Attribut
7G17A03130,,Transceivers & SFP Modul,Geschwindigkeit,10 Gbit/s,2,Wertliste,Attribut
7G17A03130,,Transceivers & SFP Modul,Transceiver Typ,T,3,Wertliste,Attribut
7G17A03130,,Transceivers & SFP Modul,Fasertyp,Kupfer,5,Wertliste,Attribut
7G17A03130,,Transceivers & SFP Modul,Anschlusstyp,RJ45,6,Wertliste,Attribut
7G17A03130,,Transceivers & SFP Modul,Anwendung,Zugriffs-/Verteilnetz (Kupfer),10,Wertliste,Attribut
7G17A03130,,Transceivers & SFP Modul,Reichweite,bis 30 m,11,Wertliste,Attribut
7G17A03130,,Transceivers & SFP Modul,DOM Unterstützung,Nein,12,Wertliste,Attribut
7G17A03130,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
7G17A03130,,Transceivers & SFP Modul,Standard,10GBASE-T,14,Wertliste,Attribut
4TC7B12410,,Transceivers & SFP Modul,Formfaktor,SFP+,1,Wertliste,Attribut
4TC7B12410,,Transceivers & SFP Modul,Geschwindigkeit,10 Gbit/s,2,Wertliste,Attribut
4TC7B12410,,Transceivers & SFP Modul,Transceiver Typ,LR,3,Wertliste,Attribut
4TC7B12410,,Transceivers & SFP Modul,Faseranzahl,2,4,Wertliste,Attribut
4TC7B12410,,Transceivers & SFP Modul,Fasertyp,Singlemode,5,Wertliste,Attribut
4TC7B12410,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
4TC7B12410,,Transceivers & SFP Modul,Wellenlänge,1310 nm,9,Wertliste,Attribut
4TC7B12410,,Transceivers & SFP Modul,Anwendung,Campus-/Metro-Netz (Langstrecke),10,Wertliste,Attribut
4TC7B12410,,Transceivers & SFP Modul,Reichweite,bis 10 km,11,Wertliste,Attribut
4TC7B12410,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
4TC7B12410,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
4TC7B12410,,Transceivers & SFP Modul,Standard,10GBASE-LR,14,Wertliste,Attribut
00FE331,,Transceivers & SFP Modul,Formfaktor,SFP+,1,Wertliste,Attribut
00FE331,,Transceivers & SFP Modul,Geschwindigkeit,10 Gbit/s,2,Wertliste,Attribut
00FE331,,Transceivers & SFP Modul,Transceiver Typ,LR,3,Wertliste,Attribut
00FE331,,Transceivers & SFP Modul,Faseranzahl,2,4,Wertliste,Attribut
00FE331,,Transceivers & SFP Modul,Fasertyp,Singlemode,5,Wertliste,Attribut
00FE331,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
00FE331,,Transceivers & SFP Modul,Wellenlänge,1310 nm,9,Wertliste,Attribut
00FE331,,Transceivers & SFP Modul,Anwendung,Campus-/Metro-Netz (Langstrecke),10,Wertliste,Attribut
00FE331,,Transceivers & SFP Modul,Reichweite,bis 10 km,11,Wertliste,Attribut
00FE331,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
00FE331,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
00FE331,,Transceivers & SFP Modul,Standard,10GBASE-LR,14,Wertliste,Attribut
90Y9412,,Transceivers & SFP Modul,Formfaktor,SFP+,1,Wertliste,Attribut
90Y9412,,Transceivers & SFP Modul,Geschwindigkeit,10 Gbit/s,2,Wertliste,Attribut
90Y9412,,Transceivers & SFP Modul,Transceiver Typ,LR,3,Wertliste,Attribut
90Y9412,,Transceivers & SFP Modul,Faseranzahl,2,4,Wertliste,Attribut
90Y9412,,Transceivers & SFP Modul,Fasertyp,Singlemode,5,Wertliste,Attribut
