Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
MA-SFP-1GB-SX;Cisco Meraki MA-SFP-1GB-SX 1000BASE-SX SFP — SX (Kurzstrecke), Multimode, bis 550 m (OM2);<p>Das Cisco-Meraki MA-SFP-1GB-SX ist ein originales 1000BASE-SX-SFP-Modul und überträgt 1 Gbit/s über Multimode bei 850 nm mit Duplex LC-Anschluss, bis 550 m (OM2).</p><p>Es bedient kostengünstige Gigabit-Kurzstreckenverbindungen über Multimode-Glasfaser innerhalb eines Gebäudes oder Rechenzentrums. Laut Datenblatt arbeitet das MA-SFP-1GB-SX nach 1000BASE-SX bei 850 nm und erreicht bis 550 m (OM2).</p>;"<p>Das Cisco-Meraki MA-SFP-1GB-SX ist ein originales 1000BASE-SX-SFP-Modul und überträgt 1 Gbit/s über Multimode bei 850 nm mit Duplex LC-Anschluss, bis 550 m (OM2).</p><p>Es bedient kostengünstige Gigabit-Kurzstreckenverbindungen über Multimode-Glasfaser innerhalb eines Gebäudes oder Rechenzentrums.</p><p>Das MA-SFP-1GB-SX ist im laufenden Betrieb steckbar, fügt sich in Cisco-Meraki-Switches und -Appliances mit passendem Steckplatz ein. Laut Datenblatt arbeitet das MA-SFP-1GB-SX nach 1000BASE-SX mit 1 Gbit/s über Multimode bei 850 nm, die Reichweite beträgt bis 550 m (OM2) und der Anschluss ist Duplex LC; der Betriebstemperaturbereich liegt im kommerziellen Bereich von 0 bis 70 °C. Originaler Meraki-Transceiver für den professionellen Einsatz in Meraki-Netzwerkumgebungen.</p>";meraki/ma-sfp-1gb-sx;0,02;0,15;MA-SFP-1GB-SX;Cisco;standard;Stk;Cisco Meraki MA-SFP-1GB-SX 1000BASE-SX | Hexwaren;Original Cisco Meraki MA-SFP-1GB-SX 1000BASE-SX-SFP kaufen — 1 Gbit/s über Multimode, bis 550 m (OM2), Duplex LC-Anschluss. Für Meraki MS/MX/MR.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
MA-SFP-1GB-LX10;Cisco Meraki MA-SFP-1GB-LX10 1000BASE-LX10 SFP — LX10 (Langstrecke), Singlemode, 10 km;<p>Das Cisco-Meraki MA-SFP-1GB-LX10 ist ein originales 1000BASE-LX10-SFP-Modul und überträgt 1 Gbit/s über Singlemode bei 1310 nm mit Duplex LC-Anschluss, 10 km.</p><p>Es verbindet als Langstreckenmodul Standorte über bis zu 10 Kilometer Singlemode-Glasfaser bei 1310 nm. Laut Datenblatt arbeitet das MA-SFP-1GB-LX10 nach 1000BASE-LX10 bei 1310 nm und erreicht 10 km.</p>;"<p>Das Cisco-Meraki MA-SFP-1GB-LX10 ist ein originales 1000BASE-LX10-SFP-Modul und überträgt 1 Gbit/s über Singlemode bei 1310 nm mit Duplex LC-Anschluss, 10 km.</p><p>Es verbindet als Langstreckenmodul Standorte über bis zu 10 Kilometer Singlemode-Glasfaser bei 1310 nm.</p><p>Das MA-SFP-1GB-LX10 ist im laufenden Betrieb steckbar, fügt sich in Cisco-Meraki-Switches und -Appliances mit passendem Steckplatz ein. Laut Datenblatt arbeitet das MA-SFP-1GB-LX10 nach 1000BASE-LX10 mit 1 Gbit/s über Singlemode bei 1310 nm, die Reichweite beträgt 10 km und der Anschluss ist Duplex LC; der Betriebstemperaturbereich liegt im kommerziellen Bereich von 0 bis 70 °C. Originaler Meraki-Transceiver für den professionellen Einsatz in Meraki-Netzwerkumgebungen.</p>";meraki/ma-sfp-1gb-lx10;0,02;0,15;MA-SFP-1GB-LX10;Cisco;standard;Stk;Cisco Meraki MA-SFP-1GB-LX10 1000BASE-LX10 | Hexwaren;Original Cisco Meraki MA-SFP-1GB-LX10 1000BASE-LX10-SFP kaufen — 1 Gbit/s über Singlemode, 10 km, Duplex LC-Anschluss. Für Meraki MS/MX/MR Campus-/Metro-Netz (Langstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
MA-SFP-1GB-TX;Cisco Meraki MA-SFP-1GB-TX 1000BASE-T SFP — T (Kupfer), Kupfer (Cat-5e), 100 m;<p>Das Cisco-Meraki MA-SFP-1GB-TX ist ein originales 1000BASE-T-SFP-Modul und überträgt 1 Gbit/s über Kupfer (Cat-5e) mit RJ-45-Anschluss, 100 m.</p><p>Es bindet als Kupfer-Ausführung Gigabit Ethernet über bis zu 100 Meter Cat-5e-Verkabelung mit RJ-45-Anschluss an. Laut Datenblatt arbeitet das MA-SFP-1GB-TX nach 1000BASE-T und erreicht 100 m.</p>;"<p>Das Cisco-Meraki MA-SFP-1GB-TX ist ein originales 1000BASE-T-SFP-Modul und überträgt 1 Gbit/s über Kupfer (Cat-5e) mit RJ-45-Anschluss, 100 m.</p><p>Es bindet als Kupfer-Ausführung Gigabit Ethernet über bis zu 100 Meter Cat-5e-Verkabelung mit RJ-45-Anschluss an.</p><p>Das MA-SFP-1GB-TX ist im laufenden Betrieb steckbar, fügt sich in Cisco-Meraki-Switches und -Appliances mit passendem Steckplatz ein. Laut Datenblatt arbeitet das MA-SFP-1GB-TX nach 1000BASE-T mit 1 Gbit/s über Kupfer (Cat-5e), die Reichweite beträgt 100 m und der Anschluss ist RJ-45; der Betriebstemperaturbereich liegt im kommerziellen Bereich von 0 bis 70 °C. Originaler Meraki-Transceiver für den professionellen Einsatz in Meraki-Netzwerkumgebungen.</p>";meraki/ma-sfp-1gb-tx;0,02;0,15;MA-SFP-1GB-TX;Cisco;standard;Stk;Cisco Meraki MA-SFP-1GB-TX 1000BASE-T | Hexwaren;Original Cisco Meraki MA-SFP-1GB-TX 1000BASE-T-SFP kaufen — 1 Gbit/s über Kupfer (Cat-5e), 100 m, RJ-45-Anschluss. Für Meraki MS/MX/MR Zugriffs-/Verteilnetz (Kupfer).;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
MA-SFP-10GB-SR;Cisco Meraki MA-SFP-10GB-SR 10GBASE-SR SFP+ — SR (Kurzstrecke), Multimode, bis 300 m (OM3);<p>Das Cisco-Meraki MA-SFP-10GB-SR ist ein originales 10GBASE-SR-SFP+-Modul und überträgt 10 Gbit/s über Multimode bei 850 nm mit Duplex LC-Anschluss, bis 300 m (OM3).</p><p>Es bedient 10-Gigabit-Kurzstreckenverbindungen über Multimode-Glasfaser im Rechenzentrum. Laut Datenblatt arbeitet das MA-SFP-10GB-SR nach 10GBASE-SR bei 850 nm und erreicht bis 300 m (OM3).</p>;"<p>Das Cisco-Meraki MA-SFP-10GB-SR ist ein originales 10GBASE-SR-SFP+-Modul und überträgt 10 Gbit/s über Multimode bei 850 nm mit Duplex LC-Anschluss, bis 300 m (OM3).</p><p>Es bedient 10-Gigabit-Kurzstreckenverbindungen über Multimode-Glasfaser im Rechenzentrum.</p><p>Das MA-SFP-10GB-SR ist im laufenden Betrieb steckbar, fügt sich in Cisco-Meraki-Switches und -Appliances mit passendem Steckplatz ein. Laut Datenblatt arbeitet das MA-SFP-10GB-SR nach 10GBASE-SR mit 10 Gbit/s über Multimode bei 850 nm, die Reichweite beträgt bis 300 m (OM3) und der Anschluss ist Duplex LC; der Betriebstemperaturbereich liegt im kommerziellen Bereich von 0 bis 70 °C. Originaler Meraki-Transceiver für den professionellen Einsatz in Meraki-Netzwerkumgebungen.</p>";meraki/ma-sfp-10gb-sr;0,02;0,15;MA-SFP-10GB-SR;Cisco;standard;Stk;Cisco Meraki MA-SFP-10GB-SR 10GBASE-SR | Hexwaren;Original Cisco Meraki MA-SFP-10GB-SR 10GBASE-SR-SFP+ kaufen — 10 Gbit/s über Multimode, bis 300 m (OM3), Duplex LC-Anschluss. Für Meraki MS/MX/MR.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
MA-SFP-10GB-LR;Cisco Meraki MA-SFP-10GB-LR 10GBASE-LR SFP+ — LR (Langstrecke), Singlemode, 10 km;<p>Das Cisco-Meraki MA-SFP-10GB-LR ist ein originales 10GBASE-LR-SFP+-Modul und überträgt 10 Gbit/s über Singlemode bei 1310 nm mit Duplex LC-Anschluss, 10 km.</p><p>Es verbindet Standorte über bis zu 10 Kilometer Singlemode-Glasfaser bei 1310 nm. Laut Datenblatt arbeitet das MA-SFP-10GB-LR nach 10GBASE-LR bei 1310 nm und erreicht 10 km.</p>;"<p>Das Cisco-Meraki MA-SFP-10GB-LR ist ein originales 10GBASE-LR-SFP+-Modul und überträgt 10 Gbit/s über Singlemode bei 1310 nm mit Duplex LC-Anschluss, 10 km.</p><p>Es verbindet Standorte über bis zu 10 Kilometer Singlemode-Glasfaser bei 1310 nm.</p><p>Das MA-SFP-10GB-LR ist im laufenden Betrieb steckbar, fügt sich in Cisco-Meraki-Switches und -Appliances mit passendem Steckplatz ein. Laut Datenblatt arbeitet das MA-SFP-10GB-LR nach 10GBASE-LR mit 10 Gbit/s über Singlemode bei 1310 nm, die Reichweite beträgt 10 km und der Anschluss ist Duplex LC; der Betriebstemperaturbereich liegt im kommerziellen Bereich von 0 bis 70 °C. Originaler Meraki-Transceiver für den professionellen Einsatz in Meraki-Netzwerkumgebungen.</p>";meraki/ma-sfp-10gb-lr;0,02;0,15;MA-SFP-10GB-LR;Cisco;standard;Stk;Cisco Meraki MA-SFP-10GB-LR 10GBASE-LR | Hexwaren;Original Cisco Meraki MA-SFP-10GB-LR 10GBASE-LR-SFP+ kaufen — 10 Gbit/s über Singlemode, 10 km, Duplex LC-Anschluss. Für Meraki MS/MX/MR Campus-/Metro-Netz (Langstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
MA-SFP-10GB-LRM;Cisco Meraki MA-SFP-10GB-LRM 10GBASE-LRM SFP+ — LRM (Multimode lang), Multimode, 220 m;<p>Das Cisco-Meraki MA-SFP-10GB-LRM ist ein originales 10GBASE-LRM-SFP+-Modul und überträgt 10 Gbit/s über Multimode bei 1310 nm mit Duplex LC-Anschluss, 220 m.</p><p>Es ist für vorhandene Multimode-Verkabelung ausgelegt und überträgt 10 Gigabit über bis zu 220 Meter ohne Neuverkabelung. Laut Datenblatt arbeitet das MA-SFP-10GB-LRM nach 10GBASE-LRM bei 1310 nm und erreicht 220 m.</p>;"<p>Das Cisco-Meraki MA-SFP-10GB-LRM ist ein originales 10GBASE-LRM-SFP+-Modul und überträgt 10 Gbit/s über Multimode bei 1310 nm mit Duplex LC-Anschluss, 220 m.</p><p>Es ist für vorhandene Multimode-Verkabelung ausgelegt und überträgt 10 Gigabit über bis zu 220 Meter ohne Neuverkabelung.</p><p>Das MA-SFP-10GB-LRM ist im laufenden Betrieb steckbar, fügt sich in Cisco-Meraki-Switches und -Appliances mit passendem Steckplatz ein. Laut Datenblatt arbeitet das MA-SFP-10GB-LRM nach 10GBASE-LRM mit 10 Gbit/s über Multimode bei 1310 nm, die Reichweite beträgt 220 m und der Anschluss ist Duplex LC; der Betriebstemperaturbereich liegt im kommerziellen Bereich von 0 bis 70 °C. Originaler Meraki-Transceiver für den professionellen Einsatz in Meraki-Netzwerkumgebungen.</p>";meraki/ma-sfp-10gb-lrm;0,02;0,15;MA-SFP-10GB-LRM;Cisco;standard;Stk;Cisco Meraki MA-SFP-10GB-LRM 10GBASE-LRM | Hexwaren;Original Cisco Meraki MA-SFP-10GB-LRM 10GBASE-LRM-SFP+ kaufen — 10 Gbit/s über Multimode, 220 m, Duplex LC-Anschluss. Für Meraki MS/MX/MR Rechenzentrum (Kurzstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
MA-SFP-10GB-ER;Cisco Meraki MA-SFP-10GB-ER 10GBASE-ER SFP+ — ER (Weitverkehr), Singlemode, 40 km;<p>Das Cisco-Meraki MA-SFP-10GB-ER ist ein originales 10GBASE-ER-SFP+-Modul und überträgt 10 Gbit/s über Singlemode bei 1550 nm mit Duplex LC-Anschluss, 40 km.</p><p>Es überbrückt als Extended-Reach-Ausführung bis zu 40 Kilometer Singlemode-Glasfaser bei 1550 nm. Laut Datenblatt arbeitet das MA-SFP-10GB-ER nach 10GBASE-ER bei 1550 nm und erreicht 40 km.</p>;"<p>Das Cisco-Meraki MA-SFP-10GB-ER ist ein originales 10GBASE-ER-SFP+-Modul und überträgt 10 Gbit/s über Singlemode bei 1550 nm mit Duplex LC-Anschluss, 40 km.</p><p>Es überbrückt als Extended-Reach-Ausführung bis zu 40 Kilometer Singlemode-Glasfaser bei 1550 nm.</p><p>Das MA-SFP-10GB-ER ist im laufenden Betrieb steckbar, fügt sich in Cisco-Meraki-Switches und -Appliances mit passendem Steckplatz ein. Laut Datenblatt arbeitet das MA-SFP-10GB-ER nach 10GBASE-ER mit 10 Gbit/s über Singlemode bei 1550 nm, die Reichweite beträgt 40 km und der Anschluss ist Duplex LC; der Betriebstemperaturbereich liegt im kommerziellen Bereich von 0 bis 70 °C. Originaler Meraki-Transceiver für den professionellen Einsatz in Meraki-Netzwerkumgebungen.</p>";meraki/ma-sfp-10gb-er;0,02;0,15;MA-SFP-10GB-ER;Cisco;standard;Stk;Cisco Meraki MA-SFP-10GB-ER 10GBASE-ER | Hexwaren;"Original Cisco Meraki MA-SFP-10GB-ER 10GBASE-ER-SFP+ kaufen — 10 Gbit/s über Singlemode, 40 km, Duplex LC-Anschluss. Für Meraki MS/MX/MR Metro-/Weitverkehrsnetz; 1550 nm.";Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
MA-SFP-10GB-ZR;Cisco Meraki MA-SFP-10GB-ZR 10GBASE-ZR SFP+ — ZR (Weitverkehr), Singlemode, 80 km;<p>Das Cisco-Meraki MA-SFP-10GB-ZR ist ein originales 10GBASE-ZR-SFP+-Modul und überträgt 10 Gbit/s über Singlemode bei 1550 nm mit Duplex LC-Anschluss, 80 km.</p><p>Es überbrückt als ZR-Ausführung sehr lange Punkt-zu-Punkt-Strecken bis zu 80 Kilometer über Singlemode-Glasfaser bei 1550 nm. Laut Datenblatt arbeitet das MA-SFP-10GB-ZR nach 10GBASE-ZR bei 1550 nm und erreicht 80 km.</p>;"<p>Das Cisco-Meraki MA-SFP-10GB-ZR ist ein originales 10GBASE-ZR-SFP+-Modul und überträgt 10 Gbit/s über Singlemode bei 1550 nm mit Duplex LC-Anschluss, 80 km.</p><p>Es überbrückt als ZR-Ausführung sehr lange Punkt-zu-Punkt-Strecken bis zu 80 Kilometer über Singlemode-Glasfaser bei 1550 nm.</p><p>Das MA-SFP-10GB-ZR ist im laufenden Betrieb steckbar, fügt sich in Cisco-Meraki-Switches und -Appliances mit passendem Steckplatz ein. Laut Datenblatt arbeitet das MA-SFP-10GB-ZR nach 10GBASE-ZR mit 10 Gbit/s über Singlemode bei 1550 nm, die Reichweite beträgt 80 km und der Anschluss ist Duplex LC; der Betriebstemperaturbereich liegt im kommerziellen Bereich von 0 bis 70 °C. Originaler Meraki-Transceiver für den professionellen Einsatz in Meraki-Netzwerkumgebungen.</p>";meraki/ma-sfp-10gb-zr;0,02;0,15;MA-SFP-10GB-ZR;Cisco;standard;Stk;Cisco Meraki MA-SFP-10GB-ZR 10GBASE-ZR | Hexwaren;Original Cisco Meraki MA-SFP-10GB-ZR 10GBASE-ZR-SFP+ kaufen — 10 Gbit/s über Singlemode, 80 km, Duplex LC-Anschluss. Für Meraki MS/MX/MR Weitverkehrsnetz (Langstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
MA-QSFP-40G-SR4;Cisco Meraki MA-QSFP-40G-SR4 40GBASE-SR4 QSFP+ — SR4 (4×10G parallel), Multimode, bis 150 m (OM4);<p>Das Cisco-Meraki MA-QSFP-40G-SR4 ist ein originales 40GBASE-SR4-QSFP+-Modul und überträgt 40 Gbit/s über Multimode bei 850 nm mit MPO-12-Anschluss, bis 150 m (OM4).</p><p>Es überträgt 40 Gigabit über vier parallele 10-Gigabit-Kanäle auf Multimode-Glasfaser mit MPO-12-Anschluss im Rechenzentrum. Laut Datenblatt arbeitet das MA-QSFP-40G-SR4 nach 40GBASE-SR4 bei 850 nm und erreicht bis 150 m (OM4).</p>;"<p>Das Cisco-Meraki MA-QSFP-40G-SR4 ist ein originales 40GBASE-SR4-QSFP+-Modul und überträgt 40 Gbit/s über Multimode bei 850 nm mit MPO-12-Anschluss, bis 150 m (OM4).</p><p>Es überträgt 40 Gigabit über vier parallele 10-Gigabit-Kanäle auf Multimode-Glasfaser mit MPO-12-Anschluss im Rechenzentrum.</p><p>Das MA-QSFP-40G-SR4 ist im laufenden Betrieb steckbar, fügt sich in Cisco-Meraki-Switches und -Appliances mit passendem Steckplatz ein. Laut Datenblatt arbeitet das MA-QSFP-40G-SR4 nach 40GBASE-SR4 mit 40 Gbit/s über Multimode bei 850 nm, die Reichweite beträgt bis 150 m (OM4) und der Anschluss ist MPO-12; der Betriebstemperaturbereich liegt im kommerziellen Bereich von 0 bis 70 °C. Originaler Meraki-Transceiver für den professionellen Einsatz in Meraki-Netzwerkumgebungen.</p>";meraki/ma-qsfp-40g-sr4;0,05;0,20;MA-QSFP-40G-SR4;Cisco;standard;Stk;Cisco Meraki MA-QSFP-40G-SR4 40GBASE-SR4 | Hexwaren;Original Cisco Meraki MA-QSFP-40G-SR4 40GBASE-SR4-QSFP+ kaufen — 40 Gbit/s über Multimode, bis 150 m (OM4), MPO-12-Anschluss. Für Meraki MS/MX/MR.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP+;TRUE;Y;Y
MA-QSFP-40G-LR4;Cisco Meraki MA-QSFP-40G-LR4 40GBASE-LR4 QSFP+ — LR4 (4× LAN-WDM), Singlemode, 10 km;<p>Das Cisco-Meraki MA-QSFP-40G-LR4 ist ein originales 40GBASE-LR4-QSFP+-Modul und überträgt 40 Gbit/s über Singlemode bei 1271 / 1291 / 1311 / 1331 nm (LAN-WDM) mit Duplex LC-Anschluss, 10 km.</p><p>Es überträgt 40 Gigabit über vier gemultiplexte LAN-WDM-Wellenlängen auf Singlemode-Glasfaser bis zu 10 Kilometer mit Duplex-LC-Anschluss.</p>;"<p>Das Cisco-Meraki MA-QSFP-40G-LR4 ist ein originales 40GBASE-LR4-QSFP+-Modul und überträgt 40 Gbit/s über Singlemode bei 1271 / 1291 / 1311 / 1331 nm (LAN-WDM) mit Duplex LC-Anschluss, 10 km.</p><p>Es überträgt 40 Gigabit über vier gemultiplexte LAN-WDM-Wellenlängen auf Singlemode-Glasfaser bis zu 10 Kilometer mit Duplex-LC-Anschluss.</p><p>Das MA-QSFP-40G-LR4 ist im laufenden Betrieb steckbar, fügt sich in Cisco-Meraki-Switches und -Appliances mit passendem Steckplatz ein. Laut Datenblatt arbeitet das MA-QSFP-40G-LR4 nach 40GBASE-LR4 mit 40 Gbit/s über Singlemode bei 1271 / 1291 / 1311 / 1331 nm (LAN-WDM), die Reichweite beträgt 10 km und der Anschluss ist Duplex LC; der Betriebstemperaturbereich liegt im kommerziellen Bereich von 0 bis 70 °C. Originaler Meraki-Transceiver für den professionellen Einsatz in Meraki-Netzwerkumgebungen.</p>";meraki/ma-qsfp-40g-lr4;0,05;0,20;MA-QSFP-40G-LR4;Cisco;standard;Stk;Cisco Meraki MA-QSFP-40G-LR4 40GBASE-LR4 | Hexwaren;Original Cisco Meraki MA-QSFP-40G-LR4 40GBASE-LR4-QSFP+ kaufen — 40 Gbit/s über Singlemode, 10 km, Duplex LC-Anschluss. Für Meraki MS/MX/MR.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP+;TRUE;Y;Y
