Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
UACC-OM-MM-1G-D;Ubiquiti UACC-OM-MM-1G-D 1G SFP SX-Transceiver – Multimode, LC, bis 550 m;<p>Der Ubiquiti UACC-OM-MM-1G-D ist ein 1-Gigabit-SFP-Transceiver vom Typ SX für Multimode-Glasfaser (1000BASE-SX). Über den LC-Anschluss überbrückt er bis zu 550 m bei 850 nm über 2 Fasern.</p><p>Als Ubiquiti-Original-Neuware (UniFi) wird das Modul versiegelt geliefert, ist im laufenden Betrieb steckbar (Hot-Plug) und für UniFi-Geräte mit SFP-Steckplätzen vorgesehen.</p>;"<p>Der Ubiquiti UACC-OM-MM-1G-D ist ein 1-Gigabit-SFP-Transceiver vom Typ SX und überträgt 1-Gigabit-Ethernet (1000BASE-SX) über Multimode-Glasfaser, eingesetzt in kleinen Büros und Zweigstellen für den Switch-Uplink.</p><p>Der UACC-OM-MM-1G-D stellt die Verbindung über den LC-Anschluss her und überbrückt bis zu 550 m bei 850 nm über 2 Fasern.</p><p>Ausgeliefert wird der UACC-OM-MM-1G-D als versiegelte Ubiquiti-Original-Neuware (UniFi) und ist für UniFi-Geräte mit SFP-Steckplätzen vorgesehen; in der UFiber-Generation wird das Modul auch unter der Bestellnummer UF-MM-1G geführt. Gerade in kleinen Standorten vereinfacht der UACC-OM-MM-1G-D die Verkabelung ohne zusätzliche Medienkonverter. Originaler Ubiquiti-Transceiver für den professionellen Einsatz in Ubiquiti-Netzwerkumgebungen.</p>";ubiquiti/uacc-om-mm-1g-d;0,02;0,15;UACC-OM-MM-1G-D;Ubiquiti;standard;Stk;Ubiquiti UACC-OM-MM-1G-D 1G SFP SX | Hexwaren;Original Ubiquiti UACC-OM-MM-1G-D: SX 1-Gigabit-SFP-Transceiver, Multimode, LC, bis 550 m. Neu, versiegelt, für UniFi Verlässliche UniFi-Optik.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
UACC-OM-SM-1G-S;Ubiquiti UACC-OM-SM-1G-S 1G SFP BX-Transceiver – Singlemode, LC, bis 3 km;<p>Der Ubiquiti UACC-OM-SM-1G-S ist ein 1-Gigabit-SFP-Transceiver vom Typ BX für Singlemode-Glasfaser (1000BASE-BX (BiDi)). Über den LC-Anschluss überbrückt er bis zu 3 km bei 1310 nm (Tx) / 1550 nm (Rx) über 1 Fasern.</p><p>Als Ubiquiti-Original-Neuware (UniFi) wird das Modul versiegelt geliefert, ist im laufenden Betrieb steckbar (Hot-Plug) und für UniFi-Geräte mit SFP-Steckplätzen vorgesehen.</p>;"<p>Der Ubiquiti UACC-OM-SM-1G-S ist ein 1-Gigabit-SFP-Transceiver vom Typ BX und überträgt 1-Gigabit-Ethernet (1000BASE-BX (BiDi)) über Singlemode-Glasfaser, eingesetzt in Prosumer- und Home-Lab-Umgebungen am UniFi-Switch.</p><p>Der UACC-OM-SM-1G-S stellt die Verbindung über den LC-Anschluss her und überbrückt bis zu 3 km bei 1310 nm (Tx) / 1550 nm (Rx) über 1 Fasern.</p><p>Ausgeliefert wird der UACC-OM-SM-1G-S als versiegelte Ubiquiti-Original-Neuware (UniFi) und ist für UniFi-Geräte mit SFP-Steckplätzen vorgesehen; in der UFiber-Generation wird das Modul auch unter der Bestellnummer UF-SM-1G-S geführt. Im Home-Lab lässt sich der UACC-OM-SM-1G-S unkompliziert in bestehende UniFi-Switches einsetzen. Originaler Ubiquiti-Transceiver für den professionellen Einsatz in Ubiquiti-Netzwerkumgebungen.</p>";ubiquiti/uacc-om-sm-1g-s;0,02;0,15;UACC-OM-SM-1G-S;Ubiquiti;standard;Stk;Ubiquiti UACC-OM-SM-1G-S 1G SFP BX | Hexwaren;Original Ubiquiti UACC-OM-SM-1G-S: BX 1-Gigabit-SFP-Transceiver, Singlemode, LC, bis 3 km. Neu, versiegelt, für UniFi Verlässliche UniFi-Optik.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
UACC-CM-RJ45;Ubiquiti UACC-CM-RJ45 1G SFP T-Transceiver – Kupfer, RJ45, bis 100 m;<p>Der Ubiquiti UACC-CM-RJ45 ist ein 1-Gigabit-SFP-Transceiver vom Typ T für RJ45-Kupfer (1000BASE-T). Über den RJ45-Anschluss überbrückt er bis zu 100 m.</p><p>Als Ubiquiti-Original-Neuware (UniFi) wird das Modul versiegelt geliefert, ist im laufenden Betrieb steckbar (Hot-Plug) und für UniFi-Geräte mit SFP-Steckplätzen vorgesehen. Die Lieferung erfolgt als versiegelte Original-Neuware.</p>;"<p>Der Ubiquiti UACC-CM-RJ45 ist ein 1-Gigabit-SFP-Transceiver vom Typ T und überträgt 1-Gigabit-Ethernet (1000BASE-T) über RJ45-Kupfer, eingesetzt zur Aggregation von UniFi-Access-Points im Campus-Netz.</p><p>Der UACC-CM-RJ45 stellt die Verbindung über den RJ45-Anschluss her und überbrückt bis zu 100 m.</p><p>Ausgeliefert wird der UACC-CM-RJ45 als versiegelte Ubiquiti-Original-Neuware (UniFi) und ist für UniFi-Geräte mit SFP-Steckplätzen vorgesehen; in der UFiber-Generation wird das Modul auch unter der Bestellnummer UF-RJ45-1G geführt. Bei dichter AP-Belegung hält der UACC-CM-RJ45 die Uplink-Last gleichmäßig stabil. Laut Datenblatt der Transceiver-Typ T, die Reichweite bis 100 m, der Standard 1000BASE-T; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Ubiquiti-Transceiver für den professionellen Einsatz in Ubiquiti-Netzwerkumgebungen.</p>";ubiquiti/uacc-cm-rj45;0,02;0,15;UACC-CM-RJ45;Ubiquiti;standard;Stk;Ubiquiti UACC-CM-RJ45 1G SFP T | Hexwaren;Original Ubiquiti UACC-CM-RJ45: T 1-Gigabit-SFP-Transceiver, Kupfer, RJ45, bis 100 m. Neu, versiegelt, für UniFi Verlässliche UniFi-Optik Neu, versiegelt und für UniFi-Umgebungen vorgesehen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
UACC-OM-MM-10G-D;Ubiquiti UACC-OM-MM-10G-D 10G SFP+ SR-Transceiver – Multimode, LC, bis 300 m;<p>Der Ubiquiti UACC-OM-MM-10G-D ist ein 10-Gigabit-SFP+-Transceiver vom Typ SR für Multimode-Glasfaser (10GBASE-SR). Über den LC-Anschluss überbrückt er bis zu 300 m bei 850 nm über 2 Fasern.</p><p>Als Ubiquiti-Original-Neuware (UniFi) wird das Modul versiegelt geliefert, ist im laufenden Betrieb steckbar (Hot-Plug) und für UniFi-Geräte mit SFP+-Steckplätzen vorgesehen.</p>;"<p>Der Ubiquiti UACC-OM-MM-10G-D ist ein 10-Gigabit-SFP+-Transceiver vom Typ SR und überträgt 10-Gigabit-Ethernet (10GBASE-SR) über Multimode-Glasfaser, eingesetzt als Backbone für UniFi-Protect-Überwachungssysteme.</p><p>Der UACC-OM-MM-10G-D stellt die Verbindung über den LC-Anschluss her und überbrückt bis zu 300 m bei 850 nm über 2 Fasern.</p><p>Ausgeliefert wird der UACC-OM-MM-10G-D als versiegelte Ubiquiti-Original-Neuware (UniFi) und ist für UniFi-Geräte mit SFP+-Steckplätzen vorgesehen; in der UFiber-Generation wird das Modul auch unter der Bestellnummer UF-MM-10G geführt. Im Dauerbetrieb der Videoüberwachung bleibt der UACC-OM-MM-10G-D belastbar. Laut Datenblatt der Transceiver-Typ SR, die Betriebswellenlänge 850 nm, die Reichweite bis 300 m, der Standard 10GBASE-SR; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Ubiquiti-Transceiver für den professionellen Einsatz in Ubiquiti-Netzwerkumgebungen.</p>";ubiquiti/uacc-om-mm-10g-d;0,02;0,15;UACC-OM-MM-10G-D;Ubiquiti;standard;Stk;Ubiquiti UACC-OM-MM-10G-D 10G SFP+ SR | Hexwaren;Original Ubiquiti UACC-OM-MM-10G-D: SR 10-Gigabit-SFP+-Transceiver, Multimode, LC, bis 300 m. Neu, versiegelt, für UniFi Verlässliche UniFi-Optik.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
UACC-OM-SM-10G-D;Ubiquiti UACC-OM-SM-10G-D 10G SFP+ LR-Transceiver – Singlemode, LC, bis 10 km;<p>Der Ubiquiti UACC-OM-SM-10G-D ist ein 10-Gigabit-SFP+-Transceiver vom Typ LR für Singlemode-Glasfaser (10GBASE-LR). Über den LC-Anschluss überbrückt er bis zu 10 km bei 1310 nm über 2 Fasern.</p><p>Als Ubiquiti-Original-Neuware (UniFi) wird das Modul versiegelt geliefert, ist im laufenden Betrieb steckbar (Hot-Plug) und für UniFi-Geräte mit SFP+-Steckplätzen vorgesehen.</p>;"<p>Der Ubiquiti UACC-OM-SM-10G-D ist ein 10-Gigabit-SFP+-Transceiver vom Typ LR und überträgt 10-Gigabit-Ethernet (10GBASE-LR) über Singlemode-Glasfaser, eingesetzt in Hotellerie- und Mehrfamilienhaus-Netzen (MDU).</p><p>Der UACC-OM-SM-10G-D stellt die Verbindung über den LC-Anschluss her und überbrückt bis zu 10 km bei 1310 nm über 2 Fasern.</p><p>Ausgeliefert wird der UACC-OM-SM-10G-D als versiegelte Ubiquiti-Original-Neuware (UniFi) und ist für UniFi-Geräte mit SFP+-Steckplätzen vorgesehen; in der UFiber-Generation wird das Modul auch unter der Bestellnummer UF-SM-10G geführt. In MDU-Installationen spart der UACC-OM-SM-10G-D Platz und Verkabelungsaufwand. Laut Datenblatt der Transceiver-Typ LR, die Betriebswellenlänge 1310 nm, die Reichweite bis 10 km, der Standard 10GBASE-LR; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Ubiquiti-Transceiver für den professionellen Einsatz in Ubiquiti-Netzwerkumgebungen.</p>";ubiquiti/uacc-om-sm-10g-d;0,02;0,15;UACC-OM-SM-10G-D;Ubiquiti;standard;Stk;Ubiquiti UACC-OM-SM-10G-D 10G SFP+ LR | Hexwaren;Original Ubiquiti UACC-OM-SM-10G-D: LR 10-Gigabit-SFP+-Transceiver, Singlemode, LC, bis 10 km. Neu, versiegelt, für UniFi Verlässliche UniFi-Optik.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
UACC-OM-SM-10G-S;Ubiquiti UACC-OM-SM-10G-S 10G SFP+ BX-Transceiver – Singlemode, LC, bis 10 km;<p>Der Ubiquiti UACC-OM-SM-10G-S ist ein 10-Gigabit-SFP+-Transceiver vom Typ BX für Singlemode-Glasfaser (10GBASE-BX (BiDi)). Über den LC-Anschluss überbrückt er bis zu 10 km bei 1270 nm (Tx) / 1330 nm (Rx) über 1 Fasern.</p><p>Als Ubiquiti-Original-Neuware (UniFi) wird das Modul versiegelt geliefert, ist im laufenden Betrieb steckbar (Hot-Plug) und für UniFi-Geräte mit SFP+-Steckplätzen vorgesehen.</p>;"<p>Der Ubiquiti UACC-OM-SM-10G-S ist ein 10-Gigabit-SFP+-Transceiver vom Typ BX und überträgt 10-Gigabit-Ethernet (10GBASE-BX (BiDi)) über Singlemode-Glasfaser, eingesetzt für die Switch-zu-Switch-Aggregation im Verteiler.</p><p>Der UACC-OM-SM-10G-S stellt die Verbindung über den LC-Anschluss her und überbrückt bis zu 10 km bei 1270 nm (Tx) / 1330 nm (Rx) über 1 Fasern.</p><p>Ausgeliefert wird der UACC-OM-SM-10G-S als versiegelte Ubiquiti-Original-Neuware (UniFi) und ist für UniFi-Geräte mit SFP+-Steckplätzen vorgesehen; in der UFiber-Generation wird das Modul auch unter der Bestellnummer UF-SM-10G-S geführt. Zwischen Verteilern bündelt der UACC-OM-SM-10G-S den Verkehr ohne Engpass. Originaler Ubiquiti-Transceiver für den professionellen Einsatz in Ubiquiti-Netzwerkumgebungen.</p>";ubiquiti/uacc-om-sm-10g-s;0,02;0,15;UACC-OM-SM-10G-S;Ubiquiti;standard;Stk;Ubiquiti UACC-OM-SM-10G-S 10G SFP+ BX | Hexwaren;Original Ubiquiti UACC-OM-SM-10G-S: BX 10-Gigabit-SFP+-Transceiver, Singlemode, LC, bis 10 km. Neu, versiegelt, für UniFi Verlässliche UniFi-Optik.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
UACC-CM-RJ45-MG;Ubiquiti UACC-CM-RJ45-MG 10G SFP+ T-Transceiver (Mehrraten 1/2,5/5/10G) – Kupfer, RJ45, bis 100 m;<p>Der Ubiquiti UACC-CM-RJ45-MG ist ein 10-Gigabit-SFP+-Transceiver vom Typ T für RJ45-Kupfer (NBASE-T (10GBASE-T / 5GBASE-T / 2.5GBASE-T / 1000BASE-T)). Über den RJ45-Anschluss überbrückt er bis zu 100 m.</p><p>Als Ubiquiti-Original-Neuware (UniFi) wird das Modul versiegelt geliefert, ist im laufenden Betrieb steckbar (Hot-Plug) und für UniFi-Geräte mit SFP+-Steckplätzen vorgesehen.</p>;"<p>Der Ubiquiti UACC-CM-RJ45-MG ist ein 10-Gigabit-SFP+-Transceiver vom Typ T (Mehrraten 1/2,5/5/10G) und überträgt 10-Gigabit-Ethernet (NBASE-T (10GBASE-T / 5GBASE-T / 2.5GBASE-T / 1000BASE-T)) über RJ45-Kupfer, eingesetzt für Punkt-zu-Punkt-Glasfaserstrecken zwischen Gebäuden.</p><p>Der UACC-CM-RJ45-MG stellt die Verbindung über den RJ45-Anschluss her und überbrückt bis zu 100 m.</p><p>Ausgeliefert wird der UACC-CM-RJ45-MG als versiegelte Ubiquiti-Original-Neuware (UniFi) und ist für UniFi-Geräte mit SFP+-Steckplätzen vorgesehen. Mehrraten-Kupfermodul (1/2,5/5/10 Gbit/s); löst das ältere UFiber UF-RJ45-10G (1/10 Gbit/s) ab, ist aber kein identischer Ersatz. Auf der Gebäudestrecke liefert der UACC-CM-RJ45-MG eine stabile Glasfaserverbindung. Originaler Ubiquiti-Transceiver für den professionellen Einsatz in Ubiquiti-Netzwerkumgebungen.</p>";ubiquiti/uacc-cm-rj45-mg;0,02;0,15;UACC-CM-RJ45-MG;Ubiquiti;standard;Stk;Ubiquiti UACC-CM-RJ45-MG 10G SFP+ T | Hexwaren;Original Ubiquiti UACC-CM-RJ45-MG: T 10-Gigabit-SFP+-Transceiver, Kupfer, RJ45, bis 100 m. Neu, versiegelt, für UniFi Verlässliche UniFi-Optik.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
UACC-OM-SFP10-1270;Ubiquiti UACC-OM-SFP10-1270 10G SFP+ CWDM-Transceiver – Singlemode, LC, bis 20 km;<p>Der Ubiquiti UACC-OM-SFP10-1270 ist ein 10-Gigabit-SFP+-Transceiver (CWDM 1270 nm (CWDM)) für Singlemode-Glasfaser (10G CWDM (SFP+)). Über den LC-Anschluss überbrückt er bis zu 20 km bei 1270 nm (CWDM) über 2 Fasern.</p><p>Als Ubiquiti-Original-Neuware (UniFi) wird das Modul versiegelt geliefert, ist im laufenden Betrieb steckbar (Hot-Plug) und für UniFi-Geräte mit SFP+-Steckplätzen vorgesehen.</p>;"<p>Der Ubiquiti UACC-OM-SFP10-1270 ist ein 10-Gigabit-CWDM-SFP+-Transceiver für den Wellenlängenkanal 1270 nm (CWDM) und überträgt 10-Gigabit-Ethernet über Singlemode-Glasfaser, eingesetzt in kleinen Büros und Zweigstellen für den Switch-Uplink.</p><p>Über den LC-Anschluss überbrückt der UACC-OM-SFP10-1270 bis zu 20 km über 2 Fasern; das Modul arbeitet im Paar mit einem Gegenmodul derselben Wellenlänge und lässt sich per CWDM-Multiplexer kombinieren.</p><p>Ausgeliefert wird der UACC-OM-SFP10-1270 als versiegelte Ubiquiti-Original-Neuware (UniFi), vorgesehen für UniFi-Switches mit SFP+-Steckplätzen. Gerade in kleinen Standorten vereinfacht der UACC-OM-SFP10-1270 die Verkabelung ohne zusätzliche Medienkonverter. Laut Datenblatt der Transceiver-Typ CWDM, die Betriebswellenlänge 1270 nm (CWDM), die Reichweite bis 20 km, der Standard 10G CWDM (SFP+); der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Ubiquiti-Transceiver für den professionellen Einsatz in Ubiquiti-Netzwerkumgebungen.</p>";ubiquiti/uacc-om-sfp10-1270;0,02;0,15;UACC-OM-SFP10-1270;Ubiquiti;standard;Stk;Ubiquiti UACC-OM-SFP10-1270 10G SFP+ CWDM | Hexwaren;Original Ubiquiti UACC-OM-SFP10-1270: CWDM 10-Gigabit-SFP+-Transceiver, Singlemode, LC, bis 20 km. Neu, versiegelt, für UniFi Verlässliche UniFi-Optik.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
UACC-OM-SFP10-1290;Ubiquiti UACC-OM-SFP10-1290 10G SFP+ CWDM-Transceiver – Singlemode, LC, bis 20 km;<p>Der Ubiquiti UACC-OM-SFP10-1290 ist ein 10-Gigabit-SFP+-Transceiver (CWDM 1290 nm (CWDM)) für Singlemode-Glasfaser (10G CWDM (SFP+)). Über den LC-Anschluss überbrückt er bis zu 20 km bei 1290 nm (CWDM) über 2 Fasern.</p><p>Als Ubiquiti-Original-Neuware (UniFi) wird das Modul versiegelt geliefert, ist im laufenden Betrieb steckbar (Hot-Plug) und für UniFi-Geräte mit SFP+-Steckplätzen vorgesehen.</p>;"<p>Der Ubiquiti UACC-OM-SFP10-1290 ist ein 10-Gigabit-CWDM-SFP+-Transceiver für den Wellenlängenkanal 1290 nm (CWDM) und überträgt 10-Gigabit-Ethernet über Singlemode-Glasfaser, eingesetzt in Prosumer- und Home-Lab-Umgebungen am UniFi-Switch.</p><p>Über den LC-Anschluss überbrückt der UACC-OM-SFP10-1290 bis zu 20 km über 2 Fasern; das Modul arbeitet im Paar mit einem Gegenmodul derselben Wellenlänge und lässt sich per CWDM-Multiplexer kombinieren.</p><p>Ausgeliefert wird der UACC-OM-SFP10-1290 als versiegelte Ubiquiti-Original-Neuware (UniFi), vorgesehen für UniFi-Switches mit SFP+-Steckplätzen. Im Home-Lab lässt sich der UACC-OM-SFP10-1290 unkompliziert in bestehende UniFi-Switches einsetzen. Laut Datenblatt der Transceiver-Typ CWDM, die Betriebswellenlänge 1290 nm (CWDM), die Reichweite bis 20 km, der Standard 10G CWDM (SFP+); der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Ubiquiti-Transceiver für den professionellen Einsatz in Ubiquiti-Netzwerkumgebungen.</p>";ubiquiti/uacc-om-sfp10-1290;0,02;0,15;UACC-OM-SFP10-1290;Ubiquiti;standard;Stk;Ubiquiti UACC-OM-SFP10-1290 10G SFP+ CWDM | Hexwaren;Original Ubiquiti UACC-OM-SFP10-1290: CWDM 10-Gigabit-SFP+-Transceiver, Singlemode, LC, bis 20 km. Neu, versiegelt, für UniFi Verlässliche UniFi-Optik.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
UACC-OM-SFP10-1310;Ubiquiti UACC-OM-SFP10-1310 10G SFP+ CWDM-Transceiver – Singlemode, LC, bis 20 km;<p>Der Ubiquiti UACC-OM-SFP10-1310 ist ein 10-Gigabit-SFP+-Transceiver (CWDM 1310 nm (CWDM)) für Singlemode-Glasfaser (10G CWDM (SFP+)). Über den LC-Anschluss überbrückt er bis zu 20 km bei 1310 nm (CWDM) über 2 Fasern.</p><p>Als Ubiquiti-Original-Neuware (UniFi) wird das Modul versiegelt geliefert, ist im laufenden Betrieb steckbar (Hot-Plug) und für UniFi-Geräte mit SFP+-Steckplätzen vorgesehen.</p>;"<p>Der Ubiquiti UACC-OM-SFP10-1310 ist ein 10-Gigabit-CWDM-SFP+-Transceiver für den Wellenlängenkanal 1310 nm (CWDM) und überträgt 10-Gigabit-Ethernet über Singlemode-Glasfaser, eingesetzt zur Aggregation von UniFi-Access-Points im Campus-Netz.</p><p>Über den LC-Anschluss überbrückt der UACC-OM-SFP10-1310 bis zu 20 km über 2 Fasern; das Modul arbeitet im Paar mit einem Gegenmodul derselben Wellenlänge und lässt sich per CWDM-Multiplexer kombinieren.</p><p>Ausgeliefert wird der UACC-OM-SFP10-1310 als versiegelte Ubiquiti-Original-Neuware (UniFi), vorgesehen für UniFi-Switches mit SFP+-Steckplätzen. Bei dichter AP-Belegung hält der UACC-OM-SFP10-1310 die Uplink-Last gleichmäßig stabil. Laut Datenblatt der Transceiver-Typ CWDM, die Betriebswellenlänge 1310 nm (CWDM), die Reichweite bis 20 km, der Standard 10G CWDM (SFP+); der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Ubiquiti-Transceiver für den professionellen Einsatz in Ubiquiti-Netzwerkumgebungen.</p>";ubiquiti/uacc-om-sfp10-1310;0,02;0,15;UACC-OM-SFP10-1310;Ubiquiti;standard;Stk;Ubiquiti UACC-OM-SFP10-1310 10G SFP+ CWDM | Hexwaren;Original Ubiquiti UACC-OM-SFP10-1310: CWDM 10-Gigabit-SFP+-Transceiver, Singlemode, LC, bis 20 km. Neu, versiegelt, für UniFi Verlässliche UniFi-Optik.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
