Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
QSFP-4SFP25-CU1M,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
QSFP-4SFP25-CU1M,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s (4× 25 Gbit/s),2,Wertliste,Attribut
QSFP-4SFP25-CU1M,,Transceivers & SFP Modul,Anschlusstyp,1× QSFP28 + 4× SFP28 (fest konfektioniert),6,Wertliste,Attribut
QSFP-4SFP25-CU1M,,Transceivers & SFP Modul,Länge,1 m,7,Wertliste,Attribut
QSFP-4SFP25-CU1M,,Transceivers & SFP Modul,Kabeltyp,"Twinax-Kupfer, passiv, Breakout",9,Wertliste,Attribut
QSFP-4SFP25-CU1M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
QSFP-4SFP25-CU1M,,Transceivers & SFP Modul,DOM Unterstützung,Nein,12,Wertliste,Attribut
QSFP-4SFP25-CU1M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
QSFP-4SFP25-CU1M,,Transceivers & SFP Modul,Standard,"100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)",14,Wertliste,Attribut
QSFP-4SFP25-CU2M,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
QSFP-4SFP25-CU2M,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s (4× 25 Gbit/s),2,Wertliste,Attribut
QSFP-4SFP25-CU2M,,Transceivers & SFP Modul,Anschlusstyp,1× QSFP28 + 4× SFP28 (fest konfektioniert),6,Wertliste,Attribut
QSFP-4SFP25-CU2M,,Transceivers & SFP Modul,Länge,2 m,7,Wertliste,Attribut
QSFP-4SFP25-CU2M,,Transceivers & SFP Modul,Kabeltyp,"Twinax-Kupfer, passiv, Breakout",9,Wertliste,Attribut
QSFP-4SFP25-CU2M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
QSFP-4SFP25-CU2M,,Transceivers & SFP Modul,DOM Unterstützung,Nein,12,Wertliste,Attribut
QSFP-4SFP25-CU2M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
QSFP-4SFP25-CU2M,,Transceivers & SFP Modul,Standard,"100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)",14,Wertliste,Attribut
QSFP-4SFP25-CU3M,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
QSFP-4SFP25-CU3M,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s (4× 25 Gbit/s),2,Wertliste,Attribut
QSFP-4SFP25-CU3M,,Transceivers & SFP Modul,Anschlusstyp,1× QSFP28 + 4× SFP28 (fest konfektioniert),6,Wertliste,Attribut
QSFP-4SFP25-CU3M,,Transceivers & SFP Modul,Länge,3 m,7,Wertliste,Attribut
QSFP-4SFP25-CU3M,,Transceivers & SFP Modul,Kabeltyp,"Twinax-Kupfer, passiv, Breakout",9,Wertliste,Attribut
QSFP-4SFP25-CU3M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
QSFP-4SFP25-CU3M,,Transceivers & SFP Modul,DOM Unterstützung,Nein,12,Wertliste,Attribut
QSFP-4SFP25-CU3M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
QSFP-4SFP25-CU3M,,Transceivers & SFP Modul,Standard,"100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)",14,Wertliste,Attribut
QSFP-4SFP25-CU4M,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
QSFP-4SFP25-CU4M,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s (4× 25 Gbit/s),2,Wertliste,Attribut
QSFP-4SFP25-CU4M,,Transceivers & SFP Modul,Anschlusstyp,1× QSFP28 + 4× SFP28 (fest konfektioniert),6,Wertliste,Attribut
QSFP-4SFP25-CU4M,,Transceivers & SFP Modul,Länge,4 m,7,Wertliste,Attribut
QSFP-4SFP25-CU4M,,Transceivers & SFP Modul,Kabeltyp,"Twinax-Kupfer, passiv, Breakout",9,Wertliste,Attribut
QSFP-4SFP25-CU4M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
QSFP-4SFP25-CU4M,,Transceivers & SFP Modul,DOM Unterstützung,Nein,12,Wertliste,Attribut
QSFP-4SFP25-CU4M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
QSFP-4SFP25-CU4M,,Transceivers & SFP Modul,Standard,"100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)",14,Wertliste,Attribut
QSFP-4SFP25-CU5M,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
QSFP-4SFP25-CU5M,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s (4× 25 Gbit/s),2,Wertliste,Attribut
QSFP-4SFP25-CU5M,,Transceivers & SFP Modul,Anschlusstyp,1× QSFP28 + 4× SFP28 (fest konfektioniert),6,Wertliste,Attribut
QSFP-4SFP25-CU5M,,Transceivers & SFP Modul,Länge,5 m,7,Wertliste,Attribut
QSFP-4SFP25-CU5M,,Transceivers & SFP Modul,Kabeltyp,"Twinax-Kupfer, passiv, Breakout",9,Wertliste,Attribut
QSFP-4SFP25-CU5M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
QSFP-4SFP25-CU5M,,Transceivers & SFP Modul,DOM Unterstützung,Nein,12,Wertliste,Attribut
QSFP-4SFP25-CU5M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
QSFP-4SFP25-CU5M,,Transceivers & SFP Modul,Standard,"100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)",14,Wertliste,Attribut
QSFP-100G-SR4-S,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
QSFP-100G-SR4-S,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s,2,Wertliste,Attribut
QSFP-100G-SR4-S,,Transceivers & SFP Modul,Transceiver Typ,SR4,3,Wertliste,Attribut
QSFP-100G-SR4-S,,Transceivers & SFP Modul,Fasertyp,"Multimode (OM3/OM4/OM5), parallel",4,Wertliste,Attribut
QSFP-100G-SR4-S,,Transceivers & SFP Modul,Faseranzahl,8,5,Wertliste,Attribut
QSFP-100G-SR4-S,,Transceivers & SFP Modul,Anschlusstyp,MPO-12 (PC/UPC),6,Wertliste,Attribut
QSFP-100G-SR4-S,,Transceivers & SFP Modul,Wellenlänge,850 nm,8,Wertliste,Attribut
QSFP-100G-SR4-S,,Transceivers & SFP Modul,Reichweite,70 m (OM3) / 100 m (OM4/OM5),10,Wertliste,Attribut
QSFP-100G-SR4-S,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Kurzstrecke),11,Wertliste,Attribut
QSFP-100G-SR4-S,,Transceivers & SFP Modul,DOM Unterstützung,Ja (DOM/DDM),12,Wertliste,Attribut
