Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
QSFP-4SFP25-CU1M;Cisco QSFP-4SFP25-CU1M 100G QSFP28 zu 4× 25G SFP28 Breakout Twinax DAC — passiv, 1 m;<p>Das Cisco QSFP-4SFP25-CU1M ist ein originales passives Breakout-DAC-Kupferkabel, das einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports verbindet und 100 Gigabit Ethernet als 4×25G über ein Meter überträgt.</p><p>Ohne eigene Stromversorgung bietet es eine kostengünstige Top-of-Rack-Anbindung von Servern. Über den Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert) eignet sich das QSFP-4SFP25-CU1M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).</p>;"<p>Das Cisco QSFP-4SFP25-CU1M ist ein passives Breakout-Direct-Attach-Kupferkabel, das einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports verbindet und 100 Gigabit Ethernet als vier 25-Gigabit-Kanäle über ein Meter überträgt.</p><p>Auf der einen Seite sitzt ein fest konfektionierter QSFP28-Stecker, auf der anderen vier SFP28-Stecker; als passive Twinax-Baugruppe kommt das Kabel ohne eigene Stromversorgung aus und bietet eine kostengünstige 100G-zu-4×25G-Anbindung innerhalb und zwischen benachbarten Racks. Der Aufteilungspunkt liegt 0,33 m vom 100G-Ende entfernt.</p><p>Über den Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert) eignet sich das QSFP-4SFP25-CU1M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Cisco-Direktanschlusskabel für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/qsfp-4sfp25-cu1m;0,05;0,20;QSFP-4SFP25-CU1M;Cisco;standard;Stk;Cisco QSFP-4SFP25-CU1M 4×25G Breakout-DAC 1 m | Hexwaren;Original Cisco QSFP-4SFP25-CU1M 100G-QSFP28-zu-4x25G-SFP28 Breakout-Twinax-DAC kaufen — passiv, 1 m, ein QSFP28- und vier SFP28-Stecker Rechenzentrum (Top-of-Rack-/Row-Verkabelung).;Netzwerk & Infrastruktur;Transceivers & SFP Module;DAC Kabel;TRUE;Y;Y
QSFP-4SFP25-CU2M;Cisco QSFP-4SFP25-CU2M 100G QSFP28 zu 4× 25G SFP28 Breakout Twinax DAC — passiv, 2 m;<p>Das Cisco QSFP-4SFP25-CU2M ist ein originales passives Breakout-DAC-Kupferkabel, das einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports verbindet und 100 Gigabit Ethernet als 4×25G über zwei Meter überträgt.</p><p>Ohne eigene Stromversorgung bietet es eine kostengünstige Top-of-Rack-Anbindung von Servern. Über den Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert) eignet sich das QSFP-4SFP25-CU2M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).</p>;"<p>Das Cisco QSFP-4SFP25-CU2M ist ein passives Breakout-Direct-Attach-Kupferkabel, das einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports verbindet und 100 Gigabit Ethernet als vier 25-Gigabit-Kanäle über zwei Meter überträgt.</p><p>Auf der einen Seite sitzt ein fest konfektionierter QSFP28-Stecker, auf der anderen vier SFP28-Stecker; als passive Twinax-Baugruppe kommt das Kabel ohne eigene Stromversorgung aus und bietet eine kostengünstige 100G-zu-4×25G-Anbindung innerhalb und zwischen benachbarten Racks. Der Aufteilungspunkt liegt 0,66 m vom 100G-Ende entfernt.</p><p>Über den Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert) eignet sich das QSFP-4SFP25-CU2M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Cisco-Direktanschlusskabel für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/qsfp-4sfp25-cu2m;0,05;0,20;QSFP-4SFP25-CU2M;Cisco;standard;Stk;Cisco QSFP-4SFP25-CU2M 4×25G Breakout-DAC 2 m | Hexwaren;Original Cisco QSFP-4SFP25-CU2M 100G-QSFP28-zu-4x25G-SFP28 Breakout-Twinax-DAC kaufen — passiv, 2 m, ein QSFP28- und vier SFP28-Stecker Rechenzentrum (Top-of-Rack-/Row-Verkabelung).;Netzwerk & Infrastruktur;Transceivers & SFP Module;DAC Kabel;TRUE;Y;Y
QSFP-4SFP25-CU3M;Cisco QSFP-4SFP25-CU3M 100G QSFP28 zu 4× 25G SFP28 Breakout Twinax DAC — passiv, 3 m;<p>Das Cisco QSFP-4SFP25-CU3M ist ein originales passives Breakout-DAC-Kupferkabel, das einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports verbindet und 100 Gigabit Ethernet als 4×25G über drei Meter überträgt.</p><p>Ohne eigene Stromversorgung bietet es eine kostengünstige Top-of-Rack-Anbindung von Servern. Über den Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert) eignet sich das QSFP-4SFP25-CU3M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).</p>;"<p>Das Cisco QSFP-4SFP25-CU3M ist ein passives Breakout-Direct-Attach-Kupferkabel, das einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports verbindet und 100 Gigabit Ethernet als vier 25-Gigabit-Kanäle über drei Meter überträgt.</p><p>Auf der einen Seite sitzt ein fest konfektionierter QSFP28-Stecker, auf der anderen vier SFP28-Stecker; als passive Twinax-Baugruppe kommt das Kabel ohne eigene Stromversorgung aus und bietet eine kostengünstige 100G-zu-4×25G-Anbindung innerhalb und zwischen benachbarten Racks. Der Aufteilungspunkt liegt 1 m vom 100G-Ende entfernt.</p><p>Über den Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert) eignet sich das QSFP-4SFP25-CU3M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Cisco-Direktanschlusskabel für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/qsfp-4sfp25-cu3m;0,05;0,20;QSFP-4SFP25-CU3M;Cisco;standard;Stk;Cisco QSFP-4SFP25-CU3M 4×25G Breakout-DAC 3 m | Hexwaren;Original Cisco QSFP-4SFP25-CU3M 100G-QSFP28-zu-4x25G-SFP28 Breakout-Twinax-DAC kaufen — passiv, 3 m, ein QSFP28- und vier SFP28-Stecker Rechenzentrum (Top-of-Rack-/Row-Verkabelung).;Netzwerk & Infrastruktur;Transceivers & SFP Module;DAC Kabel;TRUE;Y;Y
QSFP-4SFP25-CU4M;Cisco QSFP-4SFP25-CU4M 100G QSFP28 zu 4× 25G SFP28 Breakout Twinax DAC — passiv, 4 m;<p>Das Cisco QSFP-4SFP25-CU4M ist ein originales passives Breakout-DAC-Kupferkabel, das einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports verbindet und 100 Gigabit Ethernet als 4×25G über vier Meter überträgt.</p><p>Ohne eigene Stromversorgung bietet es eine kostengünstige Top-of-Rack-Anbindung von Servern. Über den Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert) eignet sich das QSFP-4SFP25-CU4M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).</p>;"<p>Das Cisco QSFP-4SFP25-CU4M ist ein passives Breakout-Direct-Attach-Kupferkabel, das einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports verbindet und 100 Gigabit Ethernet als vier 25-Gigabit-Kanäle über vier Meter überträgt.</p><p>Auf der einen Seite sitzt ein fest konfektionierter QSFP28-Stecker, auf der anderen vier SFP28-Stecker; als passive Twinax-Baugruppe kommt das Kabel ohne eigene Stromversorgung aus und bietet eine kostengünstige 100G-zu-4×25G-Anbindung innerhalb und zwischen benachbarten Racks. Der Aufteilungspunkt liegt 1,5 m vom 100G-Ende entfernt.</p><p>Über den Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert) eignet sich das QSFP-4SFP25-CU4M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Cisco-Direktanschlusskabel für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/qsfp-4sfp25-cu4m;0,05;0,20;QSFP-4SFP25-CU4M;Cisco;standard;Stk;Cisco QSFP-4SFP25-CU4M 4×25G Breakout-DAC 4 m | Hexwaren;Original Cisco QSFP-4SFP25-CU4M 100G-QSFP28-zu-4x25G-SFP28 Breakout-Twinax-DAC kaufen — passiv, 4 m, ein QSFP28- und vier SFP28-Stecker Rechenzentrum (Top-of-Rack-/Row-Verkabelung).;Netzwerk & Infrastruktur;Transceivers & SFP Module;DAC Kabel;TRUE;Y;Y
QSFP-4SFP25-CU5M;Cisco QSFP-4SFP25-CU5M 100G QSFP28 zu 4× 25G SFP28 Breakout Twinax DAC — passiv, 5 m;<p>Das Cisco QSFP-4SFP25-CU5M ist ein originales passives Breakout-DAC-Kupferkabel, das einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports verbindet und 100 Gigabit Ethernet als 4×25G über fünf Meter überträgt.</p><p>Ohne eigene Stromversorgung bietet es eine kostengünstige Top-of-Rack-Anbindung von Servern. Über den Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert) eignet sich das QSFP-4SFP25-CU5M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).</p>;"<p>Das Cisco QSFP-4SFP25-CU5M ist ein passives Breakout-Direct-Attach-Kupferkabel, das einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports verbindet und 100 Gigabit Ethernet als vier 25-Gigabit-Kanäle über fünf Meter überträgt.</p><p>Auf der einen Seite sitzt ein fest konfektionierter QSFP28-Stecker, auf der anderen vier SFP28-Stecker; als passive Twinax-Baugruppe kommt das Kabel ohne eigene Stromversorgung aus und bietet eine kostengünstige 100G-zu-4×25G-Anbindung innerhalb und zwischen benachbarten Racks. Der Aufteilungspunkt liegt 2 m vom 100G-Ende entfernt.</p><p>Über den Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert) eignet sich das QSFP-4SFP25-CU5M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Cisco-Direktanschlusskabel für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/qsfp-4sfp25-cu5m;0,05;0,20;QSFP-4SFP25-CU5M;Cisco;standard;Stk;Cisco QSFP-4SFP25-CU5M 4×25G Breakout-DAC 5 m | Hexwaren;Original Cisco QSFP-4SFP25-CU5M 100G-QSFP28-zu-4x25G-SFP28 Breakout-Twinax-DAC kaufen — passiv, 5 m, ein QSFP28- und vier SFP28-Stecker Rechenzentrum (Top-of-Rack-/Row-Verkabelung).;Netzwerk & Infrastruktur;Transceivers & SFP Module;DAC Kabel;TRUE;Y;Y
QSFP-100G-SR4-S;Cisco QSFP-100G-SR4-S 100GBASE-SR4 QSFP28 Modul — 850 nm MMF, MPO-12, 100 m OM4, DOM;<p>Das Cisco QSFP-100G-SR4-S ist ein originales 100GBASE-SR4 QSFP28-Modul und überträgt 100 Gigabit Ethernet bei 850 nm über parallele Multimode-Faser mit MPO-12-Anschluss.</p><p>Es erreicht bis zu 70 Meter über OM3 und 100 Meter über OM4/OM5, unterstützt Digital Optical Monitoring und eignet sich für 100G-Verbindungen im Rechenzentrum.</p>;"<p>Das Cisco QSFP-100G-SR4-S ist ein 100GBASE-SR4 QSFP28-Modul, das 100 Gigabit Ethernet bei 850 nm über zwölf parallele Multimode-Fasern mit MPO-12-Multifiber-Anschluss überträgt und damit hochbandbreitige 100G-Strecken im Rechenzentrum ermöglicht.</p><p>Über OM3-Faser erreicht das Modul bis zu 70 Meter und über OM4- bzw. OM5-Faser bis zu 100 Meter; das aggregierte 100-Gbit/s-Signal wird über vier parallele 25G-Lanes geführt. Der MPO-12-Stecker nutzt PC/UPC-Kontaktierung nach Cisco-Vorgabe.</p><p>Das Modul unterstützt Digital Optical Monitoring (DOM/DDM) zur Echtzeitüberwachung von Sende- und Empfangsleistung, Temperatur, Laser-Bias-Strom und Versorgungsspannung, ist im laufenden Betrieb steckbar. Im stromsparenden QSFP28-Formfaktor unterstützt es hohe Portdichten in modernen Cisco-Switches und -Routern. Originaler Cisco-Transceiver für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/qsfp-100g-sr4-s;0,05;0,20;QSFP-100G-SR4-S;Cisco;standard;Stk;Cisco QSFP-100G-SR4-S 100GBASE-SR4 100m | Hexwaren;"Original Cisco QSFP-100G-SR4-S 100GBASE-SR4 QSFP28 Modul kaufen — 850 nm Multimode, MPO-12, bis 70 m OM3 / 100 m OM4, mit DOM Rechenzentrum (Kurzstrecke); IEEE 802.3bm 100GBASE-SR4.";Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP28;TRUE;Y;Y
QSFP-100G-SL4;Cisco QSFP-100G-SL4 100GBASE-SL4 Short Link QSFP28 Modul — 850 nm MMF, MPO-12, 30 m OM4;<p>Das Cisco QSFP-100G-SL4 ist ein originales Short-Link 100G-QSFP28-Modul und überträgt 100 Gigabit Ethernet bei 850 nm über parallele Multimode-Faser mit MPO-12-Anschluss.</p><p>Als kostenoptimierte Kurzstreckenvariante erreicht es bis zu 20 Meter über OM3 und 30 Meter über OM4/OM5 und unterstützt Digital Optical Monitoring — ideal für dichte In-Rack-Verbindungen.</p>;"<p>Das Cisco QSFP-100G-SL4 ist ein 100GBASE-SL4 Short-Link QSFP28-Modul, das 100 Gigabit Ethernet bei 850 nm über zwölf parallele Multimode-Fasern mit MPO-12-Anschluss überträgt und für besonders kurze, kostengünstige 100G-Strecken ausgelegt ist.</p><p>Über OM3-Faser erreicht das Modul bis zu 20 Meter und über OM4- bzw. OM5-Faser bis zu 30 Meter; das 100-Gbit/s-Signal wird über vier parallele 25G-Lanes geführt. Es eignet sich für dichte Verbindungen innerhalb einer Rack-Reihe im Rechenzentrum.</p><p>Das Modul unterstützt Digital Optical Monitoring (DOM/DDM) zur Echtzeitüberwachung von Sende- und Empfangsleistung, Temperatur, Laser-Bias-Strom und Versorgungsspannung, ist im laufenden Betrieb steckbar. Im stromsparenden QSFP28-Formfaktor unterstützt es hohe Portdichten in modernen Cisco-Switches und -Routern. Originaler Cisco-Transceiver für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/qsfp-100g-sl4;0,05;0,20;QSFP-100G-SL4;Cisco;standard;Stk;Cisco QSFP-100G-SL4 Short Link 30 m OM4 | Hexwaren;"Original Cisco QSFP-100G-SL4 Short-Link 100G QSFP28 Modul kaufen — 850 nm Multimode, MPO-12, bis 20 m OM3 / 30 m OM4, mit DOM Rechenzentrum (Kurzstrecke); 100GBASE-SL4 (Short Link, SR4-basiert).";Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP28;TRUE;Y;Y
QSFP-100G-SR1.2;Cisco QSFP-100G-SR1.2 100G BiDi QSFP28 Modul — 855/908 nm MMF, Duplex LC, 150 m OM5;<p>Das Cisco QSFP-100G-SR1.2 ist ein originales 100G-BiDi-QSFP28-Modul und überträgt 100 Gigabit Ethernet über zwei Wellenlängen (855 und 908 nm) auf einer zweisträngigen Multimode-Faser mit Duplex-LC-Anschluss.</p><p>Es erreicht bis zu 70 m über OM3, 100 m über OM4 und 150 m über OM5 und erlaubt die Wiederverwendung vorhandener Duplex-MMF-Infrastruktur.</p>;"<p>Das Cisco QSFP-100G-SR1.2 ist ein 100-Gigabit-BiDi-QSFP28-Modul, das je zwei Sende- und Empfangskanäle im Wellenlängenbereich 832–918 nm nutzt und so 100 Gbit/s über eine zweisträngige Multimode-Faser mit Duplex-LC-Anschluss aggregiert.</p><p>Über laseroptimierte Faser erreicht das Modul 70 Meter über OM3, 100 Meter über OM4 und 150 Meter über OM5; es ermöglicht die Wiederverwendung vorhandener Duplex-MMF-Verkabelung und unterstützt im 4×100G-Breakout-Modus den Übergang zu 400 Gigabit Ethernet.</p><p>Das Modul unterstützt Digital Optical Monitoring (DOM/DDM) zur Echtzeitüberwachung von Sende- und Empfangsleistung, Temperatur, Laser-Bias-Strom und Versorgungsspannung, ist im laufenden Betrieb steckbar. Im stromsparenden QSFP28-Formfaktor unterstützt es hohe Portdichten in modernen Cisco-Switches und -Routern. Originaler Cisco-Transceiver für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/qsfp-100g-sr1.2;0,05;0,20;QSFP-100G-SR1.2;Cisco;standard;Stk;Cisco QSFP-100G-SR1.2 100G BiDi 150m OM5 | Hexwaren;Original Cisco QSFP-100G-SR1. 2 100G BiDi QSFP28 Modul kaufen — 855/908 nm Multimode, Duplex-LC, bis 70 m OM3 / 100 m OM4 / 150 m OM5, mit DOM.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP28;TRUE;Y;Y
QSFP-40/100-SRBD;Cisco QSFP-40/100-SRBD 40/100G Dual-Rate BiDi QSFP28 Modul — 855/908 nm MMF, Duplex LC;<p>Das Cisco QSFP-40/100-SRBD ist ein originales Dual-Rate-BiDi-QSFP28-Modul und überträgt wahlweise 40 oder 100 Gigabit Ethernet über zwei Wellenlängen auf einer zweisträngigen Multimode-Faser mit Duplex-LC-Anschluss.</p><p>Im 100G-Modus erreicht es bis 100 m über OM4, im 40G-Modus bis 150 m, und ermöglicht so die Wiederverwendung vorhandener 10G-Duplex-MMF-Infrastruktur.</p>;"<p>Das Cisco QSFP-40/100-SRBD ist ein Dual-Rate-BiDi-QSFP28-Modul, das je zwei Sende- und Empfangskanäle im Bereich 832–918 nm nutzt und wahlweise 40 oder 100 Gbit/s über eine zweisträngige Multimode-Faser mit Duplex-LC aggregiert.</p><p>Im 100-Gbit/s-Modus erreicht das Modul 70 m über OM3, 100 m über OM4 und 150 m über OM5; im 40-Gbit/s-Modus 100 m über OM3 und 150 m über OM4. Es erlaubt die Wiederverwendung vorhandener 10-Gb-Duplex-MMF-Verkabelung für die Migration auf 40/100G.</p><p>Das Modul unterstützt Digital Optical Monitoring (DOM/DDM) zur Echtzeitüberwachung von Sende- und Empfangsleistung, Temperatur, Laser-Bias-Strom und Versorgungsspannung, ist im laufenden Betrieb steckbar. Im stromsparenden QSFP28-Formfaktor unterstützt es hohe Portdichten in modernen Cisco-Switches und -Routern. Originaler Cisco-Transceiver für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/qsfp-40/100-srbd;0,05;0,20;QSFP-40/100-SRBD;Cisco;standard;Stk;Cisco QSFP-40/100-SRBD 40/100G BiDi | Hexwaren;Original Cisco QSFP-40/100-SRBD Dual-Rate BiDi QSFP28 Modul kaufen — 855/908 nm Multimode, Duplex-LC, 100G bis 100 m OM4, 40G bis 150 m OM4, mit DOM.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP28;TRUE;Y;Y
QSFP-100G-SR-S;Cisco QSFP-100G-SR-S 100GBASE-SR1 QSFP28 Modul — 850 nm MMF, Duplex LC, PAM4, DOM;<p>Das Cisco QSFP-100G-SR-S ist ein originales 100GBASE-SR1 QSFP28-Modul und überträgt 100 Gigabit Ethernet bei 850 nm über Multimode-Faser mit einem einzigen Wellenlängenpaar und Duplex-LC-Anschluss.</p><p>Es erreicht bis zu 70 Meter über OM3 und 100 Meter über OM4/OM5, nutzt PAM4-Modulation mit FEC und unterstützt Digital Optical Monitoring.</p>;"<p>Das Cisco QSFP-100G-SR-S ist ein 100GBASE-SR1 QSFP28-Modul, das 100 Gigabit Ethernet bei 850 nm über eine einzige Wellenlänge mit Onboard-PAM4-Modulation und FEC überträgt und einen Duplex-LC-Anschluss über Multimode-Faser nutzt.</p><p>Über OM3-Faser erreicht das Modul bis zu 70 Meter und über OM4- bzw. OM5-Faser bis zu 100 Meter; es ist konform zu IEEE 802.3 100GBASE-SR1 und kann über Breakout-Kabel mit IEEE-400GBASE-SR4-Transceivern zusammenarbeiten.</p><p>Das Modul unterstützt Digital Optical Monitoring (DOM/DDM) zur Echtzeitüberwachung von Sende- und Empfangsleistung, Temperatur, Laser-Bias-Strom und Versorgungsspannung, ist im laufenden Betrieb steckbar. Im stromsparenden QSFP28-Formfaktor unterstützt es hohe Portdichten in modernen Cisco-Switches und -Routern. Originaler Cisco-Transceiver für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/qsfp-100g-sr-s;0,05;0,20;QSFP-100G-SR-S;Cisco;standard;Stk;Cisco QSFP-100G-SR-S 100GBASE-SR1 100m | Hexwaren;Original Cisco QSFP-100G-SR-S 100GBASE-SR1 QSFP28 Modul kaufen — 850 nm Multimode, Duplex-LC, bis 70 m OM3 / 100 m OM4, PAM4 mit FEC, DOM Rechenzentrum (Kurzstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP28;TRUE;Y;Y
