Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
100G-SR4-QSFP100M,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
100G-SR4-QSFP100M,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s,2,Wertliste,Attribut
100G-SR4-QSFP100M,,Transceivers & SFP Modul,Transceiver Typ,SR4,3,Wertliste,Attribut
100G-SR4-QSFP100M,,Transceivers & SFP Modul,Fasertyp,Multimode (OM4),4,Wertliste,Attribut
100G-SR4-QSFP100M,,Transceivers & SFP Modul,Faseranzahl,8,5,Wertliste,Attribut
100G-SR4-QSFP100M,,Transceivers & SFP Modul,Anschlusstyp,MPO,6,Wertliste,Attribut
100G-SR4-QSFP100M,,Transceivers & SFP Modul,Wellenlänge,850 nm,8,Wertliste,Attribut
100G-SR4-QSFP100M,,Transceivers & SFP Modul,Reichweite,bis 100 m,10,Wertliste,Attribut
100G-SR4-QSFP100M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Kurzstrecke),11,Wertliste,Attribut
100G-SR4-QSFP100M,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
100G-SR4-QSFP100M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
100G-SR4-QSFP100M,,Transceivers & SFP Modul,Standard,100GBASE-SR4,14,Wertliste,Attribut
100G-SR4BD-QSFP100M,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
100G-SR4BD-QSFP100M,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s,2,Wertliste,Attribut
100G-SR4BD-QSFP100M,,Transceivers & SFP Modul,Transceiver Typ,BDSR,3,Wertliste,Attribut
100G-SR4BD-QSFP100M,,Transceivers & SFP Modul,Fasertyp,Multimode (OM4),4,Wertliste,Attribut
100G-SR4BD-QSFP100M,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
100G-SR4BD-QSFP100M,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
100G-SR4BD-QSFP100M,,Transceivers & SFP Modul,Wellenlänge,850 nm,8,Wertliste,Attribut
100G-SR4BD-QSFP100M,,Transceivers & SFP Modul,Reichweite,bis 100 m,10,Wertliste,Attribut
100G-SR4BD-QSFP100M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Kurzstrecke),11,Wertliste,Attribut
100G-SR4BD-QSFP100M,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
100G-SR4BD-QSFP100M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
100G-SR4BD-QSFP100M,,Transceivers & SFP Modul,Standard,100GBASE-BDSR,14,Wertliste,Attribut
100G-SWDM4-QSFP100M,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
100G-SWDM4-QSFP100M,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s,2,Wertliste,Attribut
100G-SWDM4-QSFP100M,,Transceivers & SFP Modul,Transceiver Typ,SWDM4,3,Wertliste,Attribut
100G-SWDM4-QSFP100M,,Transceivers & SFP Modul,Fasertyp,Multimode,4,Wertliste,Attribut
100G-SWDM4-QSFP100M,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
100G-SWDM4-QSFP100M,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
100G-SWDM4-QSFP100M,,Transceivers & SFP Modul,Wellenlänge,"850 / 880 / 910 / 940 nm (SWDM4, 4 Lanes)",8,Wertliste,Attribut
100G-SWDM4-QSFP100M,,Transceivers & SFP Modul,Reichweite,bis 100 m,10,Wertliste,Attribut
100G-SWDM4-QSFP100M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Kurzstrecke),11,Wertliste,Attribut
100G-SWDM4-QSFP100M,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
100G-SWDM4-QSFP100M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
100G-SWDM4-QSFP100M,,Transceivers & SFP Modul,Standard,100GBASE-SWDM4,14,Wertliste,Attribut
100G-ESR4-QSFP300M,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
100G-ESR4-QSFP300M,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s,2,Wertliste,Attribut
100G-ESR4-QSFP300M,,Transceivers & SFP Modul,Transceiver Typ,ESR4,3,Wertliste,Attribut
100G-ESR4-QSFP300M,,Transceivers & SFP Modul,Fasertyp,Multimode (OM4),4,Wertliste,Attribut
100G-ESR4-QSFP300M,,Transceivers & SFP Modul,Faseranzahl,8,5,Wertliste,Attribut
100G-ESR4-QSFP300M,,Transceivers & SFP Modul,Anschlusstyp,MPO,6,Wertliste,Attribut
100G-ESR4-QSFP300M,,Transceivers & SFP Modul,Wellenlänge,850 nm,8,Wertliste,Attribut
100G-ESR4-QSFP300M,,Transceivers & SFP Modul,Reichweite,bis 300 m,10,Wertliste,Attribut
100G-ESR4-QSFP300M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Kurzstrecke),11,Wertliste,Attribut
100G-ESR4-QSFP300M,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
100G-ESR4-QSFP300M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
100G-ESR4-QSFP300M,,Transceivers & SFP Modul,Standard,100GBASE-ESR4,14,Wertliste,Attribut
100G-DR-QSFP500M,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
100G-DR-QSFP500M,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s,2,Wertliste,Attribut
100G-DR-QSFP500M,,Transceivers & SFP Modul,Transceiver Typ,DR,3,Wertliste,Attribut
100G-DR-QSFP500M,,Transceivers & SFP Modul,Fasertyp,Singlemode,4,Wertliste,Attribut
100G-DR-QSFP500M,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
100G-DR-QSFP500M,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
100G-DR-QSFP500M,,Transceivers & SFP Modul,Wellenlänge,1310 nm,8,Wertliste,Attribut
100G-DR-QSFP500M,,Transceivers & SFP Modul,Reichweite,bis 500 m,10,Wertliste,Attribut
100G-DR-QSFP500M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Kurzstrecke),11,Wertliste,Attribut
100G-DR-QSFP500M,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
100G-DR-QSFP500M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
100G-DR-QSFP500M,,Transceivers & SFP Modul,Standard,100GBASE-DR,14,Wertliste,Attribut
100G-CWDM2-QSFP2KM,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
100G-CWDM2-QSFP2KM,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s,2,Wertliste,Attribut
100G-CWDM2-QSFP2KM,,Transceivers & SFP Modul,Transceiver Typ,CWDM4,3,Wertliste,Attribut
100G-CWDM2-QSFP2KM,,Transceivers & SFP Modul,Fasertyp,Singlemode,4,Wertliste,Attribut
100G-CWDM2-QSFP2KM,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
100G-CWDM2-QSFP2KM,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
100G-CWDM2-QSFP2KM,,Transceivers & SFP Modul,Wellenlänge,"1271 / 1291 / 1311 / 1331 nm (CWDM4, 4 Lanes)",8,Wertliste,Attribut
100G-CWDM2-QSFP2KM,,Transceivers & SFP Modul,Reichweite,bis 2 km,10,Wertliste,Attribut
100G-CWDM2-QSFP2KM,,Transceivers & SFP Modul,Anwendung,Campus-/Metro-Netz (Langstrecke),11,Wertliste,Attribut
100G-CWDM2-QSFP2KM,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
100G-CWDM2-QSFP2KM,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
100G-CWDM2-QSFP2KM,,Transceivers & SFP Modul,Standard,100GBASE-CWDM4,14,Wertliste,Attribut
100G-LR4-QSFP2KM,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
100G-LR4-QSFP2KM,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s,2,Wertliste,Attribut
100G-LR4-QSFP2KM,,Transceivers & SFP Modul,Transceiver Typ,LR4-2,3,Wertliste,Attribut
100G-LR4-QSFP2KM,,Transceivers & SFP Modul,Fasertyp,Singlemode,4,Wertliste,Attribut
100G-LR4-QSFP2KM,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
100G-LR4-QSFP2KM,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
100G-LR4-QSFP2KM,,Transceivers & SFP Modul,Wellenlänge,"1295,56 / 1300,05 / 1304,58 / 1309,14 nm (LAN-WDM, 4 Lanes)",8,Wertliste,Attribut
100G-LR4-QSFP2KM,,Transceivers & SFP Modul,Reichweite,bis 2 km,10,Wertliste,Attribut
100G-LR4-QSFP2KM,,Transceivers & SFP Modul,Anwendung,Campus-/Metro-Netz (Langstrecke),11,Wertliste,Attribut
100G-LR4-QSFP2KM,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
100G-LR4-QSFP2KM,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
100G-LR4-QSFP2KM,,Transceivers & SFP Modul,Standard,100GBASE-LR4-2,14,Wertliste,Attribut
100G-FR-QSFP2KM,,Transceivers & SFP Modul,Formfaktor,QSFP28,1,Wertliste,Attribut
100G-FR-QSFP2KM,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s,2,Wertliste,Attribut
100G-FR-QSFP2KM,,Transceivers & SFP Modul,Transceiver Typ,FR,3,Wertliste,Attribut
100G-FR-QSFP2KM,,Transceivers & SFP Modul,Fasertyp,Singlemode,4,Wertliste,Attribut
