Artikelnummer;Überverkauf Plattform Hexwaren
FN-TRAN-SFP-1BD10;TRUE
FN-TRAN-SFP-1BU10;TRUE
FN-TRAN-SFP-1BD40;TRUE
FN-TRAN-SFP-1BU40;TRUE
FN-TRAN-LX;TRUE
FN-TRAN-GC;TRUE
FN-TRAN-SX;TRUE
FN-TRAN-SXI-4PACK;TRUE
FR-TRAN-SX;TRUE
FN-TRAN-EX-4PACK;TRUE
FR-TRAN-ZX;TRUE
FN-TRAN-SFP2-LX;TRUE
FN-TRAN-SFP2-SX;TRUE
FN-TRAN-SFP+SR;TRUE
FN-TRAN-SFP+SRI;TRUE
FN-TRAN-SFP+LR;TRUE
FN-TRAN-SFP+LRI;TRUE
FN-TRAN-SFP+LRM;TRUE
FN-TRAN-SFP+BD27;TRUE
FN-TRAN-SFP+BD33;TRUE
FN-TRAN-SFP+ER;TRUE
FN-TRAN-SFP+ERI;TRUE
FN-TRAN-SFP+ZR;TRUE
FN-TRAN-SFP+GC;TRUE
FN-TRAN-SFP+GC-T80;TRUE
FN-TRAN-SFP28-LR;TRUE
FN-TRAN-SFP28-SR;TRUE
FN-TRAN-QSFP+SR;TRUE
FN-TRAN-QSFP+ER;TRUE
FG-TRAN-QSFP+SR-BIDI;TRUE
FN-TRAN-QSFP+BIDI;TRUE
FN-TRAN-QSFP+LR;TRUE
FN-TRAN-QSFP+LRI;TRUE
FN-TRAN-SFP56-SR;TRUE
FN-TRAN-FX;TRUE
FN-TRAN-SFX;TRUE
FN-TRAN-FE-4PACK;TRUE
FG-TRAN-CFP2-LR4;TRUE
FG-TRAN-CFP2-SR10;TRUE
FN-TRAN-QSFP28-SR;TRUE
FN-TRAN-QSFP28-LR;TRUE
FN-TRAN-QSFP28-FR;TRUE
FN-TRAN-QSFP28-ER;TRUE
FN-TRAN-QSFP28-DR;TRUE
FN-TRAN-QSFP28-CWDM4;TRUE
FN-TRAN-QSFP28-BIDI;TRUE
FN-TRAN-QSFP28-BIDI-I;TRUE
FN-TRAN-QSFP56-SR4;TRUE
FN-TRAN-QSFP56-FR4;TRUE
FN-TRAN-QSFPDD-SR8;TRUE
FN-TRAN-QSFPDD-DR4;TRUE
FN-TRAN-QSFPDD-LR4;TRUE
FN-TRAN-QSFPDD-FR4;TRUE
FN-TRAN-QSFPDD-DR4+;TRUE
SP-CABLE-ADASFP+;TRUE
FN-CABLE-SFP+1;TRUE
FN-CABLE-SFP+3;TRUE
FN-CABLE-SFP+5;TRUE
FN-CABLE-SFP28-1;TRUE
FN-CABLE-SFP28-3;TRUE
FN-CABLE-SFP28-5;TRUE
FN-CABLE-QSFP+1;TRUE
FN-CABLE-QSFP+3;TRUE
FN-CABLE-QSFP+5;TRUE
FN-CABLE-QSFP+7-4PACK;TRUE
FG-TRAN-QSFP-4XSFP;TRUE
FG-TRAN-QSFP-4SFP-5;TRUE
FN-CABLE-SFP56-DAC-L1;TRUE
FN-CABLE-SFP56-DAC-LB5;TRUE
FG-CABLE-SR10-SFP+;TRUE
FG-CABLE-SR10-SFP+5;TRUE
FN-CABLE-QSFP28-1;TRUE
FN-CABLE-QSFP28-2;TRUE
FN-CABLE-QSFP28-3;TRUE
FN-CABLE-QSFP28-5;TRUE
FN-CABLE-QSFP28-4SFP28-1;TRUE
FN-CABLE-QSFP28-4SFP28-3;TRUE
FN-CABLE-QSFP28-4SFP28-5;TRUE
FN-CABLE-QSFP56-DAC-L1;TRUE
FN-CABLE-QSFP56-DAC-LB5;TRUE
FN-CABLE-QSFPDD-DAC-01;TRUE
FN-CABLE-QSFPDD-DAC-B5;TRUE
FN-CABLE-QSFPDD-AOC-03;TRUE
FN-CABLE-QSFPDD-2QSFP56-L1;TRUE
FN-CABLE-QSFPDD-2QSFP56-LB5;TRUE
FN-CABLE-QSFPDD-8SFP56-L1;TRUE
FN-CABLE-QSFPDD-8SFP56-LB5;TRUE
