Artikelnummer;Netto-VK
FN-TRAN-SFP-1BD10;0,00
FN-TRAN-SFP-1BU10;0,00
FN-TRAN-SFP-1BD40;0,00
FN-TRAN-SFP-1BU40;0,00
FN-TRAN-LX;0,00
FN-TRAN-GC;0,00
FN-TRAN-SX;0,00
FN-TRAN-SXI-4PACK;0,00
FR-TRAN-SX;0,00
FN-TRAN-EX-4PACK;0,00
FR-TRAN-ZX;0,00
FN-TRAN-SFP2-LX;0,00
FN-TRAN-SFP2-SX;0,00
FN-TRAN-SFP+SR;0,00
FN-TRAN-SFP+SRI;0,00
FN-TRAN-SFP+LR;0,00
FN-TRAN-SFP+LRI;0,00
FN-TRAN-SFP+LRM;0,00
FN-TRAN-SFP+BD27;0,00
FN-TRAN-SFP+BD33;0,00
FN-TRAN-SFP+ER;0,00
FN-TRAN-SFP+ERI;0,00
FN-TRAN-SFP+ZR;0,00
FN-TRAN-SFP+GC;0,00
FN-TRAN-SFP+GC-T80;0,00
FN-TRAN-SFP28-LR;0,00
FN-TRAN-SFP28-SR;0,00
FN-TRAN-QSFP+SR;0,00
FN-TRAN-QSFP+ER;0,00
FG-TRAN-QSFP+SR-BIDI;0,00
FN-TRAN-QSFP+BIDI;0,00
FN-TRAN-QSFP+LR;0,00
FN-TRAN-QSFP+LRI;0,00
FN-TRAN-SFP56-SR;0,00
FN-TRAN-FX;0,00
FN-TRAN-SFX;0,00
FN-TRAN-FE-4PACK;0,00
FG-TRAN-CFP2-LR4;0,00
FG-TRAN-CFP2-SR10;0,00
FN-TRAN-QSFP28-SR;0,00
FN-TRAN-QSFP28-LR;0,00
FN-TRAN-QSFP28-FR;0,00
FN-TRAN-QSFP28-ER;0,00
FN-TRAN-QSFP28-DR;0,00
FN-TRAN-QSFP28-CWDM4;0,00
FN-TRAN-QSFP28-BIDI;0,00
FN-TRAN-QSFP28-BIDI-I;0,00
FN-TRAN-QSFP56-SR4;0,00
FN-TRAN-QSFP56-FR4;0,00
FN-TRAN-QSFPDD-SR8;0,00
FN-TRAN-QSFPDD-DR4;0,00
FN-TRAN-QSFPDD-LR4;0,00
FN-TRAN-QSFPDD-FR4;0,00
FN-TRAN-QSFPDD-DR4+;0,00
SP-CABLE-ADASFP+;0,00
FN-CABLE-SFP+1;0,00
FN-CABLE-SFP+3;0,00
FN-CABLE-SFP+5;0,00
FN-CABLE-SFP28-1;0,00
FN-CABLE-SFP28-3;0,00
FN-CABLE-SFP28-5;0,00
FN-CABLE-QSFP+1;0,00
FN-CABLE-QSFP+3;0,00
FN-CABLE-QSFP+5;0,00
FN-CABLE-QSFP+7-4PACK;0,00
FG-TRAN-QSFP-4XSFP;0,00
FG-TRAN-QSFP-4SFP-5;0,00
FN-CABLE-SFP56-DAC-L1;0,00
FN-CABLE-SFP56-DAC-LB5;0,00
FG-CABLE-SR10-SFP+;0,00
FG-CABLE-SR10-SFP+5;0,00
FN-CABLE-QSFP28-1;0,00
FN-CABLE-QSFP28-2;0,00
FN-CABLE-QSFP28-3;0,00
FN-CABLE-QSFP28-5;0,00
FN-CABLE-QSFP28-4SFP28-1;0,00
FN-CABLE-QSFP28-4SFP28-3;0,00
FN-CABLE-QSFP28-4SFP28-5;0,00
FN-CABLE-QSFP56-DAC-L1;0,00
FN-CABLE-QSFP56-DAC-LB5;0,00
FN-CABLE-QSFPDD-DAC-01;0,00
FN-CABLE-QSFPDD-DAC-B5;0,00
FN-CABLE-QSFPDD-AOC-03;0,00
FN-CABLE-QSFPDD-2QSFP56-L1;0,00
FN-CABLE-QSFPDD-2QSFP56-LB5;0,00
FN-CABLE-QSFPDD-8SFP56-L1;0,00
FN-CABLE-QSFPDD-8SFP56-LB5;0,00
