Artikelnummer;Attributgruppe;Sortiernummer;Attributname;Attributwert;Datentyp;Attributart
CFP-100G-SR10;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
CFP-40G-FR;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
CFP-40G-LR4;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
CFP-40G-SR4;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
CWDM-SFP-1470;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
CWDM-SFP-1490;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
CWDM-SFP-1510;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
CWDM-SFP-1530;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
CWDM-SFP-1610;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
DWDM-SFP-3033;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
DWDM-SFP-3112;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
DWDM-SFP-3190;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
DWDM-SFP-3268;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
DWDM-SFP-6141;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
GLC-2BX-D;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
GLC-BX-D;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
GLC-BX-U;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
GLC-EX-SMD;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
GLC-LH-SM;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
GLC-LH-SMD;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
GLC-SX-MM;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
GLC-SX-MMD;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
GLC-T;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
