Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
C-O800-O800-1M,"745,00","Arista PREMIUM 1,08× der operator-verifizierten Cisco-Straße (Kalibrierung SFP-10G-SR €198); genuine Arista ≫ Kompatibel/Used (FS/QSFPTEK/eBay-Pull), bestätigt via CDW/eBay genuine-Listings",geschätzt-aus-Vergleich,800G-DAC-1m
C-O800-O800-2M,"842,00","Arista PREMIUM 1,08× der operator-verifizierten Cisco-Straße (Kalibrierung SFP-10G-SR €198); genuine Arista ≫ Kompatibel/Used (FS/QSFPTEK/eBay-Pull), bestätigt via CDW/eBay genuine-Listings",geschätzt-aus-Vergleich,800G-DAC-2m
A-O800-O800-1M,"1.318,00","Arista PREMIUM 1,08× der operator-verifizierten Cisco-Straße (Kalibrierung SFP-10G-SR €198); genuine Arista ≫ Kompatibel/Used (FS/QSFPTEK/eBay-Pull), bestätigt via CDW/eBay genuine-Listings",geschätzt-aus-Vergleich,800G-AOC-1m
A-O800-O800-3M,"1.577,00","Arista PREMIUM 1,08× der operator-verifizierten Cisco-Straße (Kalibrierung SFP-10G-SR €198); genuine Arista ≫ Kompatibel/Used (FS/QSFPTEK/eBay-Pull), bestätigt via CDW/eBay genuine-Listings",geschätzt-aus-Vergleich,800G-AOC-3m
A-O800-O800-5M,"1.836,00","Arista PREMIUM 1,08× der operator-verifizierten Cisco-Straße (Kalibrierung SFP-10G-SR €198); genuine Arista ≫ Kompatibel/Used (FS/QSFPTEK/eBay-Pull), bestätigt via CDW/eBay genuine-Listings",geschätzt-aus-Vergleich,800G-AOC-5m
A-O800-O800-7M,"2.095,00","Arista PREMIUM 1,08× der operator-verifizierten Cisco-Straße (Kalibrierung SFP-10G-SR €198); genuine Arista ≫ Kompatibel/Used (FS/QSFPTEK/eBay-Pull), bestätigt via CDW/eBay genuine-Listings",geschätzt-aus-Vergleich,800G-AOC-7m
A-O800-O800-10M,"2.484,00","Arista PREMIUM 1,08× der operator-verifizierten Cisco-Straße (Kalibrierung SFP-10G-SR €198); genuine Arista ≫ Kompatibel/Used (FS/QSFPTEK/eBay-Pull), bestätigt via CDW/eBay genuine-Listings",geschätzt-aus-Vergleich,800G-AOC-10m
A-O800-O800-15M,"3.132,00","Arista PREMIUM 1,08× der operator-verifizierten Cisco-Straße (Kalibrierung SFP-10G-SR €198); genuine Arista ≫ Kompatibel/Used (FS/QSFPTEK/eBay-Pull), bestätigt via CDW/eBay genuine-Listings",geschätzt-aus-Vergleich,800G-AOC-15m
A-O800-O800-20M,"3.780,00","Arista PREMIUM 1,08× der operator-verifizierten Cisco-Straße (Kalibrierung SFP-10G-SR €198); genuine Arista ≫ Kompatibel/Used (FS/QSFPTEK/eBay-Pull), bestätigt via CDW/eBay genuine-Listings",geschätzt-aus-Vergleich,800G-AOC-20m
A-O800-O800-25M,"4.428,00","Arista PREMIUM 1,08× der operator-verifizierten Cisco-Straße (Kalibrierung SFP-10G-SR €198); genuine Arista ≫ Kompatibel/Used (FS/QSFPTEK/eBay-Pull), bestätigt via CDW/eBay genuine-Listings",geschätzt-aus-Vergleich,800G-AOC-25m
