Artikelnummer;Überverkauf Plattform Hexwaren
QSFP-4SFP25-CU1M;TRUE
QSFP-4SFP25-CU2M;TRUE
QSFP-4SFP25-CU3M;TRUE
QSFP-4SFP25-CU4M;TRUE
QSFP-4SFP25-CU5M;TRUE
QSFP-100G-SR4-S;TRUE
QSFP-100G-SL4;TRUE
QSFP-100G-B20U4-I;TRUE
QSFP-100G-B20D4-I;TRUE
QSFP-100G-CU1.5M;TRUE
QSFP-100G-CU2.5M;TRUE
Q-4SFP25G-CU1.5M;TRUE
Q-4SFP25G-CU2.5M;TRUE
FET-40G;TRUE
QSFP-H40G-CU0-5M;TRUE
QSFP-4SFP10-CU0-5;TRUE
QSFP-4X10G-AOC1M;TRUE
QSFP-4X10G-AOC2M;TRUE
QSFP-4X10G-AOC3M;TRUE
QSFP-4X10G-AOC5M;TRUE
QSFP-4X10G-AOC7M;TRUE
QSFP-4X10G-AOC10M;TRUE
SFP-10G-T-X;TRUE
SFP-10G-SR-I;TRUE
SFP-10G-LR10-I;TRUE
SFP-10G-BXD-I;TRUE
SFP-10G-BXU-I;TRUE
SFP-10G-BX40U-I;TRUE
GLC-T-RGD;TRUE
GLC-GE-DR-LX;TRUE
GLC-BX-U-I;TRUE
GLC-BX-D-I;TRUE
GLC-2BX-D-I;TRUE
SFP-1G-LH;TRUE
SFP-1G-SX;TRUE
SFP-1G-T-X;TRUE
SFP-H25G-CU1.5M;TRUE
SFP-H25G-CU2.5M;TRUE
SFP-25G-BX40D-I;TRUE
SFP-25G-BX40U-I;TRUE
SFP-50G-CU0.5M;TRUE
SFP-50G-CU1M;TRUE
SFP-50G-CU1.5M;TRUE
SFP-50G-CU2M;TRUE
SFP-50G-CU2.5M;TRUE
SFP-50G-CU3M;TRUE
SFP-50G-CU4M;TRUE
SFP-50G-CU5M;TRUE
SFP-50G-SL;TRUE
SFP-50G-SR-S;TRUE
SFP-50G-LR-S;TRUE
SFP-50G-BXD-I;TRUE
SFP-50G-BXU-I;TRUE
SFP-50G-BX40D-I;TRUE
SFP-50G-BX40U-I;TRUE
SFP-50G-ER-I;TRUE
QDD-2Q200-CU3M;TRUE
QDD-400G-VR4;TRUE
QDD-400G-SR8-S;TRUE
QDD-400G-SR4.2-BD;TRUE
QDD-400G-BD;TRUE
QDD-4X100G-FR-S;TRUE
CPAK-100G-LR4-2K;TRUE
CPAK-10X10G-LR;TRUE
CPAK-100G-FR;TRUE
GLC-GE-100FX;TRUE
GLC-FE-T-I;TRUE
XFP10GLR192SR-RGD;TRUE
X2-10GB-T;TRUE
OSFP-800G-VR8;TRUE
OSFP-800G-VR8P;TRUE
OSFP-800G-DR8;TRUE
OSFP-800G-DR8P;TRUE
OSFP-2X400G-FR4;TRUE
QSFP-2Q200-CU3M;TRUE
QSFP-200G-SR4-S;TRUE
QSFP-200G-SL4;TRUE
QSFP-200G-FR4-S;TRUE
QSFP-400G-DR4;TRUE
QSFP-400G-VR4;TRUE
QSFP-400G-FR4;TRUE
QDD-8X100G-FR;TRUE
QDD-2X400G-FR4;TRUE
DWDM-XFP-C;TRUE
DP04CFP2-D15;TRUE
SFP-10G-OLT20-X;TRUE
CIM8-C-K9;TRUE
CIM8-CE-K9;TRUE
CFP2-WDM-D-1HL;TRUE
CFP2-WDM-D-SK;TRUE
CFP2-WDM-DET-1HL;TRUE
CFP2-WDM-DET-SK;TRUE
DP04CFP2-M25-K9;TRUE
QDD-2Q200-CU1M;TRUE
QDD-2Q200-CU2M;TRUE
QDD-4ZQ100-CU1M;TRUE
QDD-4ZQ100-CU2M;TRUE
QDD-4ZQ100-CU3M;TRUE
QSFP-200-CU3M;TRUE
QSFP-4SFP25G-CU4M;TRUE
QSFP-40-SR-BD;TRUE
OSFPR-800G-DR8;TRUE
DP04SFP8-E20;TRUE
QSFP-4SFP25G-CU1.5M;TRUE
QSFP-4SFP25G-CU2.5M;TRUE
ONS-QC-16GFC-SW;TRUE
QSFP-100G-ZR4-I;TRUE
QSFP-100G-B40D-I;TRUE
QSFP-100G-B40U-I;TRUE
DP01QS28-E20;TRUE
DP01QS28-E25;TRUE
DWDM-GBIC-30.33;TRUE
DWDM-GBIC-31.12;TRUE
DWDM-GBIC-31.90;TRUE
DWDM-GBIC-32.68;TRUE
DWDM-GBIC-34.25;TRUE
DWDM-GBIC-35.04;TRUE
DWDM-GBIC-35.82;TRUE
DWDM-GBIC-36.61;TRUE
DWDM-GBIC-38.19;TRUE
DWDM-GBIC-38.98;TRUE
DWDM-GBIC-39.77;TRUE
DWDM-GBIC-40.56;TRUE
DWDM-GBIC-42.14;TRUE
DWDM-GBIC-42.94;TRUE
DWDM-GBIC-43.73;TRUE
DWDM-GBIC-44.53;TRUE
DWDM-GBIC-46.12;TRUE
DWDM-GBIC-46.92;TRUE
DWDM-GBIC-47.72;TRUE
DWDM-GBIC-48.51;TRUE
DWDM-GBIC-50.12;TRUE
DWDM-GBIC-50.92;TRUE
DWDM-GBIC-51.72;TRUE
DWDM-GBIC-52.52;TRUE
DWDM-GBIC-54.13;TRUE
DWDM-GBIC-54.94;TRUE
DWDM-GBIC-55.75;TRUE
DWDM-GBIC-56.55;TRUE
DWDM-GBIC-58.17;TRUE
DWDM-GBIC-58.98;TRUE
DWDM-GBIC-59.79;TRUE
DWDM-GBIC-60.61;TRUE
X2-10GB-SR++;TRUE
X2-10GB-LR++;TRUE
X2-10GB-LRM++;TRUE
XFP-10GER-192IR+;TRUE
DWDM-XENPAK-30.33;TRUE
DWDM-XENPAK-31.12;TRUE
DWDM-XENPAK-31.90;TRUE
DWDM-XENPAK-32.68;TRUE
DWDM-XENPAK-34.25;TRUE
DWDM-XENPAK-35.04;TRUE
DWDM-XENPAK-35.82;TRUE
DWDM-XENPAK-36.61;TRUE
