Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
QSFP-4SFP25-CU1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25-CU2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25-CU4M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25-CU5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-SR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-SL4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-B20U4-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-B20D4-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-CU1.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-CU2.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
Q-4SFP25G-CU1.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
Q-4SFP25G-CU2.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
FET-40G,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-CU0-5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP10-CU0-5,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AOC1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AOC2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AOC3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AOC5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AOC7M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AOC10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-T-X,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-SR-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-LR10-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-BXD-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-BXU-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-BX40U-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-T-RGD,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-GE-DR-LX,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-BX-U-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-BX-D-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-2BX-D-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-1G-LH,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-1G-SX,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-1G-T-X,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H25G-CU1.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H25G-CU2.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-BX40D-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-BX40U-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU0.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU1.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU2.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU4M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-SL,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-SR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-LR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-BXD-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-BXU-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-BX40D-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-BX40U-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-ER-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-2Q200-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-VR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-SR8-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-SR4.2-BD,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-BD,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-4X100G-FR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-100G-LR4-2K,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-10X10G-LR,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-100G-FR,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-GE-100FX,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-FE-T-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
XFP10GLR192SR-RGD,,condition,Funktionsattribut,Wertliste,Deutsch,new
X2-10GB-T,,condition,Funktionsattribut,Wertliste,Deutsch,new
OSFP-800G-VR8,,condition,Funktionsattribut,Wertliste,Deutsch,new
OSFP-800G-VR8P,,condition,Funktionsattribut,Wertliste,Deutsch,new
OSFP-800G-DR8,,condition,Funktionsattribut,Wertliste,Deutsch,new
OSFP-800G-DR8P,,condition,Funktionsattribut,Wertliste,Deutsch,new
OSFP-2X400G-FR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-2Q200-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-200G-SR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-200G-SL4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-200G-FR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-400G-DR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-400G-VR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-400G-FR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-8X100G-FR,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-2X400G-FR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XFP-C,,condition,Funktionsattribut,Wertliste,Deutsch,new
DP04CFP2-D15,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-OLT20-X,,condition,Funktionsattribut,Wertliste,Deutsch,new
CIM8-C-K9,,condition,Funktionsattribut,Wertliste,Deutsch,new
CIM8-CE-K9,,condition,Funktionsattribut,Wertliste,Deutsch,new
CFP2-WDM-D-1HL,,condition,Funktionsattribut,Wertliste,Deutsch,new
CFP2-WDM-D-SK,,condition,Funktionsattribut,Wertliste,Deutsch,new
CFP2-WDM-DET-1HL,,condition,Funktionsattribut,Wertliste,Deutsch,new
CFP2-WDM-DET-SK,,condition,Funktionsattribut,Wertliste,Deutsch,new
DP04CFP2-M25-K9,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-2Q200-CU1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-2Q200-CU2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-4ZQ100-CU1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-4ZQ100-CU2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-4ZQ100-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-200-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25G-CU4M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-40-SR-BD,,condition,Funktionsattribut,Wertliste,Deutsch,new
OSFPR-800G-DR8,,condition,Funktionsattribut,Wertliste,Deutsch,new
DP04SFP8-E20,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25G-CU1.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25G-CU2.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
ONS-QC-16GFC-SW,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-ZR4-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-B40D-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-B40U-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
DP01QS28-E20,,condition,Funktionsattribut,Wertliste,Deutsch,new
DP01QS28-E25,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-30.33,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-31.12,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-31.90,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-32.68,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-34.25,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-35.04,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-35.82,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-36.61,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-38.19,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-38.98,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-39.77,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-40.56,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-42.14,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-42.94,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-43.73,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-44.53,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-46.12,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-46.92,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-47.72,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-48.51,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-50.12,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-50.92,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-51.72,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-52.52,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-54.13,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-54.94,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-55.75,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-56.55,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-58.17,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-58.98,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-59.79,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-GBIC-60.61,,condition,Funktionsattribut,Wertliste,Deutsch,new
X2-10GB-SR++,,condition,Funktionsattribut,Wertliste,Deutsch,new
X2-10GB-LR++,,condition,Funktionsattribut,Wertliste,Deutsch,new
X2-10GB-LRM++,,condition,Funktionsattribut,Wertliste,Deutsch,new
XFP-10GER-192IR+,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-30.33,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-31.12,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-31.90,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-32.68,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-34.25,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-35.04,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-35.82,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-36.61,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-38.19,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-38.98,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-39.77,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-40.56,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-42.14,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-42.94,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-43.73,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-44.53,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-46.12,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-46.92,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-47.72,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-48.51,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-50.12,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-50.92,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-51.72,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-52.52,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-54.13,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-54.94,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-55.75,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-56.55,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-58.17,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-58.98,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-59.79,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XENPAK-60.61,,condition,Funktionsattribut,Wertliste,Deutsch,new
XENPAK-10GB-LR+,,condition,Funktionsattribut,Wertliste,Deutsch,new
XENPAK-10GB-ER+,,condition,Funktionsattribut,Wertliste,Deutsch,new
XENPAK-10GB-LW,,condition,Funktionsattribut,Wertliste,Deutsch,new
WDM-XENPAK-REC,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-SFP10G-30.33,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-SFP10G-31.12,,condition,Funktionsattribut,Wertliste,Deutsch,new
