Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
QSFP-4SFP25-CU1M,Formfaktor,QSFP28,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU1M,Geschwindigkeit,100 Gbit/s (4× 25 Gbit/s),https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU1M,Anschlusstyp,1× QSFP28 + 4× SFP28 (fest konfektioniert),https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU1M,Länge,1 m,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU1M,Kabeltyp,"Twinax-Kupfer, passiv, Breakout",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU1M,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T21:13:55Z
QSFP-4SFP25-CU1M,DOM Unterstützung,Nein,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU1M,Betriebstemperatur,0 bis 70 °C,c78-743172.html:2757 / nb-06-200g-qsfp56-cables-trans-mod-ds-cte-en.html:2047 (Copper cable operation temperature); c78-736282/c78-660083/c78-455693/c78-736950/50gbase-sfp56-modules-ds (0 to 70C),datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU1M,Standard,"100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU2M,Formfaktor,QSFP28,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU2M,Geschwindigkeit,100 Gbit/s (4× 25 Gbit/s),https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU2M,Anschlusstyp,1× QSFP28 + 4× SFP28 (fest konfektioniert),https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU2M,Länge,2 m,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU2M,Kabeltyp,"Twinax-Kupfer, passiv, Breakout",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU2M,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T21:13:55Z
QSFP-4SFP25-CU2M,DOM Unterstützung,Nein,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU2M,Betriebstemperatur,0 bis 70 °C,c78-743172.html:2757 / nb-06-200g-qsfp56-cables-trans-mod-ds-cte-en.html:2047 (Copper cable operation temperature); c78-736282/c78-660083/c78-455693/c78-736950/50gbase-sfp56-modules-ds (0 to 70C),datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU2M,Standard,"100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU3M,Formfaktor,QSFP28,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU3M,Geschwindigkeit,100 Gbit/s (4× 25 Gbit/s),https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU3M,Anschlusstyp,1× QSFP28 + 4× SFP28 (fest konfektioniert),https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU3M,Länge,3 m,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU3M,Kabeltyp,"Twinax-Kupfer, passiv, Breakout",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU3M,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T21:13:55Z
QSFP-4SFP25-CU3M,DOM Unterstützung,Nein,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU3M,Betriebstemperatur,0 bis 70 °C,c78-743172.html:2757 / nb-06-200g-qsfp56-cables-trans-mod-ds-cte-en.html:2047 (Copper cable operation temperature); c78-736282/c78-660083/c78-455693/c78-736950/50gbase-sfp56-modules-ds (0 to 70C),datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU3M,Standard,"100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU4M,Formfaktor,QSFP28,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU4M,Geschwindigkeit,100 Gbit/s (4× 25 Gbit/s),https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU4M,Anschlusstyp,1× QSFP28 + 4× SFP28 (fest konfektioniert),https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU4M,Länge,4 m,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU4M,Kabeltyp,"Twinax-Kupfer, passiv, Breakout",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU4M,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T21:13:55Z
QSFP-4SFP25-CU4M,DOM Unterstützung,Nein,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU4M,Betriebstemperatur,0 bis 70 °C,c78-743172.html:2757 / nb-06-200g-qsfp56-cables-trans-mod-ds-cte-en.html:2047 (Copper cable operation temperature); c78-736282/c78-660083/c78-455693/c78-736950/50gbase-sfp56-modules-ds (0 to 70C),datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU4M,Standard,"100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU5M,Formfaktor,QSFP28,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU5M,Geschwindigkeit,100 Gbit/s (4× 25 Gbit/s),https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU5M,Anschlusstyp,1× QSFP28 + 4× SFP28 (fest konfektioniert),https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU5M,Länge,5 m,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU5M,Kabeltyp,"Twinax-Kupfer, passiv, Breakout",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU5M,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T21:13:55Z
QSFP-4SFP25-CU5M,DOM Unterstützung,Nein,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-4SFP25-CU5M,Betriebstemperatur,0 bis 70 °C,c78-743172.html:2757 / nb-06-200g-qsfp56-cables-trans-mod-ds-cte-en.html:2047 (Copper cable operation temperature); c78-736282/c78-660083/c78-455693/c78-736950/50gbase-sfp56-modules-ds (0 to 70C),datasheet,2026-06-14T21:13:55Z
QSFP-4SFP25-CU5M,Standard,"100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,datasheet,2026-06-14T21:13:55Z
QSFP-100G-SR4-S,Formfaktor,QSFP28,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
QSFP-100G-SR4-S,Geschwindigkeit,100 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/datasheet-c78-736282.html,operator-provided,2026-06-14T21:13:55Z
