Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
SFP-100M-FX-DELL;Dell SFP-100M-FX 100M SFP FX-Transceiver – Multimode, LC, bis 2 km;<p>Der Dell SFP-100M-FX ist ein 100-Megabit-SFP-Transceiver (Fast Ethernet) vom Typ FX für Multimode-Glasfaser (100BASE-FX). Über den LC-Anschluss überbrückt bis zu 2 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und für Dell-PowerSwitch-Systeme mit SFP-Steckplätzen vorgesehen. Laut Datenblatt arbeitet das SFP-100M-FX-DELL nach 100BASE-FX bei 1310 nm und erreicht bis 2 km.</p>;"<p>Der Dell SFP-100M-FX ist ein 100-Megabit-Transceiver (Fast Ethernet) im SFP-Formfaktor vom Typ FX und überträgt 100-Megabit-Ethernet nach 100BASE-FX über Multimode, abgestimmt auf Dell-PowerSwitch-Plattformen mit SFP-Steckplätzen.</p><p>Über den LC-Anschluss überbrückt bis zu 2 km über Multimode bei einer Wellenlänge von 1310 nm; die optische Anbindung nutzt 2 Fasern.</p><p>Das SFP-100M-FX ist im laufenden Betrieb steckbar (Hot-Plug) und erlaubt Wartung und Erweiterung ohne Unterbrechung des Switches. Vor dem produktiven Einsatz des SFP-100M-FX empfiehlt sich ein Abgleich von Plattform, Portgeschwindigkeit und OS10-Softwarestand. Laut Datenblatt arbeitet das SFP-100M-FX-DELL nach 100BASE-FX bei 1310 nm und erreicht bis 2 km. Originaler Dell-Transceiver für den professionellen Einsatz in Dell-Netzwerkumgebungen.</p>";dell/sfp-100m-fx;0,02;0,15;SFP-100M-FX;Dell;standard;Stk;Dell SFP-100M-FX 100M SFP FX | Hexwaren;Original Dell SFP-100M-FX: FX 100-Megabit-SFP-Transceiver (Fast Ethernet), Multimode, LC, bis 2 km. Für Dell-PowerSwitch Verlässliche Dell-Optik für PowerSwitch-Plattformen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
SFP-1G-SX-DELL;Dell SFP-1G-SX 1G SFP SX-Transceiver – Multimode, LC, bis 300 m;<p>Der Dell SFP-1G-SX ist ein 1-Gigabit-SFP-Transceiver vom Typ SX für Multimode-Glasfaser (1000BASE-SX). Über den LC-Anschluss überbrückt bis zu 300 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und für Dell-PowerSwitch-Systeme mit SFP-Steckplätzen vorgesehen. Laut Datenblatt arbeitet das SFP-1G-SX-DELL nach 1000BASE-SX bei 850 nm und erreicht bis 300 m.</p>;"<p>Der Dell SFP-1G-SX ist ein 1-Gigabit-Transceiver im SFP-Formfaktor vom Typ SX und überträgt 1-Gigabit-Ethernet nach 1000BASE-SX über Multimode, abgestimmt auf Dell-PowerSwitch-Plattformen mit SFP-Steckplätzen.</p><p>Über den LC-Anschluss überbrückt bis zu 300 m über Multimode bei einer Wellenlänge von 850 nm; die optische Anbindung nutzt 2 Fasern.</p><p>Das SFP-1G-SX ist im laufenden Betrieb steckbar (Hot-Plug) und erlaubt Wartung und Erweiterung ohne Unterbrechung des Switches. Vor dem produktiven Einsatz des SFP-1G-SX empfiehlt sich ein Abgleich von Plattform, Portgeschwindigkeit und OS10-Softwarestand. Laut Datenblatt arbeitet das SFP-1G-SX-DELL nach 1000BASE-SX bei 850 nm und erreicht bis 300 m. Originaler Dell-Transceiver für den professionellen Einsatz in Dell-Netzwerkumgebungen.</p>";dell/sfp-1g-sx;0,02;0,15;SFP-1G-SX;Dell;standard;Stk;Dell SFP-1G-SX 1G SFP SX | Hexwaren;Original Dell SFP-1G-SX: SX 1-Gigabit-SFP-Transceiver, Multimode, LC, bis 300 m. Für Dell-PowerSwitch Verlässliche Dell-Optik für PowerSwitch-Plattformen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
SFP-1G-LX-DELL;Dell SFP-1G-LX 1G SFP LX-Transceiver – Singlemode, LC, bis 10 km;<p>Der Dell SFP-1G-LX ist ein 1-Gigabit-SFP-Transceiver vom Typ LX für Singlemode-Glasfaser (1000BASE-LX). Über den LC-Anschluss überbrückt bis zu 10 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und für Dell-PowerSwitch-Systeme mit SFP-Steckplätzen vorgesehen. Laut Datenblatt arbeitet das SFP-1G-LX-DELL nach 1000BASE-LX bei 1310 nm und erreicht bis 10 km.</p>;"<p>Der Dell SFP-1G-LX ist ein 1-Gigabit-Transceiver im SFP-Formfaktor vom Typ LX und überträgt 1-Gigabit-Ethernet nach 1000BASE-LX über Singlemode, abgestimmt auf Dell-PowerSwitch-Plattformen mit SFP-Steckplätzen.</p><p>Über den LC-Anschluss überbrückt bis zu 10 km über Singlemode bei einer Wellenlänge von 1310 nm; die optische Anbindung nutzt 2 Fasern.</p><p>Das SFP-1G-LX ist im laufenden Betrieb steckbar (Hot-Plug) und erlaubt Wartung und Erweiterung ohne Unterbrechung des Switches. Vor dem produktiven Einsatz des SFP-1G-LX empfiehlt sich ein Abgleich von Plattform, Portgeschwindigkeit und OS10-Softwarestand. Laut Datenblatt arbeitet das SFP-1G-LX-DELL nach 1000BASE-LX bei 1310 nm und erreicht bis 10 km. Originaler Dell-Transceiver für den professionellen Einsatz in Dell-Netzwerkumgebungen.</p>";dell/sfp-1g-lx;0,02;0,15;SFP-1G-LX;Dell;standard;Stk;Dell SFP-1G-LX 1G SFP LX | Hexwaren;Original Dell SFP-1G-LX: LX 1-Gigabit-SFP-Transceiver, Singlemode, LC, bis 10 km. Für Dell-PowerSwitch Verlässliche Dell-Optik für PowerSwitch-Plattformen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
SFP-1G-T-DELL;Dell SFP-1G-T 1G SFP T-Transceiver – Kupfer, RJ45, bis 100 m;<p>Der Dell SFP-1G-T ist ein 1-Gigabit-SFP-Transceiver vom Typ T für RJ45-Kupfer (1000BASE-T). Über den RJ45-Anschluss überbrückt bis zu 100 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und für Dell-PowerSwitch-Systeme mit SFP-Steckplätzen vorgesehen. Laut Datenblatt arbeitet das SFP-1G-T-DELL nach 1000BASE-T und erreicht bis 100 m.</p>;<p>Der Dell SFP-1G-T ist ein 1-Gigabit-Transceiver im SFP-Formfaktor vom Typ T und überträgt 1-Gigabit-Ethernet nach 1000BASE-T über RJ45-Kupfer, abgestimmt auf Dell-PowerSwitch-Plattformen mit SFP-Steckplätzen.</p><p>Über den RJ45-Anschluss überbrückt bis zu 100 m über strukturierte Kupferverkabelung.</p><p>Das SFP-1G-T ist im laufenden Betrieb steckbar (Hot-Plug) und erlaubt Wartung und Erweiterung ohne Unterbrechung des Switches. Vor dem produktiven Einsatz des SFP-1G-T empfiehlt sich ein Abgleich von Plattform, Portgeschwindigkeit und OS10-Softwarestand. Laut Datenblatt arbeitet das SFP-1G-T-DELL nach 1000BASE-T und erreicht bis 100 m. Über den Anschluss RJ45 eignet sich das SFP-1G-T-DELL für Zugriffs-/Verteilnetz (Kupfer). Originaler Dell-Transceiver für den professionellen Einsatz in Dell-Netzwerkumgebungen.</p>;dell/sfp-1g-t;0,02;0,15;SFP-1G-T;Dell;standard;Stk;Dell SFP-1G-T 1G SFP T | Hexwaren;Original Dell SFP-1G-T: T 1-Gigabit-SFP-Transceiver, Kupfer, RJ45, bis 100 m. Für Dell-PowerSwitch Verlässliche Dell-Optik für PowerSwitch-Plattformen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
SFP-10G-T-DELL;Dell SFP-10G-T 10G SFP+ T-Transceiver – Kupfer, RJ45, bis 30 m;<p>Der Dell SFP-10G-T ist ein 10-Gigabit-SFP+-Transceiver vom Typ T für RJ45-Kupfer (10GBASE-T). Über den RJ45-Anschluss überbrückt bis zu 30 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und für Dell-PowerSwitch-Systeme mit SFP+-Steckplätzen vorgesehen. Laut Datenblatt arbeitet das SFP-10G-T-DELL nach 10GBASE-T und erreicht bis 30 m.</p>;<p>Der Dell SFP-10G-T ist ein 10-Gigabit-Transceiver im SFP+-Formfaktor vom Typ T und überträgt 10-Gigabit-Ethernet nach 10GBASE-T über RJ45-Kupfer, abgestimmt auf Dell-PowerSwitch-Plattformen mit SFP+-Steckplätzen.</p><p>Über den RJ45-Anschluss überbrückt bis zu 30 m über strukturierte Kupferverkabelung.</p><p>Das SFP-10G-T ist im laufenden Betrieb steckbar (Hot-Plug) und erlaubt Wartung und Erweiterung ohne Unterbrechung des Switches. Vor dem produktiven Einsatz des SFP-10G-T empfiehlt sich ein Abgleich von Plattform, Portgeschwindigkeit und OS10-Softwarestand. Laut Datenblatt arbeitet das SFP-10G-T-DELL nach 10GBASE-T und erreicht bis 30 m. Über den Anschluss RJ45 eignet sich das SFP-10G-T-DELL für Zugriffs-/Verteilnetz (Kupfer). Originaler Dell-Transceiver für den professionellen Einsatz in Dell-Netzwerkumgebungen.</p>;dell/sfp-10g-t;0,02;0,15;SFP-10G-T;Dell;standard;Stk;Dell SFP-10G-T 10G SFP+ T | Hexwaren;Original Dell SFP-10G-T: T 10-Gigabit-SFP+-Transceiver, Kupfer, RJ45, bis 30 m. Für Dell-PowerSwitch Verlässliche Dell-Optik für PowerSwitch-Plattformen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
SFP-10G-T-LP;Dell SFP-10G-T-LP 10G SFP+ T-Transceiver – Kupfer, RJ45, bis 30 m;<p>Der Dell SFP-10G-T-LP ist ein 10-Gigabit-SFP+-Transceiver vom Typ T für RJ45-Kupfer (10GBASE-T). Über den RJ45-Anschluss überbrückt bis zu 30 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und für Dell-PowerSwitch-Systeme mit SFP+-Steckplätzen vorgesehen. Laut Datenblatt arbeitet das SFP-10G-T-LP nach 10GBASE-T und erreicht bis 30 m.</p>;<p>Der Dell SFP-10G-T-LP ist ein 10-Gigabit-Transceiver im SFP+-Formfaktor vom Typ T und überträgt 10-Gigabit-Ethernet nach 10GBASE-T über RJ45-Kupfer, abgestimmt auf Dell-PowerSwitch-Plattformen mit SFP+-Steckplätzen.</p><p>Über den RJ45-Anschluss überbrückt bis zu 30 m über strukturierte Kupferverkabelung.</p><p>Das SFP-10G-T-LP ist im laufenden Betrieb steckbar (Hot-Plug) und erlaubt Wartung und Erweiterung ohne Unterbrechung des Switches. Vor dem produktiven Einsatz des SFP-10G-T-LP empfiehlt sich ein Abgleich von Plattform, Portgeschwindigkeit und OS10-Softwarestand. Laut Datenblatt arbeitet das SFP-10G-T-LP nach 10GBASE-T und erreicht bis 30 m. Über den Anschluss RJ45 eignet sich das SFP-10G-T-LP für Zugriffs-/Verteilnetz (Kupfer). Originaler Dell-Transceiver für den professionellen Einsatz in Dell-Netzwerkumgebungen.</p>;dell/sfp-10g-t-lp;0,02;0,15;SFP-10G-T-LP;Dell;standard;Stk;Dell SFP-10G-T-LP 10G SFP+ T | Hexwaren;Original Dell SFP-10G-T-LP: T 10-Gigabit-SFP+-Transceiver, Kupfer, RJ45, bis 30 m. Für Dell-PowerSwitch Verlässliche Dell-Optik für PowerSwitch-Plattformen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
SFP-10G-T-RA;Dell SFP-10G-T-RA 10G SFP+ T-Transceiver – Kupfer, RJ45, bis 30 m;<p>Der Dell SFP-10G-T-RA ist ein 10-Gigabit-SFP+-Transceiver vom Typ T für RJ45-Kupfer (10GBASE-T). Über den RJ45-Anschluss überbrückt bis zu 30 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und für Dell-PowerSwitch-Systeme mit SFP+-Steckplätzen vorgesehen. Laut Datenblatt arbeitet das SFP-10G-T-RA nach 10GBASE-T und erreicht bis 30 m.</p>;<p>Der Dell SFP-10G-T-RA ist ein 10-Gigabit-Transceiver im SFP+-Formfaktor vom Typ T und überträgt 10-Gigabit-Ethernet nach 10GBASE-T über RJ45-Kupfer, abgestimmt auf Dell-PowerSwitch-Plattformen mit SFP+-Steckplätzen.</p><p>Über den RJ45-Anschluss überbrückt bis zu 30 m über strukturierte Kupferverkabelung.</p><p>Das SFP-10G-T-RA ist im laufenden Betrieb steckbar (Hot-Plug) und erlaubt Wartung und Erweiterung ohne Unterbrechung des Switches. Vor dem produktiven Einsatz des SFP-10G-T-RA empfiehlt sich ein Abgleich von Plattform, Portgeschwindigkeit und OS10-Softwarestand. Laut Datenblatt arbeitet das SFP-10G-T-RA nach 10GBASE-T und erreicht bis 30 m. Über den Anschluss RJ45 eignet sich das SFP-10G-T-RA für Zugriffs-/Verteilnetz (Kupfer). Originaler Dell-Transceiver für den professionellen Einsatz in Dell-Netzwerkumgebungen.</p>;dell/sfp-10g-t-ra;0,02;0,15;SFP-10G-T-RA;Dell;standard;Stk;Dell SFP-10G-T-RA 10G SFP+ T | Hexwaren;Original Dell SFP-10G-T-RA: T 10-Gigabit-SFP+-Transceiver, Kupfer, RJ45, bis 30 m. Für Dell-PowerSwitch Verlässliche Dell-Optik für PowerSwitch-Plattformen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
SFP28-25G-SR;Dell SFP28-25G-SR 25G SFP28 Optik-Transceiver – Multimode, LC, bis 70 m;<p>Der Dell SFP28-25G-SR ist ein 25-Gigabit-SFP28-Transceiver für Multimode-Glasfaser. Über den LC-Anschluss überbrückt bis zu 70 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und für Dell-PowerSwitch-Systeme mit SFP28-Steckplätzen vorgesehen. Vor dem Einsatz ist die Freigabe für Plattform und OS10-Softwarestand zu prüfen.</p>;"<p>Der Dell SFP28-25G-SR ist ein 25-Gigabit-Transceiver im SFP28-Formfaktor und überträgt 25-Gigabit-Ethernet über Multimode, abgestimmt auf Dell-PowerSwitch-Plattformen mit SFP28-Steckplätzen.</p><p>Über den LC-Anschluss überbrückt bis zu 70 m über Multimode bei einer Wellenlänge von 850 nm; die optische Anbindung nutzt 2 Fasern.</p><p>Das SFP28-25G-SR ist im laufenden Betrieb steckbar (Hot-Plug) und erlaubt Wartung und Erweiterung ohne Unterbrechung des Switches. Vor dem produktiven Einsatz des SFP28-25G-SR empfiehlt sich ein Abgleich von Plattform, Portgeschwindigkeit und OS10-Softwarestand. Über den Anschluss LC eignet sich das SFP28-25G-SR für Rechenzentrum (Kurzstrecke). Das SFP28-25G-SR ist für Multimode ausgelegt und im Temperaturbereich 0 bis 70 °C spezifiziert. Originaler Dell-Transceiver für den professionellen Einsatz in Dell-Netzwerkumgebungen.</p>";dell/sfp28-25g-sr;0,02;0,15;SFP28-25G-SR;Dell;standard;Stk;Dell SFP28-25G-SR 25G SFP28 70 m | Hexwaren;Original Dell SFP28-25G-SR: 25-Gigabit-SFP28-Transceiver, Multimode, LC, bis 70 m. Für Dell-PowerSwitch Verlässliche Dell-Optik für PowerSwitch-Plattformen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP28;TRUE;Y;Y
SFP28-25G-ESR;Dell SFP28-25G-ESR 25G SFP28 ESR-Transceiver – Multimode, LC, bis 200 m;<p>Der Dell SFP28-25G-ESR ist ein 25-Gigabit-SFP28-Transceiver vom Typ ESR für Multimode-Glasfaser (25GBASE-ESR). Über den LC-Anschluss überbrückt bis zu 200 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und für Dell-PowerSwitch-Systeme mit SFP28-Steckplätzen vorgesehen. Laut Datenblatt arbeitet das SFP28-25G-ESR nach 25GBASE-ESR bei 850 nm und erreicht bis 200 m.</p>;"<p>Der Dell SFP28-25G-ESR ist ein 25-Gigabit-Transceiver im SFP28-Formfaktor vom Typ ESR und überträgt 25-Gigabit-Ethernet nach 25GBASE-ESR über Multimode, abgestimmt auf Dell-PowerSwitch-Plattformen mit SFP28-Steckplätzen.</p><p>Über den LC-Anschluss überbrückt bis zu 200 m über Multimode bei einer Wellenlänge von 850 nm; die optische Anbindung nutzt 2 Fasern.</p><p>Das SFP28-25G-ESR ist im laufenden Betrieb steckbar (Hot-Plug) und erlaubt Wartung und Erweiterung ohne Unterbrechung des Switches. Vor dem produktiven Einsatz des SFP28-25G-ESR empfiehlt sich ein Abgleich von Plattform, Portgeschwindigkeit und OS10-Softwarestand. Laut Datenblatt arbeitet das SFP28-25G-ESR nach 25GBASE-ESR bei 850 nm und erreicht bis 200 m. Originaler Dell-Transceiver für den professionellen Einsatz in Dell-Netzwerkumgebungen.</p>";dell/sfp28-25g-esr;0,02;0,15;SFP28-25G-ESR;Dell;standard;Stk;Dell SFP28-25G-ESR 25G SFP28 ESR | Hexwaren;Original Dell SFP28-25G-ESR: ESR 25-Gigabit-SFP28-Transceiver, Multimode, LC, bis 200 m. Für Dell-PowerSwitch Verlässliche Dell-Optik für PowerSwitch-Plattformen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP28;TRUE;Y;Y
SFP28-25G-LR;Dell SFP28-25G-LR 25G SFP28 LR-Transceiver – Singlemode, LC, bis 10 km;<p>Der Dell SFP28-25G-LR ist ein 25-Gigabit-SFP28-Transceiver vom Typ LR für Singlemode-Glasfaser (25GBASE-LR). Über den LC-Anschluss überbrückt bis zu 10 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und für Dell-PowerSwitch-Systeme mit SFP28-Steckplätzen vorgesehen. Laut Datenblatt arbeitet das SFP28-25G-LR nach 25GBASE-LR bei 1310 nm und erreicht bis 10 km.</p>;"<p>Der Dell SFP28-25G-LR ist ein 25-Gigabit-Transceiver im SFP28-Formfaktor vom Typ LR und überträgt 25-Gigabit-Ethernet nach 25GBASE-LR über Singlemode, abgestimmt auf Dell-PowerSwitch-Plattformen mit SFP28-Steckplätzen.</p><p>Über den LC-Anschluss überbrückt bis zu 10 km über Singlemode bei einer Wellenlänge von 1310 nm; die optische Anbindung nutzt 2 Fasern.</p><p>Das SFP28-25G-LR ist im laufenden Betrieb steckbar (Hot-Plug) und erlaubt Wartung und Erweiterung ohne Unterbrechung des Switches. Vor dem produktiven Einsatz des SFP28-25G-LR empfiehlt sich ein Abgleich von Plattform, Portgeschwindigkeit und OS10-Softwarestand. Laut Datenblatt arbeitet das SFP28-25G-LR nach 25GBASE-LR bei 1310 nm und erreicht bis 10 km. Originaler Dell-Transceiver für den professionellen Einsatz in Dell-Netzwerkumgebungen.</p>";dell/sfp28-25g-lr;0,02;0,15;SFP28-25G-LR;Dell;standard;Stk;Dell SFP28-25G-LR 25G SFP28 LR | Hexwaren;Original Dell SFP28-25G-LR: LR 25-Gigabit-SFP28-Transceiver, Singlemode, LC, bis 10 km. Für Dell-PowerSwitch Verlässliche Dell-Optik für PowerSwitch-Plattformen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP28;TRUE;Y;Y
