Artikelnummer;Netto-VK
SFP-100M-FX-DELL;0,00
SFP-1G-SX-DELL;0,00
SFP-1G-LX-DELL;0,00
SFP-1G-T-DELL;0,00
SFP-10G-T-DELL;0,00
SFP-10G-T-LP;0,00
SFP-10G-T-RA;0,00
SFP28-25G-SR;0,00
SFP28-25G-ESR;0,00
SFP28-25G-LR;0,00
QSFP-40G-SM4;0,00
QSFP-40G-BIDI;0,00
Q28-100G-SR1.2;0,00
Q28-100G-SR4;0,00
Q28-100G-ESR4;0,00
Q28-100G-BIDI;0,00
Q28-100G-SWDM4;0,00
Q28-100G-CWDM4;0,00
Q28-100G-LR1;0,00
Q28-100G-LR4-Gen3;0,00
Q28-100G-LR4-Gen4;0,00
Q28-100G-FR;0,00
Q28-100G-ER4-lite;0,00
Q28-100G-PSM4-IR;0,00
Q28-100G-PSM4-10;0,00
Q28-100G-SR4-G2;0,00
Q28-100G-FR-Gen3-LP;0,00
S56DD-100G-FR;0,00
S56DD-100G-LR;0,00
S56DD-100G-SR1.2;0,00
Q28DD-200G-2SR4;0,00
Q56-200G-SR4;0,00
400G-Q56DD-VR4;0,00
400G-Q56DD-SR4.2-ON-Gen2;0,00
400G-Q56DD-SR4.2-ON-Gen3;0,00
400G-Q56-DD-SR4.2-ON-Gen4;0,00
400G-Q56DD-SR8-Gen2;0,00
400G-Q56DD-EDR4-Gen2;0,00
400G-Q56DD-EDR4-Gen3;0,00
400G-Q56DD-FR4-Gen2;0,00
400G-Q56DD-LR4;0,00
400G-Q56DD-LDR4;0,00
400G-Q56DD-ZR+*;0,00
800G-O112-2VR4;0,00
800G-O112-2EDR4;0,00
800G-O112-2FR4*;0,00
800G-O112-VR8;0,00
800G-O112-2DR4-DSPLPO;0,00
800G-O112-EDR8;0,00
800G-O112-DR8-LPO;0,00
800G-O112-2DR4-LPO;0,00
800G-O112-2VR4-DSPLPO;0,00
DAC-SFP-10G-0.5M;0,00
DAC-SFP-10G-1M;0,00
DAC-SFP-10G-2M;0,00
DAC-SFP-10G-3M;0,00
DAC-SFP-10G-5M;0,00
DAC-SFP-10G-7M;0,00
AOC-SFP-10G-2M;0,00
AOC-SFP-10G-3M;0,00
AOC-SFP-10G-5M;0,00
AOC-SFP-10G-10M;0,00
