Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
100G-SR4-QSFP100M,"384,00","Extreme Networks mainstream 0,80× der Cisco-Referenz; genuine Extreme 10301 (10GBASE-SR) ~$125–200 (≫ Kompatibel FS/EDGE/Axiom), Network-Hardwares genuine-Listing",geschätzt-aus-Vergleich,100G-SR
100G-SR4BD-QSFP100M,"384,00","Extreme Networks mainstream 0,80× der Cisco-Referenz; genuine Extreme 10301 (10GBASE-SR) ~$125–200 (≫ Kompatibel FS/EDGE/Axiom), Network-Hardwares genuine-Listing",geschätzt-aus-Vergleich,100G-SR
100G-SWDM4-QSFP100M,"384,00","Extreme Networks mainstream 0,80× der Cisco-Referenz; genuine Extreme 10301 (10GBASE-SR) ~$125–200 (≫ Kompatibel FS/EDGE/Axiom), Network-Hardwares genuine-Listing",geschätzt-aus-Vergleich,100G-SR
100G-ESR4-QSFP300M,"384,00","Extreme Networks mainstream 0,80× der Cisco-Referenz; genuine Extreme 10301 (10GBASE-SR) ~$125–200 (≫ Kompatibel FS/EDGE/Axiom), Network-Hardwares genuine-Listing",geschätzt-aus-Vergleich,100G-SR
100G-DR-QSFP500M,"560,00","Extreme Networks mainstream 0,80× der Cisco-Referenz; genuine Extreme 10301 (10GBASE-SR) ~$125–200 (≫ Kompatibel FS/EDGE/Axiom), Network-Hardwares genuine-Listing",geschätzt-aus-Vergleich,100G-DR
100G-CWDM2-QSFP2KM,"1.200,00","Extreme Networks mainstream 0,80× der Cisco-Referenz; genuine Extreme 10301 (10GBASE-SR) ~$125–200 (≫ Kompatibel FS/EDGE/Axiom), Network-Hardwares genuine-Listing",geschätzt-aus-Vergleich,100G-CWDM4
100G-LR4-QSFP2KM,"2.240,00","Extreme Networks mainstream 0,80× der Cisco-Referenz; genuine Extreme 10301 (10GBASE-SR) ~$125–200 (≫ Kompatibel FS/EDGE/Axiom), Network-Hardwares genuine-Listing",geschätzt-aus-Vergleich,100G-LR
100G-FR-QSFP2KM,"720,00","Extreme Networks mainstream 0,80× der Cisco-Referenz; genuine Extreme 10301 (10GBASE-SR) ~$125–200 (≫ Kompatibel FS/EDGE/Axiom), Network-Hardwares genuine-Listing",geschätzt-aus-Vergleich,100G-FR
10405,"720,00","Extreme Networks mainstream 0,80× der Cisco-Referenz; genuine Extreme 10301 (10GBASE-SR) ~$125–200 (≫ Kompatibel FS/EDGE/Axiom), Network-Hardwares genuine-Listing",geschätzt-aus-Vergleich,100G-PSM4
100G-LR-QSFP10KM,"2.240,00","Extreme Networks mainstream 0,80× der Cisco-Referenz; genuine Extreme 10301 (10GBASE-SR) ~$125–200 (≫ Kompatibel FS/EDGE/Axiom), Network-Hardwares genuine-Listing",geschätzt-aus-Vergleich,100G-LR
