Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
FN-TRAN-SFP-1BD10,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP-1BU10,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP-1BD40,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP-1BU40,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-LX,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-GC,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SX,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SXI-4PACK,,condition,Funktionsattribut,Wertliste,Deutsch,new
FR-TRAN-SX,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-EX-4PACK,,condition,Funktionsattribut,Wertliste,Deutsch,new
FR-TRAN-ZX,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP2-LX,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP2-SX,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP+SR,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP+SRI,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP+LR,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP+LRI,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP+LRM,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP+BD27,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP+BD33,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP+ER,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP+ERI,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP+ZR,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP+GC,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP+GC-T80,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP28-LR,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-SFP28-SR,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-QSFP+SR,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-QSFP+ER,,condition,Funktionsattribut,Wertliste,Deutsch,new
FG-TRAN-QSFP+SR-BIDI,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-QSFP+BIDI,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-QSFP+LR,,condition,Funktionsattribut,Wertliste,Deutsch,new
FN-TRAN-QSFP+LRI,,condition,Funktionsattribut,Wertliste,Deutsch,new
