Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
FN-TRAN-SFP-1BD10,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
FN-TRAN-SFP-1BD10,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
FN-TRAN-SFP-1BD10,,Transceivers & SFP Modul,Fasertyp,Singlemode-Glasfaser (SMF),4,Wertliste,Attribut
FN-TRAN-SFP-1BD10,,Transceivers & SFP Modul,Faseranzahl,1,5,Wertliste,Attribut
FN-TRAN-SFP-1BD10,,Transceivers & SFP Modul,Anschlusstyp,Single LC,6,Wertliste,Attribut
FN-TRAN-SFP-1BD10,,Transceivers & SFP Modul,Wellenlänge,TX 1490 nm / RX 1310 nm,8,Wertliste,Attribut
FN-TRAN-SFP-1BD10,,Transceivers & SFP Modul,Reichweite,10 km,10,Wertliste,Attribut
FN-TRAN-SFP-1BD10,,Transceivers & SFP Modul,Anwendung,Campus-/Metro-Netz (Langstrecke),11,Wertliste,Attribut
FN-TRAN-SFP-1BD10,,Transceivers & SFP Modul,DOM Unterstützung,Ja (Digital Monitoring),12,Wertliste,Attribut
FN-TRAN-SFP-1BD10,,Transceivers & SFP Modul,Betriebstemperatur,-40 °C bis 85 °C,13,Wertliste,Attribut
FN-TRAN-SFP-1BU10,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
FN-TRAN-SFP-1BU10,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
FN-TRAN-SFP-1BU10,,Transceivers & SFP Modul,Fasertyp,Singlemode-Glasfaser (SMF),4,Wertliste,Attribut
FN-TRAN-SFP-1BU10,,Transceivers & SFP Modul,Faseranzahl,1,5,Wertliste,Attribut
FN-TRAN-SFP-1BU10,,Transceivers & SFP Modul,Anschlusstyp,Single LC,6,Wertliste,Attribut
FN-TRAN-SFP-1BU10,,Transceivers & SFP Modul,Wellenlänge,TX 1310 nm / RX 1490 nm,8,Wertliste,Attribut
FN-TRAN-SFP-1BU10,,Transceivers & SFP Modul,Reichweite,10 km,10,Wertliste,Attribut
FN-TRAN-SFP-1BU10,,Transceivers & SFP Modul,Anwendung,Campus-/Metro-Netz (Langstrecke),11,Wertliste,Attribut
FN-TRAN-SFP-1BU10,,Transceivers & SFP Modul,DOM Unterstützung,Ja (Digital Monitoring),12,Wertliste,Attribut
FN-TRAN-SFP-1BU10,,Transceivers & SFP Modul,Betriebstemperatur,-40 °C bis 85 °C,13,Wertliste,Attribut
FN-TRAN-SFP-1BD40,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
FN-TRAN-SFP-1BD40,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
FN-TRAN-SFP-1BD40,,Transceivers & SFP Modul,Fasertyp,Singlemode-Glasfaser (SMF),4,Wertliste,Attribut
FN-TRAN-SFP-1BD40,,Transceivers & SFP Modul,Faseranzahl,1,5,Wertliste,Attribut
FN-TRAN-SFP-1BD40,,Transceivers & SFP Modul,Anschlusstyp,Single LC,6,Wertliste,Attribut
FN-TRAN-SFP-1BD40,,Transceivers & SFP Modul,Wellenlänge,TX 1490 nm / RX 1310 nm,8,Wertliste,Attribut
FN-TRAN-SFP-1BD40,,Transceivers & SFP Modul,Reichweite,40 km,10,Wertliste,Attribut
FN-TRAN-SFP-1BD40,,Transceivers & SFP Modul,Anwendung,Metro-/Weitverkehrsnetz,11,Wertliste,Attribut
FN-TRAN-SFP-1BD40,,Transceivers & SFP Modul,DOM Unterstützung,Ja (Digital Monitoring),12,Wertliste,Attribut
FN-TRAN-SFP-1BD40,,Transceivers & SFP Modul,Betriebstemperatur,-40 °C bis 85 °C,13,Wertliste,Attribut
FN-TRAN-SFP-1BU40,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
FN-TRAN-SFP-1BU40,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
FN-TRAN-SFP-1BU40,,Transceivers & SFP Modul,Fasertyp,Singlemode-Glasfaser (SMF),4,Wertliste,Attribut
FN-TRAN-SFP-1BU40,,Transceivers & SFP Modul,Faseranzahl,1,5,Wertliste,Attribut
FN-TRAN-SFP-1BU40,,Transceivers & SFP Modul,Anschlusstyp,Single LC,6,Wertliste,Attribut
FN-TRAN-SFP-1BU40,,Transceivers & SFP Modul,Wellenlänge,TX 1310 nm / RX 1490 nm,8,Wertliste,Attribut
FN-TRAN-SFP-1BU40,,Transceivers & SFP Modul,Reichweite,40 km,10,Wertliste,Attribut
FN-TRAN-SFP-1BU40,,Transceivers & SFP Modul,Anwendung,Metro-/Weitverkehrsnetz,11,Wertliste,Attribut
FN-TRAN-SFP-1BU40,,Transceivers & SFP Modul,DOM Unterstützung,Ja (Digital Monitoring),12,Wertliste,Attribut
FN-TRAN-SFP-1BU40,,Transceivers & SFP Modul,Betriebstemperatur,-40 °C bis 85 °C,13,Wertliste,Attribut
FN-TRAN-LX,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
FN-TRAN-LX,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
FN-TRAN-LX,,Transceivers & SFP Modul,Transceiver Typ,LX,3,Wertliste,Attribut
FN-TRAN-LX,,Transceivers & SFP Modul,Fasertyp,Singlemode-Glasfaser (SMF),4,Wertliste,Attribut
FN-TRAN-LX,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
FN-TRAN-LX,,Transceivers & SFP Modul,Anschlusstyp,Duplex LC,6,Wertliste,Attribut
FN-TRAN-LX,,Transceivers & SFP Modul,Wellenlänge,1310 nm,8,Wertliste,Attribut
FN-TRAN-LX,,Transceivers & SFP Modul,Reichweite,10 km,10,Wertliste,Attribut
FN-TRAN-LX,,Transceivers & SFP Modul,Anwendung,Campus-/Metro-Netz (Langstrecke),11,Wertliste,Attribut
FN-TRAN-LX,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
