Artikelnummer;Netto-VK
FN-TRAN-SFP-1BD10;85,00
FN-TRAN-SFP-1BU10;85,00
FN-TRAN-SFP-1BD40;255,00
FN-TRAN-SFP-1BU40;255,00
FN-TRAN-LX;85,00
FN-TRAN-GC;85,00
FN-TRAN-SX;85,00
FN-TRAN-SXI-4PACK;85,00
FR-TRAN-SX;85,00
FN-TRAN-EX-4PACK;255,00
FR-TRAN-ZX;85,00
FN-TRAN-SFP2-LX;85,00
FN-TRAN-SFP2-SX;85,00
FN-TRAN-SFP+SR;168,00
FN-TRAN-SFP+SRI;168,00
FN-TRAN-SFP+LR;332,00
FN-TRAN-SFP+LRI;168,00
FN-TRAN-SFP+LRM;298,00
FN-TRAN-SFP+BD27;168,00
FN-TRAN-SFP+BD33;168,00
FN-TRAN-SFP+ER;765,00
FN-TRAN-SFP+ERI;595,00
FN-TRAN-SFP+ZR;1275,00
FN-TRAN-SFP+GC;168,00
FN-TRAN-SFP+GC-T80;168,00
FN-TRAN-SFP28-LR;476,00
FN-TRAN-SFP28-SR;221,00
FN-TRAN-QSFP+SR;298,00
FN-TRAN-QSFP+ER;2550,00
FG-TRAN-QSFP+SR-BIDI;298,00
FN-TRAN-QSFP+BIDI;298,00
FN-TRAN-QSFP+LR;1190,00
FN-TRAN-QSFP+LRI;1190,00
FN-TRAN-SFP56-SR;357,00
FN-TRAN-FX;85,00
FN-TRAN-SFX;85,00
FN-TRAN-FE-4PACK;408,00
FG-TRAN-CFP2-LR4;2380,00
FG-TRAN-CFP2-SR10;408,00
FN-TRAN-QSFP28-SR;408,00
FN-TRAN-QSFP28-LR;2380,00
FN-TRAN-QSFP28-FR;765,00
FN-TRAN-QSFP28-ER;2975,00
FN-TRAN-QSFP28-DR;595,00
FN-TRAN-QSFP28-CWDM4;1275,00
FN-TRAN-QSFP28-BIDI;408,00
FN-TRAN-QSFP28-BIDI-I;408,00
FN-TRAN-QSFP56-SR4;1870,00
FN-TRAN-QSFP56-FR4;2720,00
FN-TRAN-QSFPDD-SR8;2040,00
FN-TRAN-QSFPDD-DR4;2040,00
FN-TRAN-QSFPDD-LR4;3825,00
FN-TRAN-QSFPDD-FR4;2380,00
FN-TRAN-QSFPDD-DR4+;2040,00
SP-CABLE-ADASFP+;153,00
FN-CABLE-SFP+1;76,00
FN-CABLE-SFP+3;94,00
FN-CABLE-SFP+5;110,00
FN-CABLE-SFP28-1;91,00
FN-CABLE-SFP28-3;111,00
FN-CABLE-SFP28-5;132,00
FN-CABLE-QSFP+1;87,00
FN-CABLE-QSFP+3;107,00
FN-CABLE-QSFP+5;128,00
FN-CABLE-QSFP+7-4PACK;148,00
FG-TRAN-QSFP-4XSFP;298,00
FG-TRAN-QSFP-4SFP-5;298,00
FN-CABLE-SFP56-DAC-L1;103,00
FN-CABLE-SFP56-DAC-LB5;129,00
FG-CABLE-SR10-SFP+;408,00
FG-CABLE-SR10-SFP+5;408,00
FN-CABLE-QSFP28-1;166,00
FN-CABLE-QSFP28-2;191,00
FN-CABLE-QSFP28-3;217,00
FN-CABLE-QSFP28-5;268,00
FN-CABLE-QSFP28-4SFP28-1;166,00
FN-CABLE-QSFP28-4SFP28-3;217,00
FN-CABLE-QSFP28-4SFP28-5;268,00
FN-CABLE-QSFP56-DAC-L1;259,00
FN-CABLE-QSFP56-DAC-LB5;304,00
FN-CABLE-QSFPDD-DAC-01;370,00
FN-CABLE-QSFPDD-DAC-B5;440,00
FN-CABLE-QSFPDD-AOC-03;748,00
FN-CABLE-QSFPDD-2QSFP56-L1;370,00
FN-CABLE-QSFPDD-2QSFP56-LB5;440,00
FN-CABLE-QSFPDD-8SFP56-L1;370,00
FN-CABLE-QSFPDD-8SFP56-LB5;440,00
