Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
FN-TRAN-SFP-1BD10,Formfaktor,SFP,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,operator-provided,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD10,Geschwindigkeit,1 Gbit/s,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,operator-provided,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD10,Fasertyp,Singlemode-Glasfaser (SMF),https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD10,Faseranzahl,1,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,derived:single-fibre-bidi->1-fibre,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD10,Anschlusstyp,Single LC,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD10,Wellenlänge,TX 1490 nm / RX 1310 nm,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD10,Reichweite,10 km,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD10,Anwendung,Campus-/Metro-Netz (Langstrecke),abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD10,DOM Unterstützung,Ja,SFF-8472 (DDM/DOM) Familienstandard — Inferenz (kein herstellerseitiger Per-Part-Nachweis),inference: SFF-8472 family-standard,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD10,Betriebstemperatur,-40 bis 85 °C,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU10,Formfaktor,SFP,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,operator-provided,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU10,Geschwindigkeit,1 Gbit/s,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,operator-provided,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU10,Fasertyp,Singlemode-Glasfaser (SMF),https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU10,Faseranzahl,1,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,derived:single-fibre-bidi->1-fibre,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU10,Anschlusstyp,Single LC,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU10,Wellenlänge,TX 1310 nm / RX 1490 nm,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU10,Reichweite,10 km,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU10,Anwendung,Campus-/Metro-Netz (Langstrecke),abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU10,DOM Unterstützung,Ja,SFF-8472 (DDM/DOM) Familienstandard — Inferenz (kein herstellerseitiger Per-Part-Nachweis),inference: SFF-8472 family-standard,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU10,Betriebstemperatur,-40 bis 85 °C,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD40,Formfaktor,SFP,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,operator-provided,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD40,Geschwindigkeit,1 Gbit/s,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,operator-provided,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD40,Fasertyp,Singlemode-Glasfaser (SMF),https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD40,Faseranzahl,1,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,derived:single-fibre-bidi->1-fibre,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD40,Anschlusstyp,Single LC,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD40,Wellenlänge,TX 1490 nm / RX 1310 nm,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD40,Reichweite,40 km,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD40,Anwendung,Metro-/Weitverkehrsnetz,abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD40,DOM Unterstützung,Ja,SFF-8472 (DDM/DOM) Familienstandard — Inferenz (kein herstellerseitiger Per-Part-Nachweis),inference: SFF-8472 family-standard,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BD40,Betriebstemperatur,-40 bis 85 °C,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU40,Formfaktor,SFP,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,operator-provided,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU40,Geschwindigkeit,1 Gbit/s,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,operator-provided,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU40,Fasertyp,Singlemode-Glasfaser (SMF),https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU40,Faseranzahl,1,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,derived:single-fibre-bidi->1-fibre,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU40,Anschlusstyp,Single LC,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU40,Wellenlänge,TX 1310 nm / RX 1490 nm,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU40,Reichweite,40 km,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU40,Anwendung,Metro-/Weitverkehrsnetz,abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU40,DOM Unterstützung,Ja,SFF-8472 (DDM/DOM) Familienstandard — Inferenz (kein herstellerseitiger Per-Part-Nachweis),inference: SFF-8472 family-standard,2026-06-14T20:27:00Z
FN-TRAN-SFP-1BU40,Betriebstemperatur,-40 bis 85 °C,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-LX,Formfaktor,SFP,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,operator-provided,2026-06-14T20:27:00Z
FN-TRAN-LX,Geschwindigkeit,1 Gbit/s,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,operator-provided,2026-06-14T20:27:00Z
FN-TRAN-LX,Transceiver Typ,LX,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,operator-provided,2026-06-14T20:27:00Z
FN-TRAN-LX,Fasertyp,Singlemode-Glasfaser (SMF),https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-LX,Faseranzahl,2,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,derived:duplex->2-fibres,2026-06-14T20:27:00Z
FN-TRAN-LX,Anschlusstyp,Duplex LC,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-LX,Wellenlänge,1310 nm,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-LX,Reichweite,10 km,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Fortinet_Transceivers.pdf,datasheet,2026-06-14T20:27:00Z
FN-TRAN-LX,Anwendung,Campus-/Metro-Netz (Langstrecke),abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T20:27:00Z
