Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
FN-TRAN-SFP-1BD10,"85,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,1G-SR
FN-TRAN-SFP-1BU10,"85,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,1G-SR
FN-TRAN-SFP-1BD40,"255,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,1G-BX40
FN-TRAN-SFP-1BU40,"255,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,1G-BX40
FN-TRAN-LX,"85,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,1G-SR
FN-TRAN-GC,"85,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,1G-SR
FN-TRAN-SX,"85,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,1G-SR
FN-TRAN-SXI-4PACK,"85,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,1G-SR
FR-TRAN-SX,"85,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,1G-SR
FN-TRAN-EX-4PACK,"255,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,1G-BX40
FR-TRAN-ZX,"85,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,1G-SR
FN-TRAN-SFP2-LX,"85,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,1G-SR
FN-TRAN-SFP2-SX,"85,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,1G-SR
FN-TRAN-SFP+SR,"168,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
FN-TRAN-SFP+SRI,"168,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
FN-TRAN-SFP+LR,"332,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,10G-LR
FN-TRAN-SFP+LRI,"168,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
FN-TRAN-SFP+LRM,"298,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,10G-LRM
FN-TRAN-SFP+BD27,"168,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
FN-TRAN-SFP+BD33,"168,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
FN-TRAN-SFP+ER,"765,00","Fortinet mainstream 0,85× der Cisco-Referenz; genuine FN-TRAN-* (Fortinet-eigene PNs; ≫ Kompatibel)",geschätzt-aus-Vergleich,10G-ER
