Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
R9B41A;HPE Aruba Networking R9B41A 400G QSFP-DD SR8 Transceiver – Multimode-Glasfaser (MMF), MPO, 100 m;<p>Der HPE Aruba Networking R9B41A ist ein 400-Gigabit-QSFP-DD-Transceiver für Multimode-Glasfaser. Über den MPO-Anschluss überbrückt er bis zu 100 m und vom Typ SR8 ist er auf HPE-/Aruba-Switches abgestimmt.</p><p>Als Original-HPE-Aruba-Neuware wird das Modul versiegelt geliefert, ist im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit QSFP-DD-Steckplätzen vorgesehen.</p>;"<p>Der HPE Aruba Networking R9B41A ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor, der für den Betrieb über Multimode-Glasfaser (MMF) ausgelegt und auf HPE-/Aruba-Switches der AOS-S- und AOS-CX-Serien abgestimmt ist.</p><p>Die Wellenlänge beträgt 850 nm (MMF). Über den MPO-Anschluss überbrückt das Modul Strecken von bis zu 100 m vom Typ SR8.</p><p>Als Original-HPE-Aruba-Neuware ist das Modul versiegelt und für Systeme mit QSFP-DD-Steckplätzen vorgesehen. Die Auslieferung des R9B41A erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt die Betriebswellenlänge 850 nm (MMF), die Reichweite 100 m; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler HP-Transceiver für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9b41a;0,06;0,22;R9B41A;HP;standard;Stk;HPE R9B41A 400G QSFP-DD 100 m | Hexwaren;Original HPE Aruba Networking R9B41A SR8 400-Gigabit-Transceiver für Multimode: MPO, 100 m. Neu, versiegelt, auf HPE-/Aruba-Switches abgestimmt.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
S3N90A;HPE Aruba Networking S3N90A QSFP-DD DR Transceiver – Singlemode-Glasfaser (SMF), LC, 500 m;<p>Der HPE Aruba Networking S3N90A ist ein QSFP-DD-Transceiver für Singlemode-Glasfaser. Über den LC-Anschluss überbrückt er bis zu 500 m und vom Typ DR ist er auf HPE-/Aruba-Switches abgestimmt.</p><p>Als Original-HPE-Aruba-Neuware wird das Modul versiegelt geliefert, ist im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit QSFP-DD-Steckplätzen vorgesehen.</p>;"<p>Der HPE Aruba Networking S3N90A ist ein Transceiver im QSFP-DD-Formfaktor, der für den Betrieb über Singlemode-Glasfaser (SMF) ausgelegt und auf HPE-/Aruba-Switches der AOS-S- und AOS-CX-Serien abgestimmt ist.</p><p>Die Wellenlänge beträgt 1310 nm. Über den LC-Anschluss überbrückt das Modul Strecken von bis zu 500 m vom Typ DR.</p><p>Als Original-HPE-Aruba-Neuware ist das Modul versiegelt und für Systeme mit QSFP-DD-Steckplätzen vorgesehen. Die Auslieferung des S3N90A erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt die Betriebswellenlänge 1310 nm, die Reichweite 500 m; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler HP-Transceiver für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s3n90a;0,06;0,22;S3N90A;HP;standard;Stk;HPE S3N90A QSFP-DD 500 m | Hexwaren;Original HPE Aruba Networking S3N90A DR -Transceiver für Singlemode: LC, 500 m, 1310 nm. Neu, versiegelt, auf HPE-/Aruba-Switches abgestimmt.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
S3N93A;HPE Aruba Networking S3N93A 400G QSFP-DD DR4 Transceiver – Singlemode-Glasfaser (SMF), MPO, 500 m;<p>Der HPE Aruba Networking S3N93A ist ein 400-Gigabit-QSFP-DD-Transceiver für Singlemode-Glasfaser. Über den MPO-Anschluss überbrückt er bis zu 500 m und vom Typ DR4 ist er auf HPE-/Aruba-Switches abgestimmt.</p><p>Als Original-HPE-Aruba-Neuware wird das Modul versiegelt geliefert, ist im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit QSFP-DD-Steckplätzen vorgesehen.</p>;"<p>Der HPE Aruba Networking S3N93A ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor, der für den Betrieb über Singlemode-Glasfaser (SMF) ausgelegt und auf HPE-/Aruba-Switches der AOS-S- und AOS-CX-Serien abgestimmt ist.</p><p>Die Wellenlänge beträgt 1310 nm. Über den MPO-Anschluss überbrückt das Modul Strecken von bis zu 500 m vom Typ DR4.</p><p>Als Original-HPE-Aruba-Neuware ist das Modul versiegelt und für Systeme mit QSFP-DD-Steckplätzen vorgesehen. Die Auslieferung des S3N93A erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt die Betriebswellenlänge 1310 nm, die Reichweite 500 m; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler HP-Transceiver für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s3n93a;0,06;0,22;S3N93A;HP;standard;Stk;HPE S3N93A 400G QSFP-DD 500 m | Hexwaren;Original HPE Aruba Networking S3N93A DR4 400-Gigabit-Transceiver für Singlemode: MPO, 500 m, 1310 nm. Neu, versiegelt, auf HPE-/Aruba-Switches abgestimmt.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
R9B42A;HPE Aruba Networking R9B42A 400G QSFP-DD DR4 Transceiver – Singlemode-Glasfaser (SMF), MPO, 2 km;<p>Der HPE Aruba Networking R9B42A ist ein 400-Gigabit-QSFP-DD-Transceiver für Singlemode-Glasfaser. Über den MPO-Anschluss überbrückt er bis zu 2 km und vom Typ DR4 ist er auf HPE-/Aruba-Switches abgestimmt.</p><p>Als Original-HPE-Aruba-Neuware wird das Modul versiegelt geliefert, ist im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit QSFP-DD-Steckplätzen vorgesehen.</p>;"<p>Der HPE Aruba Networking R9B42A ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor, der für den Betrieb über Singlemode-Glasfaser (SMF) ausgelegt und auf HPE-/Aruba-Switches der AOS-S- und AOS-CX-Serien abgestimmt ist.</p><p>Die Wellenlänge beträgt 1310 nm. Über den MPO-Anschluss überbrückt das Modul Strecken von bis zu 2 km vom Typ DR4.</p><p>Als Original-HPE-Aruba-Neuware ist das Modul versiegelt und für Systeme mit QSFP-DD-Steckplätzen vorgesehen. Die Auslieferung des R9B42A erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt die Betriebswellenlänge 1310 nm, die Reichweite 2 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler HP-Transceiver für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9b42a;0,06;0,22;R9B42A;HP;standard;Stk;HPE R9B42A 400G QSFP-DD 2 km | Hexwaren;Original HPE Aruba Networking R9B42A DR4 400-Gigabit-Transceiver für Singlemode: MPO, 2 km, 1310 nm. Neu, versiegelt, auf HPE-/Aruba-Switches abgestimmt.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
S3N94A;HPE Aruba Networking S3N94A 400G QSFP-DD LR4 Transceiver – Singlemode-Glasfaser (SMF), LC, 10 km;<p>Der HPE Aruba Networking S3N94A ist ein 400-Gigabit-QSFP-DD-Transceiver für Singlemode-Glasfaser. Über den LC-Anschluss überbrückt er bis zu 10 km und vom Typ LR4 ist er auf HPE-/Aruba-Switches abgestimmt.</p><p>Als Original-HPE-Aruba-Neuware wird das Modul versiegelt geliefert, ist im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit QSFP-DD-Steckplätzen vorgesehen.</p>;"<p>Der HPE Aruba Networking S3N94A ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor, der für den Betrieb über Singlemode-Glasfaser (SMF) ausgelegt und auf HPE-/Aruba-Switches der AOS-S- und AOS-CX-Serien abgestimmt ist.</p><p>Das Modul sendet im Wellenlängenbereich 1273–1287 nm (LWDM, 4 Wellenlängen). Über den LC-Anschluss überbrückt das Modul Strecken von bis zu 10 km vom Typ LR4.</p><p>Als Original-HPE-Aruba-Neuware ist das Modul versiegelt und für Systeme mit QSFP-DD-Steckplätzen vorgesehen. Die Auslieferung des S3N94A erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt die Betriebswellenlänge 1273–1287 nm (LWDM, 4 Wellenlängen), die Reichweite 10 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler HP-Transceiver für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s3n94a;0,06;0,22;S3N94A;HP;standard;Stk;HPE S3N94A 400G QSFP-DD 10 km | Hexwaren;Original HPE Aruba Networking S3N94A LR4 400-Gigabit-Transceiver für Singlemode: LC, 10 km. Neu, versiegelt, auf HPE-/Aruba-Switches abgestimmt.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
S4B35A;HPE Aruba Networking S4B35A 400G QSFP-DD PLR8 Transceiver – Singlemode-Glasfaser (SMF), LC, 10 km;<p>Der HPE Aruba Networking S4B35A ist ein 400-Gigabit-QSFP-DD-Transceiver für Singlemode-Glasfaser. Über den LC-Anschluss überbrückt er bis zu 10 km und vom Typ PLR8 ist er auf HPE-/Aruba-Switches abgestimmt.</p><p>Als Original-HPE-Aruba-Neuware wird das Modul versiegelt geliefert, ist im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit QSFP-DD-Steckplätzen vorgesehen.</p>;"<p>Der HPE Aruba Networking S4B35A ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor, der für den Betrieb über Singlemode-Glasfaser (SMF) ausgelegt und auf HPE-/Aruba-Switches der AOS-S- und AOS-CX-Serien abgestimmt ist.</p><p>Die Wellenlänge beträgt 1310 nm. Über den LC-Anschluss überbrückt das Modul Strecken von bis zu 10 km vom Typ PLR8.</p><p>Als Original-HPE-Aruba-Neuware ist das Modul versiegelt und für Systeme mit QSFP-DD-Steckplätzen vorgesehen. Die Auslieferung des S4B35A erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt die Betriebswellenlänge 1310 nm, die Reichweite 10 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler HP-Transceiver für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s4b35a;0,06;0,22;S4B35A;HP;standard;Stk;HPE S4B35A 400G QSFP-DD 10 km | Hexwaren;Original HPE Aruba Networking S4B35A PLR8 400-Gigabit-Transceiver für Singlemode: LC, 10 km, 1310 nm. Neu, versiegelt, auf HPE-/Aruba-Switches abgestimmt.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
S4B38A;HPE Aruba Networking S4B38A 400G QSFP-DD ZR Transceiver – Singlemode-Glasfaser (SMF), LC, 80 km;<p>Der HPE Aruba Networking S4B38A ist ein 400-Gigabit-QSFP-DD-Transceiver für Singlemode-Glasfaser. Über den LC-Anschluss überbrückt er bis zu 80 km und vom Typ ZR ist er auf HPE-/Aruba-Switches abgestimmt.</p><p>Als Original-HPE-Aruba-Neuware wird das Modul versiegelt geliefert, ist im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit QSFP-DD-Steckplätzen vorgesehen.</p>;"<p>Der HPE Aruba Networking S4B38A ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor, der für den Betrieb über Singlemode-Glasfaser (SMF) ausgelegt und auf HPE-/Aruba-Switches der AOS-S- und AOS-CX-Serien abgestimmt ist.</p><p>Die Wellenlänge beträgt 1550 nm. Über den LC-Anschluss überbrückt das Modul Strecken von bis zu 80 km vom Typ ZR.</p><p>Als Original-HPE-Aruba-Neuware ist das Modul versiegelt und für Systeme mit QSFP-DD-Steckplätzen vorgesehen. Die Auslieferung des S4B38A erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt die Betriebswellenlänge 1550 nm, die Reichweite 80 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler HP-Transceiver für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s4b38a;0,06;0,22;S4B38A;HP;standard;Stk;HPE S4B38A 400G QSFP-DD 80 km | Hexwaren;Original HPE Aruba Networking S4B38A ZR 400-Gigabit-Transceiver für Singlemode: LC, 80 km, 1550 nm. Neu, versiegelt, auf HPE-/Aruba-Switches abgestimmt.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
S3N91A;HPE Aruba Networking S3N91A QSFP-DD FR Transceiver – Singlemode-Glasfaser (SMF), LC, 2 km;<p>Der HPE Aruba Networking S3N91A ist ein QSFP-DD-Transceiver für Singlemode-Glasfaser. Über den LC-Anschluss überbrückt er bis zu 2 km und vom Typ FR ist er auf HPE-/Aruba-Switches abgestimmt.</p><p>Als Original-HPE-Aruba-Neuware wird das Modul versiegelt geliefert, ist im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit QSFP-DD-Steckplätzen vorgesehen.</p>;"<p>Der HPE Aruba Networking S3N91A ist ein Transceiver im QSFP-DD-Formfaktor, der für den Betrieb über Singlemode-Glasfaser (SMF) ausgelegt und auf HPE-/Aruba-Switches der AOS-S- und AOS-CX-Serien abgestimmt ist.</p><p>Die Wellenlänge beträgt 1310 nm. Über den LC-Anschluss überbrückt das Modul Strecken von bis zu 2 km vom Typ FR.</p><p>Als Original-HPE-Aruba-Neuware ist das Modul versiegelt und für Systeme mit QSFP-DD-Steckplätzen vorgesehen. Die Auslieferung des S3N91A erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt die Betriebswellenlänge 1310 nm, die Reichweite 2 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler HP-Transceiver für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s3n91a;0,06;0,22;S3N91A;HP;standard;Stk;HPE S3N91A QSFP-DD 2 km | Hexwaren;Original HPE Aruba Networking S3N91A FR -Transceiver für Singlemode: LC, 2 km, 1310 nm. Neu, versiegelt, auf HPE-/Aruba-Switches abgestimmt.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
S3N95A;HPE Aruba Networking S3N95A 400G QSFP-DD FR4 Transceiver – Singlemode-Glasfaser (SMF), LC, 2 km;<p>Der HPE Aruba Networking S3N95A ist ein 400-Gigabit-QSFP-DD-Transceiver für Singlemode-Glasfaser. Über den LC-Anschluss überbrückt er bis zu 2 km und vom Typ FR4 ist er auf HPE-/Aruba-Switches abgestimmt.</p><p>Als Original-HPE-Aruba-Neuware wird das Modul versiegelt geliefert, ist im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit QSFP-DD-Steckplätzen vorgesehen.</p>;"<p>Der HPE Aruba Networking S3N95A ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor, der für den Betrieb über Singlemode-Glasfaser (SMF) ausgelegt und auf HPE-/Aruba-Switches der AOS-S- und AOS-CX-Serien abgestimmt ist.</p><p>Das Modul sendet im Wellenlängenbereich 1271–1331 nm (CWDM, 4 Wellenlängen). Über den LC-Anschluss überbrückt das Modul Strecken von bis zu 2 km vom Typ FR4.</p><p>Als Original-HPE-Aruba-Neuware ist das Modul versiegelt und für Systeme mit QSFP-DD-Steckplätzen vorgesehen. Die Auslieferung des S3N95A erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt die Betriebswellenlänge 1271–1331 nm (CWDM, 4 Wellenlängen), die Reichweite 2 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler HP-Transceiver für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s3n95a;0,06;0,22;S3N95A;HP;standard;Stk;HPE S3N95A 400G QSFP-DD 2 km | Hexwaren;Original HPE Aruba Networking S3N95A FR4 400-Gigabit-Transceiver für Singlemode: LC, 2 km. Neu, versiegelt, auf HPE-/Aruba-Switches abgestimmt.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
S3N96A;HPE Aruba Networking S3N96A 400G QSFP-DD LR4 Transceiver – Singlemode-Glasfaser (SMF), LC, 10 km;<p>Der HPE Aruba Networking S3N96A ist ein 400-Gigabit-QSFP-DD-Transceiver für Singlemode-Glasfaser. Über den LC-Anschluss überbrückt er bis zu 10 km und vom Typ LR4 ist er auf HPE-/Aruba-Switches abgestimmt.</p><p>Als Original-HPE-Aruba-Neuware wird das Modul versiegelt geliefert, ist im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit QSFP-DD-Steckplätzen vorgesehen.</p>;"<p>Der HPE Aruba Networking S3N96A ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor, der für den Betrieb über Singlemode-Glasfaser (SMF) ausgelegt und auf HPE-/Aruba-Switches der AOS-S- und AOS-CX-Serien abgestimmt ist.</p><p>Das Modul sendet im Wellenlängenbereich 1273–1287 nm (LWDM, 4 Wellenlängen). Über den LC-Anschluss überbrückt das Modul Strecken von bis zu 10 km vom Typ LR4.</p><p>Als Original-HPE-Aruba-Neuware ist das Modul versiegelt und für Systeme mit QSFP-DD-Steckplätzen vorgesehen. Die Auslieferung des S3N96A erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt die Betriebswellenlänge 1273–1287 nm (LWDM, 4 Wellenlängen), die Reichweite 10 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler HP-Transceiver für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s3n96a;0,06;0,22;S3N96A;HP;standard;Stk;HPE S3N96A 400G QSFP-DD 10 km | Hexwaren;Original HPE Aruba Networking S3N96A LR4 400-Gigabit-Transceiver für Singlemode: LC, 10 km. Neu, versiegelt, auf HPE-/Aruba-Switches abgestimmt.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
