Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
R9B41A,"2040,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-SR
S3N90A,"2040,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-DR
S3N93A,"2040,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-DR
R9B42A,"2040,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-DR
S3N94A,"3825,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-LR
S4B35A,"3825,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-LR
S4B38A,"6375,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-ZR
S3N91A,"2380,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-FR
S3N95A,"2380,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-FR
S3N96A,"3825,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-LR
R9B45A,"748,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-AOC-3m
R9B43A,"952,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-AOC-7m
R9B47A,"1360,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-AOC-15m
R9B46A,"2125,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-AOC-30m
R9B44A,"3145,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-AOC-50m
R9B50A,"748,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-AOC-3m
R9B48A,"952,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-AOC-7m
R9B52A,"1360,00","HPE/Aruba mainstream 0,85× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Aruba J9150D (10GBASE-SR) im HPE Store/CDW gelistet (≫ Kompatibel EDGE/GBICS/FS)",geschätzt-aus-Vergleich,400G-AOC-15m
