Artikelnummer,Attributname,Attributwert
CTP-SFP-1GE-LX,FAQ,"Welche Datenrate und Bauform hat das CTP-SFP-1GE-LX?||Das CTP-SFP-1GE-LX ist ein SFP-Modul mit 1 Gbit/s nach 1000BASE-LX.##Welchen Stecker und welche Schnittstelle nutzt das CTP-SFP-1GE-LX?||Das CTP-SFP-1GE-LX hat den Formfaktor SFP mit LC-Schnittstelle.##Welche Reichweite erreicht das CTP-SFP-1GE-LX?||Laut Spezifikation erreicht das CTP-SFP-1GE-LX bis 10 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das CTP-SFP-1GE-LX ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das CTP-SFP-1GE-LX DOM/DDM?||Ja, das CTP-SFP-1GE-LX unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das CTP-SFP-1GE-LX?||Das CTP-SFP-1GE-LX ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das CTP-SFP-1GE-LX typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das CTP-SFP-1GE-LX mit Juniper-Geräten kompatibel?||Das CTP-SFP-1GE-LX ist eine Juniper-Optik-Komponente und für den Betrieb in Juniper-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
CTP-SFP-1GE-SX,FAQ,"Welche Datenrate und Bauform hat das CTP-SFP-1GE-SX?||Das CTP-SFP-1GE-SX ist ein SFP-Modul mit 1 Gbit/s nach 1000BASE-SX.##Welchen Stecker und welche Schnittstelle nutzt das CTP-SFP-1GE-SX?||Das CTP-SFP-1GE-SX hat den Formfaktor SFP mit LC-Schnittstelle.##Welche Reichweite erreicht das CTP-SFP-1GE-SX?||Laut Spezifikation erreicht das CTP-SFP-1GE-SX bis 550 m (Wellenlänge 850 nm).##Welcher Fasertyp ist erforderlich?||Das CTP-SFP-1GE-SX ist für Multimode-Glasfaser (MMF) ausgelegt.##Unterstützt das CTP-SFP-1GE-SX DOM/DDM?||Ja, das CTP-SFP-1GE-SX unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das CTP-SFP-1GE-SX?||Das CTP-SFP-1GE-SX ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das CTP-SFP-1GE-SX typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das CTP-SFP-1GE-SX mit Juniper-Geräten kompatibel?||Das CTP-SFP-1GE-SX ist eine Juniper-Optik-Komponente und für den Betrieb in Juniper-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
CTP-SFP-1GE-T,FAQ,"Welche Datenrate und Bauform hat das CTP-SFP-1GE-T?||Das CTP-SFP-1GE-T ist ein SFP-Modul mit 1 Gbit/s nach 1000BASE-T.##Welchen Stecker und welche Schnittstelle nutzt das CTP-SFP-1GE-T?||Das CTP-SFP-1GE-T hat den Formfaktor SFP mit RJ45-Schnittstelle.##Welche Reichweite erreicht das CTP-SFP-1GE-T?||Laut Spezifikation erreicht das CTP-SFP-1GE-T bis 100 m.##Welcher Fasertyp ist erforderlich?||Das CTP-SFP-1GE-T ist für Twisted-Pair-Kupfer ausgelegt.##Unterstützt das CTP-SFP-1GE-T DOM/DDM?||Nein, das CTP-SFP-1GE-T unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das CTP-SFP-1GE-T?||Das CTP-SFP-1GE-T ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das CTP-SFP-1GE-T typischerweise eingesetzt?||Typischer Einsatz: Zugriffs-/Verteilnetz (Kupfer).##Ist das CTP-SFP-1GE-T mit Juniper-Geräten kompatibel?||Das CTP-SFP-1GE-T ist eine Juniper-Optik-Komponente und für den Betrieb in Juniper-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
RX-10KM-SFP,FAQ,"Welche Datenrate und Bauform hat das RX-10KM-SFP?||Das RX-10KM-SFP ist ein SFP-Modul mit 1 Gbit/s nach 1000BASE-LX.##Welchen Stecker und welche Schnittstelle nutzt das RX-10KM-SFP?||Das RX-10KM-SFP hat den Formfaktor SFP mit LC-Schnittstelle.##Welche Reichweite erreicht das RX-10KM-SFP?||Laut Spezifikation erreicht das RX-10KM-SFP bis 10 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das RX-10KM-SFP ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das RX-10KM-SFP DOM/DDM?||Nein, das RX-10KM-SFP unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das RX-10KM-SFP?||Das RX-10KM-SFP ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das RX-10KM-SFP typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das RX-10KM-SFP mit Juniper-Geräten kompatibel?||Das RX-10KM-SFP ist eine Juniper-Optik-Komponente und für den Betrieb in Juniper-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
RX-550M-SFP,FAQ,"Welche Datenrate und Bauform hat das RX-550M-SFP?||Das RX-550M-SFP ist ein SFP-Modul mit 1 Gbit/s nach 1000BASE-SX.##Welchen Stecker und welche Schnittstelle nutzt das RX-550M-SFP?||Das RX-550M-SFP hat den Formfaktor SFP mit LC-Schnittstelle.##Welche Reichweite erreicht das RX-550M-SFP?||Laut Spezifikation erreicht das RX-550M-SFP bis 550 m (Wellenlänge 850 nm).##Welcher Fasertyp ist erforderlich?||Das RX-550M-SFP ist für Multimode-Glasfaser (MMF) ausgelegt.##Unterstützt das RX-550M-SFP DOM/DDM?||Nein, das RX-550M-SFP unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das RX-550M-SFP?||Das RX-550M-SFP ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das RX-550M-SFP typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das RX-550M-SFP mit Juniper-Geräten kompatibel?||Das RX-550M-SFP ist eine Juniper-Optik-Komponente und für den Betrieb in Juniper-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
RX-70KM-SFP,FAQ,"Welche Datenrate und Bauform hat das RX-70KM-SFP?||Das RX-70KM-SFP ist ein SFP-Modul mit 1 Gbit/s nach 1000BASE-ZX.##Welchen Stecker und welche Schnittstelle nutzt das RX-70KM-SFP?||Das RX-70KM-SFP hat den Formfaktor SFP mit LC-Schnittstelle.##Welche Reichweite erreicht das RX-70KM-SFP?||Laut Spezifikation erreicht das RX-70KM-SFP bis 70 km (Wellenlänge 1550 nm).##Welcher Fasertyp ist erforderlich?||Das RX-70KM-SFP ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das RX-70KM-SFP DOM/DDM?||Nein, das RX-70KM-SFP unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das RX-70KM-SFP?||Das RX-70KM-SFP ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das RX-70KM-SFP typischerweise eingesetzt?||Typischer Einsatz: Weitverkehrsnetz (Langstrecke).##Ist das RX-70KM-SFP mit Juniper-Geräten kompatibel?||Das RX-70KM-SFP ist eine Juniper-Optik-Komponente und für den Betrieb in Juniper-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
RX-FXSM-SFP,FAQ,"Welche Datenrate und Bauform hat das RX-FXSM-SFP?||Das RX-FXSM-SFP ist ein SFP-Modul mit 100 Mbit/s nach 100BASE-LX10.##Welchen Stecker und welche Schnittstelle nutzt das RX-FXSM-SFP?||Das RX-FXSM-SFP hat den Formfaktor SFP mit LC-Schnittstelle.##Welche Reichweite erreicht das RX-FXSM-SFP?||Laut Spezifikation erreicht das RX-FXSM-SFP bis 10 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das RX-FXSM-SFP ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das RX-FXSM-SFP DOM/DDM?||Ja, das RX-FXSM-SFP unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das RX-FXSM-SFP?||Das RX-FXSM-SFP ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das RX-FXSM-SFP typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das RX-FXSM-SFP mit Juniper-Geräten kompatibel?||Das RX-FXSM-SFP ist eine Juniper-Optik-Komponente und für den Betrieb in Juniper-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
RX-GET-SFP,FAQ,"Welche Datenrate und Bauform hat das RX-GET-SFP?||Das RX-GET-SFP ist ein SFP-Modul mit 1 Gbit/s nach 1000BASE-T.##Welchen Stecker und welche Schnittstelle nutzt das RX-GET-SFP?||Das RX-GET-SFP hat den Formfaktor SFP mit RJ45-Schnittstelle.##Welche Reichweite erreicht das RX-GET-SFP?||Laut Spezifikation erreicht das RX-GET-SFP bis 100 m.##Welcher Fasertyp ist erforderlich?||Das RX-GET-SFP ist für Twisted-Pair-Kupfer ausgelegt.##Unterstützt das RX-GET-SFP DOM/DDM?||Nein, das RX-GET-SFP unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das RX-GET-SFP?||Das RX-GET-SFP ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das RX-GET-SFP typischerweise eingesetzt?||Typischer Einsatz: Zugriffs-/Verteilnetz (Kupfer).##Ist das RX-GET-SFP mit Juniper-Geräten kompatibel?||Das RX-GET-SFP ist eine Juniper-Optik-Komponente und für den Betrieb in Juniper-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
SFP-1FE-FX,FAQ,"Welche Datenrate und Bauform hat das SFP-1FE-FX?||Das SFP-1FE-FX ist ein SFP-Modul mit 100 Mbit/s nach 100BASE-FX.##Welchen Stecker und welche Schnittstelle nutzt das SFP-1FE-FX?||Das SFP-1FE-FX hat den Formfaktor SFP mit LC-Schnittstelle.##Welche Reichweite erreicht das SFP-1FE-FX?||Laut Spezifikation erreicht das SFP-1FE-FX bis 2 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das SFP-1FE-FX ist für Multimode-Glasfaser (MMF) ausgelegt.##Unterstützt das SFP-1FE-FX DOM/DDM?||Ja, das SFP-1FE-FX unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das SFP-1FE-FX?||Das SFP-1FE-FX ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das SFP-1FE-FX typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das SFP-1FE-FX mit Juniper-Geräten kompatibel?||Das SFP-1FE-FX ist eine Juniper-Optik-Komponente und für den Betrieb in Juniper-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
SFP-1GE-FE-E-T,FAQ,"Welche Datenrate und Bauform hat das SFP-1GE-FE-E-T?||Das SFP-1GE-FE-E-T ist ein SFP-Modul mit 1 Gbit/s nach 10/100/1000BASE-T.##Welchen Stecker und welche Schnittstelle nutzt das SFP-1GE-FE-E-T?||Das SFP-1GE-FE-E-T hat den Formfaktor SFP mit RJ45-Schnittstelle.##Welche Reichweite erreicht das SFP-1GE-FE-E-T?||Laut Spezifikation erreicht das SFP-1GE-FE-E-T bis 100 m.##Welcher Fasertyp ist erforderlich?||Das SFP-1GE-FE-E-T ist für Twisted-Pair-Kupfer ausgelegt.##Unterstützt das SFP-1GE-FE-E-T DOM/DDM?||Nein, das SFP-1GE-FE-E-T unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das SFP-1GE-FE-E-T?||Das SFP-1GE-FE-E-T ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das SFP-1GE-FE-E-T typischerweise eingesetzt?||Typischer Einsatz: Zugriffs-/Verteilnetz (Kupfer).##Ist das SFP-1GE-FE-E-T mit Juniper-Geräten kompatibel?||Das SFP-1GE-FE-E-T ist eine Juniper-Optik-Komponente und für den Betrieb in Juniper-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
