Artikelnummer;Netto-VK
CTP-SFP-1GE-LX;90,00
CTP-SFP-1GE-SX;90,00
CTP-SFP-1GE-T;81,00
RX-10KM-SFP;90,00
RX-550M-SFP;90,00
RX-70KM-SFP;90,00
RX-FXSM-SFP;90,00
RX-GET-SFP;81,00
SFP-1FE-FX;90,00
SFP-1GE-FE-E-T;81,00
SFP-1GE-LH;90,00
SFP-1GE-LX;90,00
SFP-1GE-SX;90,00
SFP-1GE-T;81,00
SFP-FE20KT13R15;162,00
SFP-FE20KT15R13;162,00
SFP-GE10KT13R14;162,00
SFP-GE10KT13R15;162,00
SFP-GE10KT14R13;162,00
SFP-GE10KT15R13;162,00
SFP-GE40KM;270,00
SFPP-10GE-ER;810,00
SFPP-10GE-LR;351,00
SFPP-10GE-LRM;315,00
SFPP-10GE-SR;178,00
XENPAK-1XGE-ER;810,00
XENPAK-1XGE-LR;351,00
XENPAK-1XGE-SR;178,00
XENPAK-1XGE-ZR;1.350,00
XFP-10GE-ER;810,00
XFP-10GE-LR;351,00
XFP-10GE-SR;178,00
XFP-10G-S;178,00
QDD-2X400G-DR4-P;5.850,00
QDD-2X400G-FR4-JUNIPER;6.750,00
QDD-2X400G-FR4-P;6.750,00
QDD-2X400G-LR4-10;7.650,00
QDD-2X400G-LR4-P;7.650,00
QDD-400G-DR4-JUNIPER;2.160,00
QDD-400G-FR4-JUNIPER;2.520,00
QDD-400G-LR4-10;4.050,00
QDD-400G-ER4-30;4.050,00
QDD-400G-LR8-JUNIPER;4.050,00
QDD-400G-ZR-JUNIPER;6.750,00
QDD-400G-ZR-M;6.750,00
QDD-400G-ZR-M-HP;6.750,00
JCO400-QDD-ZR;6.750,00
JCO400-QDD-ZR-M;6.750,00
JCO400-QDD-ZR-M-HP;6.750,00
CFP-100GBASE-ER4;3.150,00
CFP-100GBASE-LR4;2.520,00
CFP-100GBASE-SR10;432,00
CFP-GEN2-100GBASE-LR4;2.520,00
CFP2-100GBASE-ER4;3.150,00
CFP2-100GBASE-LR4;2.520,00
JNP-QSFP-100G-BXSR;1.080,00
JNP-QSFP-100G-CWDM;1.350,00
JNP-QSFP-100G-LR4;2.520,00
JNP-QSFP-100G-LR4-4WDM-20-I;432,00
JNP-QSFP-100G-LR4-4WDM-40-I;1.440,00
JNP-QSFP-100G-PSM4;810,00
JNP-QSFP-100G-SR4;432,00
QDD-4X100G-FR;2.520,00
QDD-4X100G-LR;4.050,00
QSFP-100G-4WDM40;1.440,00
QSFP-100G-CWDM;1.350,00
QSFP-100G-CWDM4-JUNIPER;1.350,00
QSFP-100G-DR-JUNIPER;630,00
QSFP-100G-ER4L;3.150,00
QSFP-100G-FR-JUNIPER;810,00
