Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
00FE333,,condition,Funktionsattribut,Wertliste,Deutsch,new
81Y1622,,condition,Funktionsattribut,Wertliste,Deutsch,new
90Y9424,,condition,Funktionsattribut,Wertliste,Deutsch,new
4TC7B13092,,condition,Funktionsattribut,Wertliste,Deutsch,new
7G17A03130,,condition,Funktionsattribut,Wertliste,Deutsch,new
4TC7B12410,,condition,Funktionsattribut,Wertliste,Deutsch,new
00FE331,,condition,Funktionsattribut,Wertliste,Deutsch,new
90Y9412,,condition,Funktionsattribut,Wertliste,Deutsch,new
90Y9415,,condition,Funktionsattribut,Wertliste,Deutsch,new
49Y4216,,condition,Funktionsattribut,Wertliste,Deutsch,new
49Y8578,,condition,Funktionsattribut,Wertliste,Deutsch,new
49Y4218,,condition,Funktionsattribut,Wertliste,Deutsch,new
46C3447,,condition,Funktionsattribut,Wertliste,Deutsch,new
68Y6923,,condition,Funktionsattribut,Wertliste,Deutsch,new
69Y0389,,condition,Funktionsattribut,Wertliste,Deutsch,new
4TC7A78615,,condition,Funktionsattribut,Wertliste,Deutsch,new
00NU537,,condition,Funktionsattribut,Wertliste,Deutsch,new
00VX183,,condition,Funktionsattribut,Wertliste,Deutsch,new
00MY034,,condition,Funktionsattribut,Wertliste,Deutsch,new
4M27A67041,,condition,Funktionsattribut,Wertliste,Deutsch,new
4TC7A69045,,condition,Funktionsattribut,Wertliste,Deutsch,new
7G17A03537,,condition,Funktionsattribut,Wertliste,Deutsch,new
4TC7A88638,,condition,Funktionsattribut,Wertliste,Deutsch,new
7G17A03538,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL631,,condition,Funktionsattribut,Wertliste,Deutsch,new
49Y7884,,condition,Funktionsattribut,Wertliste,Deutsch,new
00D9865,,condition,Funktionsattribut,Wertliste,Deutsch,new
00FE325,,condition,Funktionsattribut,Wertliste,Deutsch,new
00D6222,,condition,Funktionsattribut,Wertliste,Deutsch,new
4M27A67042,,condition,Funktionsattribut,Wertliste,Deutsch,new
7G17A03539,,condition,Funktionsattribut,Wertliste,Deutsch,new
4TC7A86257,,condition,Funktionsattribut,Wertliste,Deutsch,new
7G17A03540,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL634,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL637,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL640,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL643,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL646,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL649,,condition,Funktionsattribut,Wertliste,Deutsch,new
00D6288,,condition,Funktionsattribut,Wertliste,Deutsch,new
90Y9427,,condition,Funktionsattribut,Wertliste,Deutsch,new
00AY764,,condition,Funktionsattribut,Wertliste,Deutsch,new
00AY765,,condition,Funktionsattribut,Wertliste,Deutsch,new
90Y9430,,condition,Funktionsattribut,Wertliste,Deutsch,new
90Y9433,,condition,Funktionsattribut,Wertliste,Deutsch,new
00D6151,,condition,Funktionsattribut,Wertliste,Deutsch,new
00VX111,,condition,Funktionsattribut,Wertliste,Deutsch,new
00VX114,,condition,Funktionsattribut,Wertliste,Deutsch,new
00VX117,,condition,Funktionsattribut,Wertliste,Deutsch,new
4X97A94008,,condition,Funktionsattribut,Wertliste,Deutsch,new
4X97A94011,,condition,Funktionsattribut,Wertliste,Deutsch,new
4X97A94012,,condition,Funktionsattribut,Wertliste,Deutsch,new
4X97A94013,,condition,Funktionsattribut,Wertliste,Deutsch,new
4X97A94702,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03541,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03542,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03543,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03544,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03545,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03557,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03558,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03559,,condition,Funktionsattribut,Wertliste,Deutsch,new
4X97A94703,,condition,Funktionsattribut,Wertliste,Deutsch,new
4X97A94014,,condition,Funktionsattribut,Wertliste,Deutsch,new
4X97A94015,,condition,Funktionsattribut,Wertliste,Deutsch,new
4X97A94016,,condition,Funktionsattribut,Wertliste,Deutsch,new
4X97A94704,,condition,Funktionsattribut,Wertliste,Deutsch,new
4X97A94705,,condition,Funktionsattribut,Wertliste,Deutsch,new
4Z57A10844,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03546,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03547,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03548,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03549,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03550,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03561,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03562,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03563,,condition,Funktionsattribut,Wertliste,Deutsch,new
4X97A11113,,condition,Funktionsattribut,Wertliste,Deutsch,new
4X97A12613,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03551,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03552,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03553,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03554,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03555,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03564,,condition,Funktionsattribut,Wertliste,Deutsch,new
4Z57A85043,,condition,Funktionsattribut,Wertliste,Deutsch,new
4Z57A85044,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03565,,condition,Funktionsattribut,Wertliste,Deutsch,new
7Z57A03566,,condition,Funktionsattribut,Wertliste,Deutsch,new
49Y7890,,condition,Funktionsattribut,Wertliste,Deutsch,new
49Y7891,,condition,Funktionsattribut,Wertliste,Deutsch,new
00D5810,,condition,Funktionsattribut,Wertliste,Deutsch,new
00D5813,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL652,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL655,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL658,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL661,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL664,,condition,Funktionsattribut,Wertliste,Deutsch,new
49Y7886,,condition,Funktionsattribut,Wertliste,Deutsch,new
49Y7887,,condition,Funktionsattribut,Wertliste,Deutsch,new
49Y7888,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL667,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL670,,condition,Funktionsattribut,Wertliste,Deutsch,new
00YL673,,condition,Funktionsattribut,Wertliste,Deutsch,new
