Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
00FE333,"72,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,1G-T
81Y1622,"80,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,1G-SR
90Y9424,"80,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,1G-SR
4TC7B13092,"280,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-T
7G17A03130,"280,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-T
4TC7B12410,"312,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-LR
00FE331,"312,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-LR
90Y9412,"312,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-LR
90Y9415,"720,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-ER
49Y4216,"158,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
49Y8578,"158,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
49Y4218,"158,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
46C3447,"158,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
68Y6923,"158,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
69Y0389,"158,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
4TC7A78615,"158,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
00NU537,"158,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
00VX183,"158,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
00MY034,"158,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-SR
4M27A67041,"208,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-SR
4TC7A69045,"208,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-SR
7G17A03537,"208,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-SR
4TC7A88638,"208,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-SR
7G17A03538,"448,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-LR
00YL631,"560,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,40G-BX
49Y7884,"280,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,40G-SR
00D9865,"280,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,40G-SR
00FE325,"280,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,40G-SR
00D6222,"1.120,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,40G-LR
4M27A67042,"384,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-SR
7G17A03539,"384,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-SR
4TC7A86257,"384,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-SR
7G17A03540,"2.240,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-LR
00YL634,"130,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-AOC-1m
00YL637,"149,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-AOC-3m
00YL640,"168,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-AOC-5m
00YL643,"187,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-AOC-7m
00YL646,"264,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-AOC-15m
00YL649,"312,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-AOC-20m
00D6288,"68,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-DAC-0.5m
90Y9427,"72,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-DAC-1m
00AY764,"76,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-DAC-1.5m
00AY765,"80,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-DAC-2m
90Y9430,"88,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-DAC-3m
90Y9433,"104,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-DAC-5m
00D6151,"120,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-DAC-7m
00VX111,"72,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-DAC-1m
00VX114,"88,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-DAC-3m
00VX117,"104,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,10G-DAC-5m
4X97A94008,"170,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-AOC-3m
4X97A94011,"192,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-AOC-5m
4X97A94012,"248,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-AOC-10m
4X97A94013,"304,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-AOC-15m
4X97A94702,"360,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-AOC-20m
7Z57A03541,"170,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-AOC-3m
7Z57A03542,"192,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-AOC-5m
7Z57A03543,"248,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-AOC-10m
7Z57A03544,"304,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-AOC-15m
7Z57A03545,"360,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-AOC-20m
7Z57A03557,"86,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-DAC-1m
7Z57A03558,"105,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-DAC-3m
7Z57A03559,"124,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,25G-DAC-5m
4X97A94703,"254,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-1m
4X97A94014,"283,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-3m
4X97A94015,"312,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-5m
4X97A94016,"384,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-10m
4X97A94704,"456,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-15m
4X97A94705,"528,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-20m
4Z57A10844,"254,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-1m
7Z57A03546,"283,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-3m
7Z57A03547,"312,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-5m
7Z57A03548,"384,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-10m
7Z57A03549,"456,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-15m
7Z57A03550,"528,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-20m
7Z57A03561,"156,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-DAC-1m
7Z57A03562,"204,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-DAC-3m
7Z57A03563,"252,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-DAC-5m
4X97A11113,"244,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,200G-DAC-1m
4X97A12613,"300,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,200G-DAC-3m
7Z57A03551,"283,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-3m
7Z57A03552,"312,00","Lenovo mainstream 0,80× der Cisco-Referenz (Kalibrierung SFP-10G-SR €198); genuine Lenovo 7G17A035xx/46C3447 bei CDW/Insight/Lenovo gelistet (≫ Kompatibel)",geschätzt-aus-Vergleich,100G-AOC-5m
