Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
MA-SFP-1GB-SX,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-SFP-1GB-LX10,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-SFP-1GB-TX,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-SFP-10GB-SR,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-SFP-10GB-LR,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-SFP-10GB-LRM,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-QSFP-40G-SR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-QSFP-40G-LR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-QSFP-40G-CSR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-QSFP-40G-SR-BD,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-QSFP-100G-SR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-QSFP-100G-LR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-CBL-TA-1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-CBL-TA-3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-CBL-40G-50CM,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-CBL-40G-1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-CBL-40G-3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-CBL-100G-50CM,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-CBL-100G-1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-CBL-100G-3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-CBL-120G-50CM,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-CBL-120G-1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
MA-CBL-120G-3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
