Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
MA-SFP-1GB-SX,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
MA-SFP-1GB-SX,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
MA-SFP-1GB-SX,,Transceivers & SFP Modul,Transceiver Typ,SX (Kurzstrecke),3,Wertliste,Attribut
MA-SFP-1GB-SX,,Transceivers & SFP Modul,Fasertyp,Multimode,4,Wertliste,Attribut
MA-SFP-1GB-SX,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
MA-SFP-1GB-SX,,Transceivers & SFP Modul,Anschlusstyp,Duplex LC,6,Wertliste,Attribut
MA-SFP-1GB-SX,,Transceivers & SFP Modul,Wellenlänge,850 nm,8,Wertliste,Attribut
MA-SFP-1GB-SX,,Transceivers & SFP Modul,Reichweite,bis 550 m (OM2),10,Wertliste,Attribut
MA-SFP-1GB-SX,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Kurzstrecke),11,Wertliste,Attribut
MA-SFP-1GB-SX,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
MA-SFP-1GB-SX,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
MA-SFP-1GB-SX,,Transceivers & SFP Modul,Standard,1000BASE-SX,14,Wertliste,Attribut
MA-SFP-1GB-LX10,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
MA-SFP-1GB-LX10,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
MA-SFP-1GB-LX10,,Transceivers & SFP Modul,Transceiver Typ,LX10 (Langstrecke),3,Wertliste,Attribut
MA-SFP-1GB-LX10,,Transceivers & SFP Modul,Fasertyp,Singlemode,4,Wertliste,Attribut
MA-SFP-1GB-LX10,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
MA-SFP-1GB-LX10,,Transceivers & SFP Modul,Anschlusstyp,Duplex LC,6,Wertliste,Attribut
MA-SFP-1GB-LX10,,Transceivers & SFP Modul,Wellenlänge,1310 nm,8,Wertliste,Attribut
MA-SFP-1GB-LX10,,Transceivers & SFP Modul,Reichweite,10 km,10,Wertliste,Attribut
MA-SFP-1GB-LX10,,Transceivers & SFP Modul,Anwendung,Campus-/Metro-Netz (Langstrecke),11,Wertliste,Attribut
MA-SFP-1GB-LX10,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
MA-SFP-1GB-LX10,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
MA-SFP-1GB-LX10,,Transceivers & SFP Modul,Standard,1000BASE-LX10,14,Wertliste,Attribut
MA-SFP-1GB-TX,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
MA-SFP-1GB-TX,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
MA-SFP-1GB-TX,,Transceivers & SFP Modul,Transceiver Typ,T (Kupfer),3,Wertliste,Attribut
MA-SFP-1GB-TX,,Transceivers & SFP Modul,Fasertyp,Kupfer (Cat-5e),4,Wertliste,Attribut
