Artikelnummer;Netto-VK
MA-SFP-1GB-SX;95,00
MA-SFP-1GB-LX10;95,00
MA-SFP-1GB-TX;86,00
MA-SFP-10GB-SR;188,00
MA-SFP-10GB-LR;370,00
MA-SFP-10GB-LRM;332,00
MA-QSFP-40G-SR4;332,00
MA-QSFP-40G-LR4;1.330,00
MA-QSFP-40G-CSR4;332,00
MA-QSFP-40G-SR-BD;665,00
MA-QSFP-100G-SR4;456,00
MA-QSFP-100G-LR4;2.660,00
MA-CBL-TA-1M;86,00
MA-CBL-TA-3M;104,00
MA-CBL-40G-50CM;91,00
MA-CBL-40G-1M;97,00
MA-CBL-40G-3M;120,00
MA-CBL-100G-50CM;171,00
MA-CBL-100G-1M;185,00
MA-CBL-100G-3M;242,00
MA-CBL-120G-50CM;171,00
MA-CBL-120G-1M;185,00
MA-CBL-120G-3M;242,00
