Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
DQ+BC0003-DS+,,condition,Funktionsattribut,Wertliste,Deutsch,new
S-85DLC05D,,condition,Funktionsattribut,Wertliste,Deutsch,new
S-31DLC20D,,condition,Funktionsattribut,Wertliste,Deutsch,new
S-RJ01,,condition,Funktionsattribut,Wertliste,Deutsch,new
XS+DA0001,,condition,Funktionsattribut,Wertliste,Deutsch,new
S-55DLC80D,,condition,Funktionsattribut,Wertliste,Deutsch,new
XS+DA0003,,condition,Funktionsattribut,Wertliste,Deutsch,new
XQ+DA0001,,condition,Funktionsattribut,Wertliste,Deutsch,new
S+AO0005,,condition,Funktionsattribut,Wertliste,Deutsch,new
S+85DLC03D,,condition,Funktionsattribut,Wertliste,Deutsch,new
XQ+DA0003,,condition,Funktionsattribut,Wertliste,Deutsch,new
XS+85LC01D,,condition,Funktionsattribut,Wertliste,Deutsch,new
S+RJ10,,condition,Funktionsattribut,Wertliste,Deutsch,new
S+31DLC10D,,condition,Funktionsattribut,Wertliste,Deutsch,new
S-3553LC20D,,condition,Funktionsattribut,Wertliste,Deutsch,new
DDQ+DA0001,,condition,Funktionsattribut,Wertliste,Deutsch,new
S-4554LC80D,,condition,Funktionsattribut,Wertliste,Deutsch,new
XQ+85MP01D,,condition,Funktionsattribut,Wertliste,Deutsch,new
DDQ+DA0003,,condition,Funktionsattribut,Wertliste,Deutsch,new
XS+31LC10D,,condition,Funktionsattribut,Wertliste,Deutsch,new
DDQ+85MP01D,,condition,Funktionsattribut,Wertliste,Deutsch,new
XQ+31LC02D,,condition,Funktionsattribut,Wertliste,Deutsch,new
XS+2733LC15D,,condition,Funktionsattribut,Wertliste,Deutsch,new
XQ+31LC10D,,condition,Funktionsattribut,Wertliste,Deutsch,new
