Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
DQ+BC0003-DS+,,Transceivers & SFP Modul,Formfaktor,QSFP56,1,Wertliste,Attribut
DQ+BC0003-DS+,,Transceivers & SFP Modul,Geschwindigkeit,200G zu 4×50G (100G/40G-Breakout kompatibel),2,Wertliste,Attribut
DQ+BC0003-DS+,,Transceivers & SFP Modul,Anschlusstyp,1× QSFP56 + 4× Breakout (fest konfektioniert),6,Wertliste,Attribut
DQ+BC0003-DS+,,Transceivers & SFP Modul,Länge,3 m,7,Wertliste,Attribut
DQ+BC0003-DS+,,Transceivers & SFP Modul,Kabeltyp,"Twinax-Kupfer, passiv (Breakout-DAC)",9,Wertliste,Attribut
DQ+BC0003-DS+,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
DQ+BC0003-DS+,,Transceivers & SFP Modul,DOM Unterstützung,Nein,12,Wertliste,Attribut
DQ+BC0003-DS+,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
S-85DLC05D,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
S-85DLC05D,,Transceivers & SFP Modul,Geschwindigkeit,"1,25 Gbit/s",2,Wertliste,Attribut
S-85DLC05D,,Transceivers & SFP Modul,Fasertyp,Multimode (MM),4,Wertliste,Attribut
S-85DLC05D,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
S-85DLC05D,,Transceivers & SFP Modul,Anschlusstyp,Dual LC UPC,6,Wertliste,Attribut
S-85DLC05D,,Transceivers & SFP Modul,Wellenlänge,850 nm,8,Wertliste,Attribut
S-85DLC05D,,Transceivers & SFP Modul,Reichweite,bis 550 m,10,Wertliste,Attribut
S-85DLC05D,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Kurzstrecke),11,Wertliste,Attribut
S-85DLC05D,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
S-85DLC05D,,Transceivers & SFP Modul,Betriebstemperatur,-40 bis 85 °C,13,Wertliste,Attribut
S-31DLC20D,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
S-31DLC20D,,Transceivers & SFP Modul,Geschwindigkeit,"1,25 Gbit/s",2,Wertliste,Attribut
S-31DLC20D,,Transceivers & SFP Modul,Fasertyp,Singlemode (SM),4,Wertliste,Attribut
S-31DLC20D,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
S-31DLC20D,,Transceivers & SFP Modul,Anschlusstyp,Dual LC UPC,6,Wertliste,Attribut
S-31DLC20D,,Transceivers & SFP Modul,Wellenlänge,1310 nm,8,Wertliste,Attribut
S-31DLC20D,,Transceivers & SFP Modul,Reichweite,bis 20 km,10,Wertliste,Attribut
S-31DLC20D,,Transceivers & SFP Modul,Anwendung,Campus-/Metro-Netz (Langstrecke),11,Wertliste,Attribut
S-31DLC20D,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
S-31DLC20D,,Transceivers & SFP Modul,Betriebstemperatur,-40 bis 70 °C,13,Wertliste,Attribut
S-RJ01,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
S-RJ01,,Transceivers & SFP Modul,Geschwindigkeit,"1,25 Gbit/s",2,Wertliste,Attribut
S-RJ01,,Transceivers & SFP Modul,Fasertyp,Kupfer (Twisted-Pair),4,Wertliste,Attribut
S-RJ01,,Transceivers & SFP Modul,Anschlusstyp,RJ45,6,Wertliste,Attribut
S-RJ01,,Transceivers & SFP Modul,Reichweite,bis 100 m,10,Wertliste,Attribut
