Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
DQ+BC0003-DS+,Formfaktor,QSFP56,https://mikrotik.com/products/group/sfp-qsfp,operator-provided,2026-06-14T20:27:02Z
DQ+BC0003-DS+,Geschwindigkeit,200G zu 4×50G (100G/40G-Breakout kompatibel),https://mikrotik.com/product/dq_bc0003_dsplus,datasheet,2026-06-14T20:27:02Z
DQ+BC0003-DS+,Anschlusstyp,1× QSFP56 + 4× Breakout (fest konfektioniert),https://mikrotik.com/products/group/sfp-qsfp,operator-provided,2026-06-14T20:27:02Z
DQ+BC0003-DS+,Länge,3 m,https://mikrotik.com/product/dq_bc0003_dsplus,datasheet,2026-06-14T20:27:02Z
DQ+BC0003-DS+,Kabeltyp,"Twinax-Kupfer, passiv (Breakout-DAC)",https://mikrotik.com/products/group/sfp-qsfp,operator-provided,2026-06-14T20:27:02Z
DQ+BC0003-DS+,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T20:27:02Z
DQ+BC0003-DS+,DOM Unterstützung,Nein,https://mikrotik.com/products/group/sfp-qsfp,operator-provided,2026-06-14T20:27:02Z
DQ+BC0003-DS+,Betriebstemperatur,0 bis 70 °C,"Rule 9: kein veröffentlichter Wert; Standardklasse für DAC/AOC-Direktverkabelung (kommerziell), analog zur Cisco-Behandlung",industry-standard-commercial,2026-06-14T20:27:02Z
S-85DLC05D,Formfaktor,SFP,https://mikrotik.com/products/group/sfp-qsfp,operator-provided,2026-06-14T20:27:02Z
S-85DLC05D,Geschwindigkeit,"1,25 Gbit/s",https://mikrotik.com/product/S-85DLC05D-180,datasheet,2026-06-14T20:27:02Z
S-85DLC05D,Fasertyp,Multimode (MM),https://mikrotik.com/product/S-85DLC05D-180,datasheet,2026-06-14T20:27:02Z
S-85DLC05D,Faseranzahl,2,https://mikrotik.com/products/group/sfp-qsfp,derived:duplex->2-fibres,2026-06-14T20:27:02Z
S-85DLC05D,Anschlusstyp,Dual LC UPC,https://mikrotik.com/product/S-85DLC05D-180,datasheet,2026-06-14T20:27:02Z
S-85DLC05D,Wellenlänge,850 nm,https://mikrotik.com/product/S-85DLC05D-180,datasheet,2026-06-14T20:27:02Z
S-85DLC05D,Reichweite,bis 550 m,https://mikrotik.com/product/S-85DLC05D-180,datasheet,2026-06-14T20:27:02Z
S-85DLC05D,Anwendung,Rechenzentrum (Kurzstrecke),abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T20:27:02Z
S-85DLC05D,DOM Unterstützung,Ja,SFF-8472 (DDM/DOM) Familienstandard — Inferenz (kein herstellerseitiger Per-Part-Nachweis),inference: SFF-8472 family-standard,2026-06-14T20:27:02Z
S-85DLC05D,Betriebstemperatur,-40 bis +85 °C,https://mikrotik.com/product/S-85DLC05D-180,datasheet,2026-06-14T20:27:02Z
S-31DLC20D,Formfaktor,SFP,https://mikrotik.com/products/group/sfp-qsfp,operator-provided,2026-06-14T20:27:02Z
S-31DLC20D,Geschwindigkeit,"1,25 Gbit/s",https://mikrotik.com/product/S-31DLC20D-181,datasheet,2026-06-14T20:27:02Z
S-31DLC20D,Fasertyp,Singlemode (SM),https://mikrotik.com/product/S-31DLC20D-181,datasheet,2026-06-14T20:27:02Z
S-31DLC20D,Faseranzahl,2,https://mikrotik.com/products/group/sfp-qsfp,derived:duplex->2-fibres,2026-06-14T20:27:02Z
S-31DLC20D,Anschlusstyp,Dual LC UPC,https://mikrotik.com/product/S-31DLC20D-181,datasheet,2026-06-14T20:27:02Z
S-31DLC20D,Wellenlänge,1310 nm,https://mikrotik.com/product/S-31DLC20D-181,datasheet,2026-06-14T20:27:02Z
S-31DLC20D,Reichweite,bis 20 km,https://mikrotik.com/product/S-31DLC20D-181,datasheet,2026-06-14T20:27:02Z
S-31DLC20D,Anwendung,Campus-/Metro-Netz (Langstrecke),abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T20:27:02Z
S-31DLC20D,DOM Unterstützung,Ja,SFF-8472 (DDM/DOM) Familienstandard — Inferenz (kein herstellerseitiger Per-Part-Nachweis),inference: SFF-8472 family-standard,2026-06-14T20:27:02Z
S-31DLC20D,Betriebstemperatur,-40 bis +70 °C,https://mikrotik.com/product/S-31DLC20D-181,datasheet,2026-06-14T20:27:02Z
S-RJ01,Formfaktor,SFP,https://mikrotik.com/products/group/sfp-qsfp,operator-provided,2026-06-14T20:27:02Z
S-RJ01,Geschwindigkeit,"1,25 Gbit/s",https://mikrotik.com/product/S-RJ01,datasheet,2026-06-14T20:27:02Z
S-RJ01,Fasertyp,Kupfer (Twisted-Pair),https://mikrotik.com/products/group/sfp-qsfp,operator-provided,2026-06-14T20:27:02Z
S-RJ01,Anschlusstyp,RJ45,https://mikrotik.com/product/S-RJ01,datasheet,2026-06-14T20:27:02Z
S-RJ01,Reichweite,bis 100 m,https://mikrotik.com/product/S-RJ01,datasheet,2026-06-14T20:27:02Z
S-RJ01,Anwendung,Zugriffs-/Verteilnetz (Kupfer),abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T20:27:02Z
S-RJ01,DOM Unterstützung,Nein,SFF-8472/CMIS (optical DDM) / media-grounded,standard,2026-06-14T20:27:02Z
S-RJ01,Betriebstemperatur,-20 bis +60 °C,"Rule 9: kein veröffentlichter Wert; Temperaturklasse industrial, korroboriert durch publizierende MikroTik-Geschwister (-40 °C low durchgängig)",industry-standard-industrial,2026-06-14T20:27:02Z
XS+DA0001,Formfaktor,SFP28,https://mikrotik.com/products/group/sfp-qsfp,operator-provided,2026-06-14T20:27:02Z
XS+DA0001,Geschwindigkeit,1G / 10G / 25G,https://mikrotik.com/product/xs_da0001,datasheet,2026-06-14T20:27:02Z
XS+DA0001,Anschlusstyp,2× SFP28 (fest konfektioniert),https://mikrotik.com/products/group/sfp-qsfp,operator-provided,2026-06-14T20:27:02Z
XS+DA0001,Länge,1 m,https://mikrotik.com/product/xs_da0001,datasheet,2026-06-14T20:27:02Z
XS+DA0001,Kabeltyp,"Twinax-Kupfer, passiv (DAC)",https://mikrotik.com/products/group/sfp-qsfp,operator-provided,2026-06-14T20:27:02Z
XS+DA0001,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),abgeleitet aus Reichweite / Transceiver Typ / Fasertyp,derivation,2026-06-14T20:27:02Z
XS+DA0001,DOM Unterstützung,Nein,https://mikrotik.com/products/group/sfp-qsfp,operator-provided,2026-06-14T20:27:02Z
XS+DA0001,Betriebstemperatur,0 bis 70 °C,"Rule 9: kein veröffentlichter Wert; Standardklasse für DAC/AOC-Direktverkabelung (kommerziell), analog zur Cisco-Behandlung",industry-standard-commercial,2026-06-14T20:27:02Z
S-55DLC80D,Formfaktor,SFP,https://mikrotik.com/products/group/sfp-qsfp,operator-provided,2026-06-14T20:27:02Z
