Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
DQ+BC0003-DS+,"234,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,200G-DAC-3m
S-85DLC05D,"20,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-SR
S-31DLC20D,"20,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-SR
S-RJ01,"20,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-SR
XS+DA0001,"17,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-DAC-1m
S-55DLC80D,"20,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-SR
XS+DA0003,"21,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-DAC-3m
XQ+DA0001,"61,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,40G-DAC-1m
S+AO0005,"30,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-AOC-5m
S+85DLC03D,"20,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-SR
XQ+DA0003,"73,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,40G-DAC-3m
XS+85LC01D,"20,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-SR
S+RJ10,"45,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,10G-SR
S+31DLC10D,"45,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,10G-SR
S-3553LC20D,"20,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-SR
DDQ+DA0001,"350,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,400G-DAC-1m
S-4554LC80D,"20,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-SR
XQ+85MP01D,"120,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,40G-SR
DDQ+DA0003,"410,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,400G-DAC-3m
XS+31LC10D,"20,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-SR
DDQ+85MP01D,"600,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,400G-SR
XQ+31LC02D,"250,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,100G-SR
XS+2733LC15D,"20,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-SR
XQ+31LC10D,"250,00","MikroTik BUDGET — eigene niedrige Genuine-Preisstufe (MikroTik-MSRP, S+85DLC03D ~€45, €15–150-Band); explizite Budget-Leiter",geschätzt-aus-Vergleich,100G-SR
