Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
MCP1660-W00AE30,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP1660-W001E30,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP1660-W01AE30,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP1660-W002E26,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP1660-W02AE26,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP7H60-W001R30,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP7H60-W002R26,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP7H60-W02AR26,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP7F60-W001R30,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP7F60-W002R26,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP7F60-W02AR26,,condition,Funktionsattribut,Wertliste,Deutsch,new
C-DQ8FNM003-H0-M,,condition,Funktionsattribut,Wertliste,Deutsch,new
C-DQ8FNM005-H0-M,,condition,Funktionsattribut,Wertliste,Deutsch,new
C-DQ8FNM010-H0-M,,condition,Funktionsattribut,Wertliste,Deutsch,new
C-DQ8FNM020-H0-M,,condition,Funktionsattribut,Wertliste,Deutsch,new
C-DQ8FNM050-H0-M,,condition,Funktionsattribut,Wertliste,Deutsch,new
T-DQ8FNS-N00-M,,condition,Funktionsattribut,Wertliste,Deutsch,new
MMS1V00-WM,,condition,Funktionsattribut,Wertliste,Deutsch,new
MMS1V50-WM,,condition,Funktionsattribut,Wertliste,Deutsch,new
MMS1V90-WR,,condition,Funktionsattribut,Wertliste,Deutsch,new
MMS1V70-CM,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP1650-V001E30,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP1650-V01AE30,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP1650-V002E26,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP1650-V00AE30,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP1650-V02AE26,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP7H50-H001R30,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP7H50-H002R26,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP7H50-H02AR26,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP7H70-V001R30,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP7H70-V002R26,,condition,Funktionsattribut,Wertliste,Deutsch,new
MCP7H70-V02AR26,,condition,Funktionsattribut,Wertliste,Deutsch,new
