Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
MCP1660-W00AE30,,Transceivers & SFP Modul,Formfaktor,QSFP-DD,1,Wertliste,Attribut
MCP1660-W00AE30,,Transceivers & SFP Modul,Geschwindigkeit,400 Gbit/s,2,Wertliste,Attribut
MCP1660-W00AE30,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
MCP1660-W00AE30,,Transceivers & SFP Modul,Anschlusstyp,QSFP-DD auf QSFP-DD,6,Wertliste,Attribut
MCP1660-W00AE30,,Transceivers & SFP Modul,Länge,0.5 m,7,Wertliste,Attribut
MCP1660-W00AE30,,Transceivers & SFP Modul,Kabeltyp,Passives Twinax-Kupferkabel (DAC),9,Wertliste,Attribut
MCP1660-W00AE30,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
MCP1660-W00AE30,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
MCP1660-W001E30,,Transceivers & SFP Modul,Formfaktor,QSFP-DD,1,Wertliste,Attribut
MCP1660-W001E30,,Transceivers & SFP Modul,Geschwindigkeit,400 Gbit/s,2,Wertliste,Attribut
MCP1660-W001E30,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
MCP1660-W001E30,,Transceivers & SFP Modul,Anschlusstyp,QSFP-DD auf QSFP-DD,6,Wertliste,Attribut
MCP1660-W001E30,,Transceivers & SFP Modul,Länge,1 m,7,Wertliste,Attribut
MCP1660-W001E30,,Transceivers & SFP Modul,Kabeltyp,Passives Twinax-Kupferkabel (DAC),9,Wertliste,Attribut
MCP1660-W001E30,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
MCP1660-W001E30,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
MCP1660-W01AE30,,Transceivers & SFP Modul,Formfaktor,QSFP-DD,1,Wertliste,Attribut
MCP1660-W01AE30,,Transceivers & SFP Modul,Geschwindigkeit,400 Gbit/s,2,Wertliste,Attribut
MCP1660-W01AE30,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
MCP1660-W01AE30,,Transceivers & SFP Modul,Anschlusstyp,QSFP-DD auf QSFP-DD,6,Wertliste,Attribut
MCP1660-W01AE30,,Transceivers & SFP Modul,Länge,1.5 m,7,Wertliste,Attribut
MCP1660-W01AE30,,Transceivers & SFP Modul,Kabeltyp,Passives Twinax-Kupferkabel (DAC),9,Wertliste,Attribut
MCP1660-W01AE30,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
MCP1660-W01AE30,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
MCP1660-W002E26,,Transceivers & SFP Modul,Formfaktor,QSFP-DD,1,Wertliste,Attribut
MCP1660-W002E26,,Transceivers & SFP Modul,Geschwindigkeit,400 Gbit/s,2,Wertliste,Attribut
MCP1660-W002E26,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
MCP1660-W002E26,,Transceivers & SFP Modul,Anschlusstyp,QSFP-DD auf QSFP-DD,6,Wertliste,Attribut
MCP1660-W002E26,,Transceivers & SFP Modul,Länge,2 m,7,Wertliste,Attribut
MCP1660-W002E26,,Transceivers & SFP Modul,Kabeltyp,Passives Twinax-Kupferkabel (DAC),9,Wertliste,Attribut
MCP1660-W002E26,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
MCP1660-W002E26,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
MCP1660-W02AE26,,Transceivers & SFP Modul,Formfaktor,QSFP-DD,1,Wertliste,Attribut
MCP1660-W02AE26,,Transceivers & SFP Modul,Geschwindigkeit,400 Gbit/s,2,Wertliste,Attribut
MCP1660-W02AE26,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
MCP1660-W02AE26,,Transceivers & SFP Modul,Anschlusstyp,QSFP-DD auf QSFP-DD,6,Wertliste,Attribut
MCP1660-W02AE26,,Transceivers & SFP Modul,Länge,2.5 m,7,Wertliste,Attribut
MCP1660-W02AE26,,Transceivers & SFP Modul,Kabeltyp,Passives Twinax-Kupferkabel (DAC),9,Wertliste,Attribut
MCP1660-W02AE26,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
MCP1660-W02AE26,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
MCP7H60-W001R30,,Transceivers & SFP Modul,Formfaktor,QSFP-DD,1,Wertliste,Attribut
MCP7H60-W001R30,,Transceivers & SFP Modul,Geschwindigkeit,400 Gbit/s,2,Wertliste,Attribut
MCP7H60-W001R30,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
MCP7H60-W001R30,,Transceivers & SFP Modul,Anschlusstyp,QSFP-DD auf QSFP-DD,6,Wertliste,Attribut
MCP7H60-W001R30,,Transceivers & SFP Modul,Länge,1 m,7,Wertliste,Attribut
MCP7H60-W001R30,,Transceivers & SFP Modul,Kabeltyp,Passives Twinax-Kupferkabel (DAC),9,Wertliste,Attribut
MCP7H60-W001R30,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
MCP7H60-W001R30,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
MCP7H60-W002R26,,Transceivers & SFP Modul,Formfaktor,QSFP-DD,1,Wertliste,Attribut
MCP7H60-W002R26,,Transceivers & SFP Modul,Geschwindigkeit,200 Gbit/s,2,Wertliste,Attribut
MCP7H60-W002R26,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
MCP7H60-W002R26,,Transceivers & SFP Modul,Anschlusstyp,QSFP-DD auf QSFP-DD,6,Wertliste,Attribut
MCP7H60-W002R26,,Transceivers & SFP Modul,Länge,2 m,7,Wertliste,Attribut
MCP7H60-W002R26,,Transceivers & SFP Modul,Kabeltyp,Passives Twinax-Kupferkabel (DAC),9,Wertliste,Attribut
MCP7H60-W002R26,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
MCP7H60-W002R26,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
MCP7H60-W02AR26,,Transceivers & SFP Modul,Formfaktor,QSFP-DD,1,Wertliste,Attribut
MCP7H60-W02AR26,,Transceivers & SFP Modul,Geschwindigkeit,400 Gbit/s,2,Wertliste,Attribut
MCP7H60-W02AR26,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
MCP7H60-W02AR26,,Transceivers & SFP Modul,Anschlusstyp,QSFP-DD auf 2x QSFP56,6,Wertliste,Attribut
MCP7H60-W02AR26,,Transceivers & SFP Modul,Länge,2.5 m,7,Wertliste,Attribut
MCP7H60-W02AR26,,Transceivers & SFP Modul,Kabeltyp,Passives Twinax-Kupferkabel (DAC),9,Wertliste,Attribut
MCP7H60-W02AR26,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
MCP7H60-W02AR26,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
MCP7F60-W001R30,,Transceivers & SFP Modul,Formfaktor,QSFP-DD,1,Wertliste,Attribut
MCP7F60-W001R30,,Transceivers & SFP Modul,Geschwindigkeit,400 Gbit/s,2,Wertliste,Attribut
MCP7F60-W001R30,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
MCP7F60-W001R30,,Transceivers & SFP Modul,Anschlusstyp,QSFP-DD auf QSFP-DD,6,Wertliste,Attribut
MCP7F60-W001R30,,Transceivers & SFP Modul,Länge,1 m,7,Wertliste,Attribut
MCP7F60-W001R30,,Transceivers & SFP Modul,Kabeltyp,Passives Twinax-Kupferkabel (DAC),9,Wertliste,Attribut
MCP7F60-W001R30,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
MCP7F60-W001R30,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
MCP7F60-W002R26,,Transceivers & SFP Modul,Formfaktor,QSFP-DD,1,Wertliste,Attribut
MCP7F60-W002R26,,Transceivers & SFP Modul,Geschwindigkeit,400 Gbit/s,2,Wertliste,Attribut
MCP7F60-W002R26,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
MCP7F60-W002R26,,Transceivers & SFP Modul,Anschlusstyp,QSFP-DD auf 4x QSFP56,6,Wertliste,Attribut
MCP7F60-W002R26,,Transceivers & SFP Modul,Länge,2 m,7,Wertliste,Attribut
MCP7F60-W002R26,,Transceivers & SFP Modul,Kabeltyp,Passives Twinax-Kupferkabel (DAC),9,Wertliste,Attribut
MCP7F60-W002R26,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
MCP7F60-W002R26,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
MCP7F60-W02AR26,,Transceivers & SFP Modul,Formfaktor,QSFP56,1,Wertliste,Attribut
MCP7F60-W02AR26,,Transceivers & SFP Modul,Geschwindigkeit,100 Gbit/s,2,Wertliste,Attribut
MCP7F60-W02AR26,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
MCP7F60-W02AR26,,Transceivers & SFP Modul,Anschlusstyp,QSFP56 auf QSFP56,6,Wertliste,Attribut
MCP7F60-W02AR26,,Transceivers & SFP Modul,Länge,2.5 m,7,Wertliste,Attribut
MCP7F60-W02AR26,,Transceivers & SFP Modul,Kabeltyp,Passives Twinax-Kupferkabel (DAC),9,Wertliste,Attribut
MCP7F60-W02AR26,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
MCP7F60-W02AR26,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
C-DQ8FNM003-H0-M,,Transceivers & SFP Modul,Formfaktor,QSFP-DD,1,Wertliste,Attribut
C-DQ8FNM003-H0-M,,Transceivers & SFP Modul,Geschwindigkeit,400 Gbit/s,2,Wertliste,Attribut
C-DQ8FNM003-H0-M,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
C-DQ8FNM003-H0-M,,Transceivers & SFP Modul,Anschlusstyp,QSFP-DD auf QSFP-DD,6,Wertliste,Attribut
C-DQ8FNM003-H0-M,,Transceivers & SFP Modul,Länge,3 m,7,Wertliste,Attribut
C-DQ8FNM003-H0-M,,Transceivers & SFP Modul,Kabeltyp,Aktives optisches Kabel (AOC),9,Wertliste,Attribut
C-DQ8FNM003-H0-M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
C-DQ8FNM003-H0-M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
C-DQ8FNM005-H0-M,,Transceivers & SFP Modul,Formfaktor,QSFP-DD,1,Wertliste,Attribut
C-DQ8FNM005-H0-M,,Transceivers & SFP Modul,Geschwindigkeit,400 Gbit/s,2,Wertliste,Attribut
C-DQ8FNM005-H0-M,,Transceivers & SFP Modul,Transceiver Typ,fest konfektioniert (im Kabel enthalten),3,Wertliste,Attribut
C-DQ8FNM005-H0-M,,Transceivers & SFP Modul,Anschlusstyp,QSFP-DD auf QSFP-DD,6,Wertliste,Attribut
C-DQ8FNM005-H0-M,,Transceivers & SFP Modul,Länge,5 m,7,Wertliste,Attribut
C-DQ8FNM005-H0-M,,Transceivers & SFP Modul,Kabeltyp,Aktives optisches Kabel (AOC),9,Wertliste,Attribut
C-DQ8FNM005-H0-M,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Top-of-Rack-/Row-Verkabelung),11,Wertliste,Attribut
C-DQ8FNM005-H0-M,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
