Artikelnummer;Netto-VK
AOC-E10GSFPSR;109,00
AOM-TSFP-709DMZ-AVG;109,00
AOC-TSR-FS;109,00
AOM-TSR-FS;109,00
AOM-SFP28-25GBE-SR-1-MLN;143,00
AOM-TQSFP-79EQPZ-AVG;193,00
AOM-TQSFP-79EQDZ-AVG;193,00
AOM-TQSFP-79EIPZ-AVG;193,00
AOM-TQSFP-79EEPZ-AVG;193,00
AOM-AQS-107-B0C2-CX;193,00
CBL-0347L;50,00
CBL-0348L;61,00
CBL-0349L;72,00
CBL-NTWK-0347;50,00
CBL-NTWK-0456;55,00
CBL-SFP+AOC-1M;89,00
CBL-SFP+AOC-3M;102,00
CBL-SFP+AOC-5M;116,00
CBL-SFP+AOC-5M-1;116,00
CBL-SFP+AOC-10M;148,00
CBL-NTWK-0417-01;56,00
CBL-NTWK-0325-02;63,00
CBL-NTWK-0446-01;69,00
CBL-NTWK-0422-01;82,00
CBL-NTWK-0944-SS28C50M;85,00
CBL-NTWK-0943-SQ28C10M;107,00
CBL-NTWK-0942-MQ28C10M;107,00
