Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
UACC-OM-MM-1G-D,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SM-1G-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-CM-RJ45,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-MM-10G-D,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SM-10G-D,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SM-10G-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-CM-RJ45-MG,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP10-1270,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP10-1290,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP10-1310,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP10-1330,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP10-1450,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP10-1470,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP10-1490,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP10-1510,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP10-1530,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP10-1550,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP10-1570,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP10-1590,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP28-SR,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-SFP28-LR,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-QSFP28-SR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-QSFP28-LR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-OM-QSFP28-PSM4,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-DAC-SFP10-0.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-DAC-SFP10-1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-DAC-SFP10-3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-DAC-SFP28-0.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-DAC-SFP28-1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-DAC-SFP28-3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-DAC-QSFP28-0.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-DAC-QSFP28-1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-DAC-QSFP28-3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-AOC-SFP10-5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-AOC-SFP10-10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-AOC-SFP10-20M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-AOC-SFP10-30M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-AOC-SFP28-5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-AOC-SFP28-10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-AOC-SFP28-20M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-AOC-SFP28-30M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-AOC-QSFP28-5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-AOC-QSFP28-10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-AOC-QSFP28-20M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-AOC-QSFP28-30M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-Uplink-SFP28-0.15M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-Uplink-SFP28-0.3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-Uplink-SFP28-3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
UACC-Uplink-SFP28-30M,,condition,Funktionsattribut,Wertliste,Deutsch,new
