Artikelnummer,Attributname,Attributwert
UACC-OM-MM-1G-D,FAQ,"Welche Datenrate und Bauform hat das UACC-OM-MM-1G-D?||Das UACC-OM-MM-1G-D ist ein SFP-Modul mit 1 Gbit/s nach 1000BASE-SX.##Welchen Stecker und welche Schnittstelle nutzt das UACC-OM-MM-1G-D?||Das UACC-OM-MM-1G-D hat den Formfaktor SFP mit LC-Schnittstelle.##Welche Reichweite erreicht das UACC-OM-MM-1G-D?||Laut Spezifikation erreicht das UACC-OM-MM-1G-D bis 550 m (Wellenlänge 850 nm).##Welcher Fasertyp ist erforderlich?||Das UACC-OM-MM-1G-D ist für Multimode ausgelegt.##Unterstützt das UACC-OM-MM-1G-D DOM/DDM?||Nein, das UACC-OM-MM-1G-D unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das UACC-OM-MM-1G-D?||Das UACC-OM-MM-1G-D ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das UACC-OM-MM-1G-D typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das UACC-OM-MM-1G-D mit Ubiquiti-Geräten kompatibel?||Das UACC-OM-MM-1G-D ist eine Ubiquiti-Optik-Komponente und für den Betrieb in Ubiquiti-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
UACC-OM-SM-1G-S,FAQ,"Welche Datenrate und Bauform hat das UACC-OM-SM-1G-S?||Das UACC-OM-SM-1G-S ist ein SFP-Modul mit 1 Gbit/s nach 1000BASE-BX (BiDi).##Welchen Stecker und welche Schnittstelle nutzt das UACC-OM-SM-1G-S?||Das UACC-OM-SM-1G-S hat den Formfaktor SFP mit LC-Schnittstelle.##Welche Reichweite erreicht das UACC-OM-SM-1G-S?||Laut Spezifikation erreicht das UACC-OM-SM-1G-S bis 3 km (Wellenlänge 1310 nm (Tx) / 1550 nm (Rx)).##Welcher Fasertyp ist erforderlich?||Das UACC-OM-SM-1G-S ist für Singlemode ausgelegt.##Unterstützt das UACC-OM-SM-1G-S DOM/DDM?||Nein, das UACC-OM-SM-1G-S unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das UACC-OM-SM-1G-S?||Das UACC-OM-SM-1G-S ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das UACC-OM-SM-1G-S typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das UACC-OM-SM-1G-S mit Ubiquiti-Geräten kompatibel?||Das UACC-OM-SM-1G-S ist eine Ubiquiti-Optik-Komponente und für den Betrieb in Ubiquiti-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
UACC-CM-RJ45,FAQ,"Welche Datenrate und Bauform hat das UACC-CM-RJ45?||Das UACC-CM-RJ45 ist ein SFP-Modul mit 1 Gbit/s nach 1000BASE-T.##Welchen Stecker und welche Schnittstelle nutzt das UACC-CM-RJ45?||Das UACC-CM-RJ45 hat den Formfaktor SFP mit RJ45-Schnittstelle.##Welche Reichweite erreicht das UACC-CM-RJ45?||Laut Spezifikation erreicht das UACC-CM-RJ45 bis 100 m.##Welcher Fasertyp ist erforderlich?||Das UACC-CM-RJ45 ist für Kupfer ausgelegt.##Unterstützt das UACC-CM-RJ45 DOM/DDM?||Nein, das UACC-CM-RJ45 unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das UACC-CM-RJ45?||Das UACC-CM-RJ45 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das UACC-CM-RJ45 typischerweise eingesetzt?||Typischer Einsatz: Zugriffs-/Verteilnetz (Kupfer).##Ist das UACC-CM-RJ45 mit Ubiquiti-Geräten kompatibel?||Das UACC-CM-RJ45 ist eine Ubiquiti-Optik-Komponente und für den Betrieb in Ubiquiti-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
UACC-OM-MM-10G-D,FAQ,"Welche Datenrate und Bauform hat das UACC-OM-MM-10G-D?||Das UACC-OM-MM-10G-D ist ein SFP+-Modul mit 10 Gbit/s nach 10GBASE-SR.##Welchen Stecker und welche Schnittstelle nutzt das UACC-OM-MM-10G-D?||Das UACC-OM-MM-10G-D hat den Formfaktor SFP+ mit LC-Schnittstelle.##Welche Reichweite erreicht das UACC-OM-MM-10G-D?||Laut Spezifikation erreicht das UACC-OM-MM-10G-D bis 300 m (Wellenlänge 850 nm).##Welcher Fasertyp ist erforderlich?||Das UACC-OM-MM-10G-D ist für Multimode ausgelegt.##Unterstützt das UACC-OM-MM-10G-D DOM/DDM?||Ja, das UACC-OM-MM-10G-D unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das UACC-OM-MM-10G-D?||Das UACC-OM-MM-10G-D ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das UACC-OM-MM-10G-D typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das UACC-OM-MM-10G-D mit Ubiquiti-Geräten kompatibel?||Das UACC-OM-MM-10G-D ist eine Ubiquiti-Optik-Komponente und für den Betrieb in Ubiquiti-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
UACC-OM-SM-10G-D,FAQ,"Welche Datenrate und Bauform hat das UACC-OM-SM-10G-D?||Das UACC-OM-SM-10G-D ist ein SFP+-Modul mit 10 Gbit/s nach 10GBASE-LR.##Welchen Stecker und welche Schnittstelle nutzt das UACC-OM-SM-10G-D?||Das UACC-OM-SM-10G-D hat den Formfaktor SFP+ mit LC-Schnittstelle.##Welche Reichweite erreicht das UACC-OM-SM-10G-D?||Laut Spezifikation erreicht das UACC-OM-SM-10G-D bis 10 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das UACC-OM-SM-10G-D ist für Singlemode ausgelegt.##Unterstützt das UACC-OM-SM-10G-D DOM/DDM?||Ja, das UACC-OM-SM-10G-D unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das UACC-OM-SM-10G-D?||Das UACC-OM-SM-10G-D ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das UACC-OM-SM-10G-D typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das UACC-OM-SM-10G-D mit Ubiquiti-Geräten kompatibel?||Das UACC-OM-SM-10G-D ist eine Ubiquiti-Optik-Komponente und für den Betrieb in Ubiquiti-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
UACC-OM-SM-10G-S,FAQ,"Welche Datenrate und Bauform hat das UACC-OM-SM-10G-S?||Das UACC-OM-SM-10G-S ist ein SFP+-Modul mit 10 Gbit/s nach 10GBASE-BX (BiDi).##Welchen Stecker und welche Schnittstelle nutzt das UACC-OM-SM-10G-S?||Das UACC-OM-SM-10G-S hat den Formfaktor SFP+ mit LC-Schnittstelle.##Welche Reichweite erreicht das UACC-OM-SM-10G-S?||Laut Spezifikation erreicht das UACC-OM-SM-10G-S bis 10 km (Wellenlänge 1270 nm (Tx) / 1330 nm (Rx)).##Welcher Fasertyp ist erforderlich?||Das UACC-OM-SM-10G-S ist für Singlemode ausgelegt.##Unterstützt das UACC-OM-SM-10G-S DOM/DDM?||Ja, das UACC-OM-SM-10G-S unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das UACC-OM-SM-10G-S?||Das UACC-OM-SM-10G-S ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das UACC-OM-SM-10G-S typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das UACC-OM-SM-10G-S mit Ubiquiti-Geräten kompatibel?||Das UACC-OM-SM-10G-S ist eine Ubiquiti-Optik-Komponente und für den Betrieb in Ubiquiti-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
UACC-CM-RJ45-MG,FAQ,"Welche Datenrate und Bauform hat das UACC-CM-RJ45-MG?||Das UACC-CM-RJ45-MG ist ein SFP+-Modul mit 10 Gbit/s nach NBASE-T (10GBASE-T / 5GBASE-T / 2.5GBASE-T / 1000BASE-T).##Welchen Stecker und welche Schnittstelle nutzt das UACC-CM-RJ45-MG?||Das UACC-CM-RJ45-MG hat den Formfaktor SFP+ mit RJ45-Schnittstelle.##Welche Reichweite erreicht das UACC-CM-RJ45-MG?||Laut Spezifikation erreicht das UACC-CM-RJ45-MG bis 100 m.##Welcher Fasertyp ist erforderlich?||Das UACC-CM-RJ45-MG ist für Kupfer ausgelegt.##Unterstützt das UACC-CM-RJ45-MG DOM/DDM?||Nein, das UACC-CM-RJ45-MG unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das UACC-CM-RJ45-MG?||Das UACC-CM-RJ45-MG ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das UACC-CM-RJ45-MG typischerweise eingesetzt?||Typischer Einsatz: Zugriffs-/Verteilnetz (Kupfer).##Ist das UACC-CM-RJ45-MG mit Ubiquiti-Geräten kompatibel?||Das UACC-CM-RJ45-MG ist eine Ubiquiti-Optik-Komponente und für den Betrieb in Ubiquiti-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
UACC-OM-SFP10-1270,FAQ,"Welche Datenrate und Bauform hat das UACC-OM-SFP10-1270?||Das UACC-OM-SFP10-1270 ist ein SFP+-Modul mit 10 Gbit/s nach 10G CWDM (SFP+).##Welchen Stecker und welche Schnittstelle nutzt das UACC-OM-SFP10-1270?||Das UACC-OM-SFP10-1270 hat den Formfaktor SFP+ mit LC-Schnittstelle.##Welche Reichweite erreicht das UACC-OM-SFP10-1270?||Laut Spezifikation erreicht das UACC-OM-SFP10-1270 bis 20 km (Wellenlänge 1270 nm (CWDM)).##Welcher Fasertyp ist erforderlich?||Das UACC-OM-SFP10-1270 ist für Singlemode ausgelegt.##Unterstützt das UACC-OM-SFP10-1270 DOM/DDM?||Ja, das UACC-OM-SFP10-1270 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das UACC-OM-SFP10-1270?||Das UACC-OM-SFP10-1270 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das UACC-OM-SFP10-1270 typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das UACC-OM-SFP10-1270 mit Ubiquiti-Geräten kompatibel?||Das UACC-OM-SFP10-1270 ist eine Ubiquiti-Optik-Komponente und für den Betrieb in Ubiquiti-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
UACC-OM-SFP10-1290,FAQ,"Welche Datenrate und Bauform hat das UACC-OM-SFP10-1290?||Das UACC-OM-SFP10-1290 ist ein SFP+-Modul mit 10 Gbit/s nach 10G CWDM (SFP+).##Welchen Stecker und welche Schnittstelle nutzt das UACC-OM-SFP10-1290?||Das UACC-OM-SFP10-1290 hat den Formfaktor SFP+ mit LC-Schnittstelle.##Welche Reichweite erreicht das UACC-OM-SFP10-1290?||Laut Spezifikation erreicht das UACC-OM-SFP10-1290 bis 20 km (Wellenlänge 1290 nm (CWDM)).##Welcher Fasertyp ist erforderlich?||Das UACC-OM-SFP10-1290 ist für Singlemode ausgelegt.##Unterstützt das UACC-OM-SFP10-1290 DOM/DDM?||Ja, das UACC-OM-SFP10-1290 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das UACC-OM-SFP10-1290?||Das UACC-OM-SFP10-1290 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das UACC-OM-SFP10-1290 typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das UACC-OM-SFP10-1290 mit Ubiquiti-Geräten kompatibel?||Das UACC-OM-SFP10-1290 ist eine Ubiquiti-Optik-Komponente und für den Betrieb in Ubiquiti-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
UACC-OM-SFP10-1310,FAQ,"Welche Datenrate und Bauform hat das UACC-OM-SFP10-1310?||Das UACC-OM-SFP10-1310 ist ein SFP+-Modul mit 10 Gbit/s nach 10G CWDM (SFP+).##Welchen Stecker und welche Schnittstelle nutzt das UACC-OM-SFP10-1310?||Das UACC-OM-SFP10-1310 hat den Formfaktor SFP+ mit LC-Schnittstelle.##Welche Reichweite erreicht das UACC-OM-SFP10-1310?||Laut Spezifikation erreicht das UACC-OM-SFP10-1310 bis 20 km (Wellenlänge 1310 nm (CWDM)).##Welcher Fasertyp ist erforderlich?||Das UACC-OM-SFP10-1310 ist für Singlemode ausgelegt.##Unterstützt das UACC-OM-SFP10-1310 DOM/DDM?||Ja, das UACC-OM-SFP10-1310 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das UACC-OM-SFP10-1310?||Das UACC-OM-SFP10-1310 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das UACC-OM-SFP10-1310 typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das UACC-OM-SFP10-1310 mit Ubiquiti-Geräten kompatibel?||Das UACC-OM-SFP10-1310 ist eine Ubiquiti-Optik-Komponente und für den Betrieb in Ubiquiti-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
