Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
UACC-OM-MM-1G-D,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
UACC-OM-MM-1G-D,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
UACC-OM-MM-1G-D,,Transceivers & SFP Modul,Transceiver Typ,SX,3,Wertliste,Attribut
UACC-OM-MM-1G-D,,Transceivers & SFP Modul,Fasertyp,Multimode,4,Wertliste,Attribut
UACC-OM-MM-1G-D,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
UACC-OM-MM-1G-D,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
UACC-OM-MM-1G-D,,Transceivers & SFP Modul,Wellenlänge,850 nm,8,Wertliste,Attribut
UACC-OM-MM-1G-D,,Transceivers & SFP Modul,Reichweite,bis 550 m,10,Wertliste,Attribut
UACC-OM-MM-1G-D,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Kurzstrecke),11,Wertliste,Attribut
UACC-OM-MM-1G-D,,Transceivers & SFP Modul,DOM Unterstützung,Nein,12,Wertliste,Attribut
UACC-OM-MM-1G-D,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
UACC-OM-MM-1G-D,,Transceivers & SFP Modul,Standard,1000BASE-SX,14,Wertliste,Attribut
UACC-OM-SM-1G-S,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
UACC-OM-SM-1G-S,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
UACC-OM-SM-1G-S,,Transceivers & SFP Modul,Transceiver Typ,BX,3,Wertliste,Attribut
UACC-OM-SM-1G-S,,Transceivers & SFP Modul,Fasertyp,Singlemode,4,Wertliste,Attribut
UACC-OM-SM-1G-S,,Transceivers & SFP Modul,Faseranzahl,1,5,Wertliste,Attribut
UACC-OM-SM-1G-S,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
UACC-OM-SM-1G-S,,Transceivers & SFP Modul,Wellenlänge,1310 nm (Tx) / 1550 nm (Rx),8,Wertliste,Attribut
UACC-OM-SM-1G-S,,Transceivers & SFP Modul,Reichweite,bis 3 km,10,Wertliste,Attribut
UACC-OM-SM-1G-S,,Transceivers & SFP Modul,Anwendung,Campus-/Metro-Netz (Langstrecke),11,Wertliste,Attribut
UACC-OM-SM-1G-S,,Transceivers & SFP Modul,DOM Unterstützung,Nein,12,Wertliste,Attribut
UACC-OM-SM-1G-S,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
UACC-OM-SM-1G-S,,Transceivers & SFP Modul,Standard,1000BASE-BX (BiDi),14,Wertliste,Attribut
UACC-CM-RJ45,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
UACC-CM-RJ45,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
UACC-CM-RJ45,,Transceivers & SFP Modul,Transceiver Typ,T,3,Wertliste,Attribut
UACC-CM-RJ45,,Transceivers & SFP Modul,Fasertyp,Kupfer,4,Wertliste,Attribut
UACC-CM-RJ45,,Transceivers & SFP Modul,Anschlusstyp,RJ45,6,Wertliste,Attribut
