Artikelnummer;Überverkauf Plattform Hexwaren
UACC-OM-MM-1G-D;TRUE
UACC-OM-SM-1G-S;TRUE
UACC-CM-RJ45;TRUE
UACC-OM-MM-10G-D;TRUE
UACC-OM-SM-10G-D;TRUE
UACC-OM-SM-10G-S;TRUE
UACC-CM-RJ45-MG;TRUE
UACC-OM-SFP10-1270;TRUE
UACC-OM-SFP10-1290;TRUE
UACC-OM-SFP10-1310;TRUE
UACC-OM-SFP10-1330;TRUE
UACC-OM-SFP10-1450;TRUE
UACC-OM-SFP10-1470;TRUE
UACC-OM-SFP10-1490;TRUE
UACC-OM-SFP10-1510;TRUE
UACC-OM-SFP10-1530;TRUE
UACC-OM-SFP10-1550;TRUE
UACC-OM-SFP10-1570;TRUE
UACC-OM-SFP10-1590;TRUE
UACC-OM-SFP28-SR;TRUE
UACC-OM-SFP28-LR;TRUE
UACC-OM-QSFP28-SR4;TRUE
UACC-OM-QSFP28-LR4;TRUE
UACC-OM-QSFP28-PSM4;TRUE
UACC-DAC-SFP10-0.5M;TRUE
UACC-DAC-SFP10-1M;TRUE
UACC-DAC-SFP10-3M;TRUE
UACC-DAC-SFP28-0.5M;TRUE
UACC-DAC-SFP28-1M;TRUE
UACC-DAC-SFP28-3M;TRUE
UACC-DAC-QSFP28-0.5M;TRUE
UACC-DAC-QSFP28-1M;TRUE
UACC-DAC-QSFP28-3M;TRUE
UACC-AOC-SFP10-5M;TRUE
UACC-AOC-SFP10-10M;TRUE
UACC-AOC-SFP10-20M;TRUE
UACC-AOC-SFP10-30M;TRUE
UACC-AOC-SFP28-5M;TRUE
UACC-AOC-SFP28-10M;TRUE
UACC-AOC-SFP28-20M;TRUE
UACC-AOC-SFP28-30M;TRUE
UACC-AOC-QSFP28-5M;TRUE
UACC-AOC-QSFP28-10M;TRUE
UACC-AOC-QSFP28-20M;TRUE
UACC-AOC-QSFP28-30M;TRUE
UACC-Uplink-SFP28-0.15M;TRUE
UACC-Uplink-SFP28-0.3M;TRUE
UACC-Uplink-SFP28-3M;TRUE
UACC-Uplink-SFP28-30M;TRUE
