Artikelnummer;Netto-VK
UACC-OM-MM-1G-D;0,00
UACC-OM-SM-1G-S;0,00
UACC-CM-RJ45;0,00
UACC-OM-MM-10G-D;0,00
UACC-OM-SM-10G-D;0,00
UACC-OM-SM-10G-S;0,00
UACC-CM-RJ45-MG;0,00
UACC-OM-SFP10-1270;0,00
UACC-OM-SFP10-1290;0,00
UACC-OM-SFP10-1310;0,00
UACC-OM-SFP10-1330;0,00
UACC-OM-SFP10-1450;0,00
UACC-OM-SFP10-1470;0,00
UACC-OM-SFP10-1490;0,00
UACC-OM-SFP10-1510;0,00
UACC-OM-SFP10-1530;0,00
UACC-OM-SFP10-1550;0,00
UACC-OM-SFP10-1570;0,00
UACC-OM-SFP10-1590;0,00
UACC-OM-SFP28-SR;0,00
UACC-OM-SFP28-LR;0,00
UACC-OM-QSFP28-SR4;0,00
UACC-OM-QSFP28-LR4;0,00
UACC-OM-QSFP28-PSM4;0,00
UACC-DAC-SFP10-0.5M;0,00
UACC-DAC-SFP10-1M;0,00
UACC-DAC-SFP10-3M;0,00
UACC-DAC-SFP28-0.5M;0,00
UACC-DAC-SFP28-1M;0,00
UACC-DAC-SFP28-3M;0,00
UACC-DAC-QSFP28-0.5M;0,00
UACC-DAC-QSFP28-1M;0,00
UACC-DAC-QSFP28-3M;0,00
UACC-AOC-SFP10-5M;0,00
UACC-AOC-SFP10-10M;0,00
UACC-AOC-SFP10-20M;0,00
UACC-AOC-SFP10-30M;0,00
UACC-AOC-SFP28-5M;0,00
UACC-AOC-SFP28-10M;0,00
UACC-AOC-SFP28-20M;0,00
UACC-AOC-SFP28-30M;0,00
UACC-AOC-QSFP28-5M;0,00
UACC-AOC-QSFP28-10M;0,00
UACC-AOC-QSFP28-20M;0,00
UACC-AOC-QSFP28-30M;0,00
UACC-Uplink-SFP28-0.15M;0,00
UACC-Uplink-SFP28-0.3M;0,00
UACC-Uplink-SFP28-3M;0,00
UACC-Uplink-SFP28-30M;0,00
