Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
UACC-OM-MM-1G-D,"15,00","Ubiquiti BUDGET — eigene niedrige Genuine-Preisstufe (€10–60 lt. Hersteller-MSRP; UF-MM-10G ~€10–20), NICHT auf OEM-Niveau hochskaliert; explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-SR
UACC-OM-SM-1G-S,"21,00","Ubiquiti BUDGET — eigene niedrige Genuine-Preisstufe (€10–60 lt. Hersteller-MSRP; UF-MM-10G ~€10–20), NICHT auf OEM-Niveau hochskaliert; explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-BX
UACC-CM-RJ45,"12,00","Ubiquiti BUDGET — eigene niedrige Genuine-Preisstufe (€10–60 lt. Hersteller-MSRP; UF-MM-10G ~€10–20), NICHT auf OEM-Niveau hochskaliert; explizite Budget-Leiter",geschätzt-aus-Vergleich,1G-T
UACC-OM-MM-10G-D,"20,00","Ubiquiti BUDGET — eigene niedrige Genuine-Preisstufe (€10–60 lt. Hersteller-MSRP; UF-MM-10G ~€10–20), NICHT auf OEM-Niveau hochskaliert; explizite Budget-Leiter",geschätzt-aus-Vergleich,10G-SR
UACC-OM-SM-10G-D,"32,00","Ubiquiti BUDGET — eigene niedrige Genuine-Preisstufe (€10–60 lt. Hersteller-MSRP; UF-MM-10G ~€10–20), NICHT auf OEM-Niveau hochskaliert; explizite Budget-Leiter",geschätzt-aus-Vergleich,10G-LR
UACC-OM-SM-10G-S,"28,00","Ubiquiti BUDGET — eigene niedrige Genuine-Preisstufe (€10–60 lt. Hersteller-MSRP; UF-MM-10G ~€10–20), NICHT auf OEM-Niveau hochskaliert; explizite Budget-Leiter",geschätzt-aus-Vergleich,10G-BX
UACC-CM-RJ45-MG,"16,00","Ubiquiti BUDGET — eigene niedrige Genuine-Preisstufe (€10–60 lt. Hersteller-MSRP; UF-MM-10G ~€10–20), NICHT auf OEM-Niveau hochskaliert; explizite Budget-Leiter",geschätzt-aus-Vergleich,10G-T
UACC-OM-SFP10-1270,"34,00","Ubiquiti BUDGET — eigene niedrige Genuine-Preisstufe (€10–60 lt. Hersteller-MSRP; UF-MM-10G ~€10–20), NICHT auf OEM-Niveau hochskaliert; explizite Budget-Leiter",geschätzt-aus-Vergleich,10G-CWDM4
UACC-OM-SFP10-1290,"34,00","Ubiquiti BUDGET — eigene niedrige Genuine-Preisstufe (€10–60 lt. Hersteller-MSRP; UF-MM-10G ~€10–20), NICHT auf OEM-Niveau hochskaliert; explizite Budget-Leiter",geschätzt-aus-Vergleich,10G-CWDM4
UACC-OM-SFP10-1310,"34,00","Ubiquiti BUDGET — eigene niedrige Genuine-Preisstufe (€10–60 lt. Hersteller-MSRP; UF-MM-10G ~€10–20), NICHT auf OEM-Niveau hochskaliert; explizite Budget-Leiter",geschätzt-aus-Vergleich,10G-CWDM4
UACC-OM-SFP10-1330,"34,00","Ubiquiti BUDGET — eigene niedrige Genuine-Preisstufe (€10–60 lt. Hersteller-MSRP; UF-MM-10G ~€10–20), NICHT auf OEM-Niveau hochskaliert; explizite Budget-Leiter",geschätzt-aus-Vergleich,10G-CWDM4
UACC-OM-SFP10-1450,"34,00","Ubiquiti BUDGET — eigene niedrige Genuine-Preisstufe (€10–60 lt. Hersteller-MSRP; UF-MM-10G ~€10–20), NICHT auf OEM-Niveau hochskaliert; explizite Budget-Leiter",geschätzt-aus-Vergleich,10G-CWDM4
