Artikelnummer;Netto-VK
QSFP-4SFP25-CU1M;0,00
QSFP-4SFP25-CU2M;0,00
QSFP-4SFP25-CU3M;0,00
QSFP-4SFP25-CU4M;0,00
QSFP-4SFP25-CU5M;0,00
QSFP-100G-SR4-S;0,00
QSFP-100G-SL4;0,00
QSFP-100G-SR1.2;0,00
QSFP-40/100-SRBD;0,00
QSFP-100G-SR-S;0,00
QSFP-100G-PSM4-S;0,00
QSFP-100G-DR-S;0,00
QSFP-100G-FR-S;0,00
QSFP-100G-CWDM4-S;0,00
QSFP-100G-SM-SR;0,00
QSFP-100G-LR-S;0,00
QSFP-100G-LR4-S;0,00
QSFP-100G-LR4-I;0,00
QSFP-100G-ERL-S;0,00
QSFP-100G-B20U4-I;0,00
QSFP-100G-B20D4-I;0,00
QSFP-100G-ER4L-S;0,00
QSFP-100G-4W40-I;0,00
QSFP-100G-ZR4-S;0,00
QSFP-100G-CU1M;0,00
QSFP-100G-CU1.5M;0,00
QSFP-100G-CU2M;0,00
QSFP-100G-CU2.5M;0,00
QSFP-100G-CU3M;0,00
QSFP-100G-CU5M;0,00
QSFP-4SFP25G-CU1M;0,00
Q-4SFP25G-CU1.5M;0,00
QSFP-4SFP25G-CU2M;0,00
Q-4SFP25G-CU2.5M;0,00
QSFP-4SFP25G-CU3M;0,00
QSFP-4SFP25G-CU5M;0,00
QSFP-100G-AOC1M;0,00
QSFP-100G-AOC2M;0,00
QSFP-100G-AOC3M;0,00
QSFP-100G-AOC5M;0,00
QSFP-100G-AOC7M;0,00
QSFP-100G-AOC10M;0,00
QSFP-100G-AOC15M;0,00
QSFP-100G-AOC20M;0,00
QSFP-100G-AOC25M;0,00
QSFP-100G-AOC30M;0,00
QSFP-40G-SR4-S;0,00
QSFP-40G-SR4;0,00
QSFP-40G-SR-BD;0,00
QSFP-40G-BD-RX;0,00
FET-40G;0,00
QSFP-40G-CSR-S;0,00
QSFP-40G-CSR4;0,00
WSP-Q40GLR4L;0,00
QSFP-40G-LR4-S;0,00
QSFP-40G-LR4;0,00
QSFP-4X10G-LR-S;0,00
QSFP-40G-ER4;0,00
QSFP-H40G-CU0-5M;0,00
QSFP-H40G-CU1M;0,00
QSFP-H40G-CU2M;0,00
QSFP-H40G-CU3M;0,00
QSFP-H40G-CU4M;0,00
QSFP-H40G-CU5M;0,00
QSFP-H40G-ACU7M;0,00
QSFP-H40G-ACU10M;0,00
QSFP-4SFP10-CU0-5;0,00
QSFP-4SFP10G-CU1M;0,00
QSFP-4SFP10G-CU2M;0,00
QSFP-4SFP10G-CU3M;0,00
QSFP-4SFP10G-CU4M;0,00
QSFP-4SFP10G-CU5M;0,00
QSFP-4X10G-AC7M;0,00
QSFP-4X10G-AC10M;0,00
QSFP-H40G-AOC1M;0,00
QSFP-H40G-AOC2M;0,00
QSFP-H40G-AOC3M;0,00
QSFP-H40G-AOC5M;0,00
QSFP-H40G-AOC7M;0,00
QSFP-H40G-AOC10M;0,00
QSFP-H40G-AOC15M;0,00
QSFP-H40G-AOC20M;0,00
QSFP-H40G-AOC25M;0,00
QSFP-H40G-AOC30M;0,00
QSFP-4X10G-AOC1M;0,00
QSFP-4X10G-AOC2M;0,00
QSFP-4X10G-AOC3M;0,00
QSFP-4X10G-AOC5M;0,00
QSFP-4X10G-AOC7M;0,00
QSFP-4X10G-AOC10M;0,00
SFP-10G-T-X;0,00
SFP-10G-SR-S;0,00
SFP-10G-SR;0,00
SFP-10G-SR-X;0,00
SFP-10G-SR-I;0,00
SFP-10G-LRM;0,00
SFP-10G-LR-S;0,00
SFP-10G-LR;0,00
SFP-10G-LR-X;0,00
SFP-10G-LR10-I;0,00
SFP-10G-BXD-I;0,00
SFP-10G-BXU-I;0,00
SFP-10G-ER-S;0,00
SFP-10G-ER;0,00
SFP-10G-ER-I;0,00
SFP-10G-BX40D-I;0,00
SFP-10G-BX40U-I;0,00
SFP-10G-ZR-S;0,00
SFP-10G-ZR;0,00
SFP-10G-ZR-I;0,00
SFP-H10GB-CU1M;0,00
SFP-H10GB-CU1-5M;0,00
SFP-H10GB-CU2M;0,00
SFP-H10GB-CU2-5M;0,00
SFP-H10GB-CU3M;0,00
SFP-H10GB-CU4M;0,00
SFP-H10GB-CU5M;0,00
SFP-H10GB-ACU7M;0,00
SFP-H10GB-ACU10M;0,00
SFP-10G-AOC1M;0,00
SFP-10G-AOC2M;0,00
SFP-10G-AOC3M;0,00
SFP-10G-AOC5M;0,00
SFP-10G-AOC7M;0,00
