Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
QSFP-4SFP25-CU1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25-CU2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25-CU4M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25-CU5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-SR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-SL4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-SR1.2,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-40/100-SRBD,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-SR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-PSM4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-DR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-FR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-CWDM4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-SM-SR,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-LR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-LR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-LR4-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-ERL-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-B20U4-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-B20D4-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-ER4L-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-4W40-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-ZR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-CU1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-CU1.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-CU2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-CU2.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-CU5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25G-CU1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
Q-4SFP25G-CU1.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25G-CU2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
Q-4SFP25G-CU2.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25G-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP25G-CU5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-AOC1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-AOC2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-AOC3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-AOC5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-AOC7M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-AOC10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-AOC15M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-AOC20M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-AOC25M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-100G-AOC30M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-40G-SR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-40G-SR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-40G-SR-BD,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-40G-BD-RX,,condition,Funktionsattribut,Wertliste,Deutsch,new
FET-40G,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-40G-CSR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-40G-CSR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
WSP-Q40GLR4L,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-40G-LR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-40G-LR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-LR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-40G-ER4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-CU0-5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-CU1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-CU2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-CU4M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-CU5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-ACU7M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-ACU10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP10-CU0-5,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP10G-CU1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP10G-CU2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP10G-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP10G-CU4M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4SFP10G-CU5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AC7M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AC10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-AOC1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-AOC2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-AOC3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-AOC5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-AOC7M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-AOC10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-AOC15M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-AOC20M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-AOC25M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-H40G-AOC30M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AOC1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AOC2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AOC3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AOC5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AOC7M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-4X10G-AOC10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-T-X,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-SR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-SR,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-SR-X,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-SR-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-LRM,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-LR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-LR,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-LR-X,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-LR10-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-BXD-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-BXU-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-ER-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-ER,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-ER-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-BX40D-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-BX40U-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-ZR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-ZR,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-ZR-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H10GB-CU1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H10GB-CU1-5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H10GB-CU2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H10GB-CU2-5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H10GB-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H10GB-CU4M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H10GB-CU5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H10GB-ACU7M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H10GB-ACU10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-AOC1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-AOC2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-AOC3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-AOC5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-AOC7M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10G-AOC10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-T,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-TE,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-T-RGD,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-GE-T,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-SX-MMD,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-SX-MM-RGD,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-LH-SMD,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-LX-SM-RGD,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-EX-SMD,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-ZX-SMD,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-ZX-SM-RGD,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-GE-DR-LX,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-BX-U,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-BX-D,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-BX-U-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-BX-D-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-2BX-D,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-2BX-D-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-BX40-D-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-BX40-DA-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-BX40-U-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-BX80-D-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-BX80-U-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-1G-LH,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-1G-SX,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-1G-T-X,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H25G-CU1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H25G-CU1.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H25G-CU2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H25G-CU2.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H25G-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H25G-CU4M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-H25G-CU5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-AOC1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-AOC2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-AOC3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-AOC4M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-AOC5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-AOC7M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-AOC10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-SR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-SL,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10/25G-CSR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10/25G-LR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10/25G-LR-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10/25G-BXD-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-10/25G-BXU-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-ER-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-BX40D-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-25G-BX40U-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU0.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU1.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU2.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU4M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-CU5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-SL,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-SR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-LR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
