Artikelnummer;Netto-VK
QSFP-4SFP25-CU1M;195,00
QSFP-4SFP25-CU2M;225,00
QSFP-4SFP25-CU3M;255,00
QSFP-4SFP25-CU4M;285,00
QSFP-4SFP25-CU5M;315,00
QSFP-100G-SR4-S;480,00
QSFP-100G-SL4;480,00
QSFP-100G-B20U4-I;1200,00
QSFP-100G-B20D4-I;1200,00
QSFP-100G-CU1.5M;210,00
QSFP-100G-CU2.5M;240,00
Q-4SFP25G-CU1.5M;210,00
Q-4SFP25G-CU2.5M;240,00
FET-40G;280,00
QSFP-H40G-CU0-5M;105,00
QSFP-4SFP10-CU0-5;105,00
QSFP-4X10G-AOC1M;186,00
QSFP-4X10G-AOC2M;202,00
QSFP-4X10G-AOC3M;218,00
QSFP-4X10G-AOC5M;250,00
QSFP-4X10G-AOC7M;282,00
QSFP-4X10G-AOC10M;330,00
SFP-10G-T-X;350,00
SFP-10G-SR-I;230,00
SFP-10G-LR10-I;420,00
SFP-10G-BXD-I;450,00
SFP-10G-BXU-I;450,00
SFP-10G-BX40U-I;700,00
GLC-T-RGD;130,00
GLC-GE-DR-LX;190,00
GLC-BX-U-I;180,00
GLC-BX-D-I;180,00
GLC-2BX-D-I;250,00
SFP-1G-LH;250,00
SFP-1G-SX;100,00
SFP-1G-T-X;110,00
SFP-H25G-CU1.5M;113,00
SFP-H25G-CU2.5M;125,00
SFP-25G-BX40D-I;650,00
SFP-25G-BX40U-I;650,00
SFP-50G-CU0.5M;110,00
SFP-50G-CU1M;121,00
SFP-50G-CU1.5M;132,00
SFP-50G-CU2M;142,00
SFP-50G-CU2.5M;152,00
SFP-50G-CU3M;163,00
SFP-50G-CU4M;184,00
SFP-50G-CU5M;205,00
SFP-50G-SL;420,00
SFP-50G-SR-S;420,00
SFP-50G-LR-S;850,00
SFP-50G-BXD-I;550,00
SFP-50G-BXU-I;550,00
SFP-50G-BX40D-I;750,00
SFP-50G-BX40U-I;750,00
SFP-50G-ER-I;1100,00
QDD-2Q200-CU3M;375,00
QDD-400G-VR4;2200,00
QDD-400G-SR8-S;2400,00
QDD-400G-SR4.2-BD;2700,00
QDD-400G-BD;2700,00
QDD-4X100G-FR-S;3200,00
CPAK-100G-LR4-2K;10000,00
CPAK-10X10G-LR;11000,00
CPAK-100G-FR;8000,00
GLC-GE-100FX;120,00
GLC-FE-T-I;120,00
XFP10GLR192SR-RGD;500,00
X2-10GB-T;450,00
OSFP-800G-VR8;6200,00
OSFP-800G-VR8P;6800,00
OSFP-800G-DR8;6500,00
OSFP-800G-DR8P;6800,00
OSFP-2X400G-FR4;7500,00
QSFP-2Q200-CU3M;375,00
QSFP-200G-SR4-S;2200,00
QSFP-200G-SL4;1900,00
QSFP-200G-FR4-S;3200,00
QSFP-400G-DR4;2400,00
QSFP-400G-VR4;2200,00
