JUNIPER VERIFICATION REPORT — 181 -> 179 optics vs Juniper OEM (apps.juniper.net HCT + juniper.net guides)
Compatibles NOT used. HCT JS-gated (not $0-fetchable) -> cached juniper.net guides + juniper.net search. 2026-06-20.
========================================================================================
RESOLVED:
 * Temp FORMAT: 23 industrial '-40 °C bis +85 °C' -> '-40 bis 85 °C'.
 * 13 collision names: 11 confirmed Common Optics (HAN bare). REMOVED 2: QSFP-40G-ESR4-JUNIPER (Juniper's name
   = QFX-QSFP-40G-ESR4, already present -> duplicate) and QDD-400G-PLR4-JUNIPER (CC CALL: juniper.net 400G list =
   DR4/FR4/LR4/ZR/SR4P2, no PLR4; not in HCT/guides -> not a Juniper optic; reversible if Juniper later confirms).
 * 1G DOM verified (modern=Ja per guide DDM; legacy RX-*=Nein OEM-silent) - no change.
 * 2 -ET parts: temp not $0-confirmable -> OMIT confirmed; FLAGGED for HCT range-fill.
REMOVALS: QSFP-40G-ESR4-JUNIPER, QDD-400G-PLR4-JUNIPER (2) -> 181 to 179.  FLAGGED: the 2 -ET temp ranges.

part | in Juniper catalog? | note
----------------------------------------------------------------------------------------
CTP-SFP-1GE-LX             | Ja (Guide)             | Common-Optic, HAN bare
CTP-SFP-1GE-SX             | Ja (Guide)             | Common-Optic, HAN bare
CTP-SFP-1GE-T              | Ja (Guide)             | Common-Optic, HAN bare
RX-10KM-SFP                | Ja (Guide)             | Common-Optic, HAN bare
RX-550M-SFP                | Ja (Guide)             | Common-Optic, HAN bare
RX-70KM-SFP                | Ja (Guide)             | Common-Optic, HAN bare
RX-FXSM-SFP                | Ja (Guide)             | Common-Optic, HAN bare
RX-GET-SFP                 | Ja (Guide)             | Common-Optic, HAN bare
SFP-1FE-FX                 | Ja (Guide)             | Common-Optic, HAN bare
SFP-1GE-FE-E-T             | Ja (Guide)             | Common-Optic, HAN bare
SFP-1GE-LH                 | Ja (Guide)             | Common-Optic, HAN bare
SFP-1GE-LX                 | Ja (Guide)             | Common-Optic, HAN bare
SFP-1GE-SX                 | Ja (Guide)             | Common-Optic, HAN bare
SFP-1GE-T                  | Ja (Guide)             | Common-Optic, HAN bare
SFP-FE20KT13R15            | Ja (Guide)             | Common-Optic, HAN bare
SFP-FE20KT15R13            | Ja (Guide)             | Common-Optic, HAN bare
SFP-GE10KT13R14            | Ja (Guide)             | Common-Optic, HAN bare
SFP-GE10KT13R15            | Ja (Guide)             | Common-Optic, HAN bare
SFP-GE10KT14R13            | Ja (Guide)             | Common-Optic, HAN bare
SFP-GE10KT15R13            | Ja (Guide)             | Common-Optic, HAN bare
SFP-GE40KM                 | Ja (Guide)             | Common-Optic, HAN bare
SFPP-10GE-ER               | Ja (Guide)             | Common-Optic, HAN bare
SFPP-10GE-LR               | Ja (Guide)             | Common-Optic, HAN bare
SFPP-10GE-LRM              | Ja (Guide)             | Common-Optic, HAN bare
SFPP-10GE-SR               | Ja (Guide)             | Common-Optic, HAN bare
XENPAK-1XGE-ER             | Ja (Guide)             | Common-Optic, HAN bare
XENPAK-1XGE-LR             | Ja (Guide)             | Common-Optic, HAN bare
XENPAK-1XGE-SR             | Ja (Guide)             | Common-Optic, HAN bare
