UBIQUITI VERIFICATION REPORT — 49 transceivers vs Ubiquiti techspecs.ui.com / store.ui.com
OEM source: techspecs.ui.com per-PN pages (operator-locked denominator: SFP&Fiber 29 -> 20 IN + cables).
Compatibles (FS/BlueOptics) NOT used. techspecs.ui.com is JS-gated; per-PN pages confirmed via search. 2026-06-20.
====================================================================================
VERDICT: all 49 are real Ubiquiti UACC- codes (techspecs.ui.com pages confirmed). No collisions; byte-contract OK; gate 0.
DOM: 10G+ optical = Ja (10G+ rule); copper RJ45 (UACC-CM-RJ45/-MG) = Nein; DAC/AOC/Uplink = omitted (cable-exempt).
   CORRECTED 2x 1G optical: UACC-OM-MM-1G-D (1000BASE-SX) + UACC-OM-SM-1G-S (1000BASE-BX BiDi) Ja->Nein —
   techspecs.ui.com lists specs but is SILENT on DDM (never blanket-Ja); added to _DOM_NEIN_OEM_SILENT.
TEMP: 0 bis 70 °C commercial (no industrial variants; format clean).
CORRECTIONS: 2 (UACC-OM-MM-1G-D, UACC-OM-SM-1G-S DOM Ja->Nein).  REMOVALS: none.

part | in OEM catalog? | corrections
------------------------------------------------------------------------------------
UACC-OM-MM-1G-D          | Ja (techspecs.ui.com) | DOM Ja->Nein (1G, OEM-silent)
UACC-OM-SM-1G-S          | Ja (techspecs.ui.com) | DOM Ja->Nein (1G, OEM-silent)
UACC-CM-RJ45             | Ja (techspecs.ui.com) | -
UACC-OM-MM-10G-D         | Ja (techspecs.ui.com) | -
UACC-OM-SM-10G-D         | Ja (techspecs.ui.com) | -
UACC-OM-SM-10G-S         | Ja (techspecs.ui.com) | -
UACC-CM-RJ45-MG          | Ja (techspecs.ui.com) | -
UACC-OM-SFP10-1270       | Ja (techspecs.ui.com) | -
UACC-OM-SFP10-1290       | Ja (techspecs.ui.com) | -
UACC-OM-SFP10-1310       | Ja (techspecs.ui.com) | -
UACC-OM-SFP10-1330       | Ja (techspecs.ui.com) | -
UACC-OM-SFP10-1450       | Ja (techspecs.ui.com) | -
UACC-OM-SFP10-1470       | Ja (techspecs.ui.com) | -
UACC-OM-SFP10-1490       | Ja (techspecs.ui.com) | -
UACC-OM-SFP10-1510       | Ja (techspecs.ui.com) | -
UACC-OM-SFP10-1530       | Ja (techspecs.ui.com) | -
UACC-OM-SFP10-1550       | Ja (techspecs.ui.com) | -
UACC-OM-SFP10-1570       | Ja (techspecs.ui.com) | -
UACC-OM-SFP10-1590       | Ja (techspecs.ui.com) | -
UACC-OM-SFP28-SR         | Ja (techspecs.ui.com) | -
UACC-OM-SFP28-LR         | Ja (techspecs.ui.com) | -
UACC-OM-QSFP28-SR4       | Ja (techspecs.ui.com) | -
UACC-OM-QSFP28-LR4       | Ja (techspecs.ui.com) | -
UACC-OM-QSFP28-PSM4      | Ja (techspecs.ui.com) | -
UACC-DAC-SFP10-0.5M      | Ja (techspecs.ui.com) | -
UACC-DAC-SFP10-1M        | Ja (techspecs.ui.com) | -
UACC-DAC-SFP10-3M        | Ja (techspecs.ui.com) | -
UACC-DAC-SFP28-0.5M      | Ja (techspecs.ui.com) | -
UACC-DAC-SFP28-1M        | Ja (techspecs.ui.com) | -
UACC-DAC-SFP28-3M        | Ja (techspecs.ui.com) | -
UACC-DAC-QSFP28-0.5M     | Ja (techspecs.ui.com) | -
UACC-DAC-QSFP28-1M       | Ja (techspecs.ui.com) | -
UACC-DAC-QSFP28-3M       | Ja (techspecs.ui.com) | -
UACC-AOC-SFP10-5M        | Ja (techspecs.ui.com) | -
UACC-AOC-SFP10-10M       | Ja (techspecs.ui.com) | -
UACC-AOC-SFP10-20M       | Ja (techspecs.ui.com) | -
UACC-AOC-SFP10-30M       | Ja (techspecs.ui.com) | -
UACC-AOC-SFP28-5M        | Ja (techspecs.ui.com) | -
UACC-AOC-SFP28-10M       | Ja (techspecs.ui.com) | -
UACC-AOC-SFP28-20M       | Ja (techspecs.ui.com) | -
UACC-AOC-SFP28-30M       | Ja (techspecs.ui.com) | -
UACC-AOC-QSFP28-5M       | Ja (techspecs.ui.com) | -
UACC-AOC-QSFP28-10M      | Ja (techspecs.ui.com) | -
UACC-AOC-QSFP28-20M      | Ja (techspecs.ui.com) | -
UACC-AOC-QSFP28-30M      | Ja (techspecs.ui.com) | -
UACC-Uplink-SFP28-0.15M  | Ja (techspecs.ui.com) | -
UACC-Uplink-SFP28-0.3M   | Ja (techspecs.ui.com) | -
UACC-Uplink-SFP28-3M     | Ja (techspecs.ui.com) | -
UACC-Uplink-SFP28-30M    | Ja (techspecs.ui.com) | -
