Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
S56DD-100G-FR,,condition,Funktionsattribut,Wertliste,Deutsch,new
S56DD-100G-LR,,condition,Funktionsattribut,Wertliste,Deutsch,new
S56DD-100G-SR1.2,,condition,Funktionsattribut,Wertliste,Deutsch,new
Q28DD-200G-2SR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
400G-Q56DD-ZR+,,condition,Funktionsattribut,Wertliste,Deutsch,new
800G-O112-2FR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
AOC-Q28DD-8SFP-10G-10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
DAC-Q28DD-2Q28-100G-2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
DAC-Q28DD-2Q28-100G-3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
AOC-Q28DD-2Q28-100G-5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
AOC-Q28DD-2Q28-100G-15M,,condition,Funktionsattribut,Wertliste,Deutsch,new
DAC-Q28DD-8S28-25G-2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
DAC-Q28DD-8S28-25G-3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
AOC-Q28DD-8S28-25G-10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
DAC-Q28DD-200G-0.5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
DAC-Q28DD-200G-1M,,condition,Funktionsattribut,Wertliste,Deutsch,new
DAC-Q28DD-200G-2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
DAC-Q28DD-200G-3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
AOC-Q28DD-200G-5M,,condition,Funktionsattribut,Wertliste,Deutsch,new
AOC-Q28DD-200G-10M,,condition,Funktionsattribut,Wertliste,Deutsch,new
AOC-Q28DD-200G-20M,,condition,Funktionsattribut,Wertliste,Deutsch,new
AEC-O112-800G-2M,,condition,Funktionsattribut,Wertliste,Deutsch,new
AEC-O112-800G-3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
AEC-O112-800G-4M,,condition,Funktionsattribut,Wertliste,Deutsch,new
