Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
SFP-100M-FX-DELL,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
SFP-100M-FX-DELL,,Transceivers & SFP Modul,Geschwindigkeit,100 Mbit/s,2,Wertliste,Attribut
SFP-100M-FX-DELL,,Transceivers & SFP Modul,Transceiver Typ,FX,3,Wertliste,Attribut
SFP-100M-FX-DELL,,Transceivers & SFP Modul,Fasertyp,Multimode,4,Wertliste,Attribut
SFP-100M-FX-DELL,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
SFP-100M-FX-DELL,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
SFP-100M-FX-DELL,,Transceivers & SFP Modul,Wellenlänge,1310 nm,8,Wertliste,Attribut
SFP-100M-FX-DELL,,Transceivers & SFP Modul,Reichweite,bis 2 km,10,Wertliste,Attribut
SFP-100M-FX-DELL,,Transceivers & SFP Modul,Anwendung,Campus-/Metro-Netz (Langstrecke),11,Wertliste,Attribut
SFP-100M-FX-DELL,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
SFP-100M-FX-DELL,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 85 °C,13,Wertliste,Attribut
SFP-100M-FX-DELL,,Transceivers & SFP Modul,Standard,100BASE-FX,14,Wertliste,Attribut
SFP-1G-SX-DELL,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
SFP-1G-SX-DELL,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
SFP-1G-SX-DELL,,Transceivers & SFP Modul,Transceiver Typ,SX,3,Wertliste,Attribut
SFP-1G-SX-DELL,,Transceivers & SFP Modul,Fasertyp,Multimode,4,Wertliste,Attribut
SFP-1G-SX-DELL,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
SFP-1G-SX-DELL,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
SFP-1G-SX-DELL,,Transceivers & SFP Modul,Wellenlänge,850 nm,8,Wertliste,Attribut
SFP-1G-SX-DELL,,Transceivers & SFP Modul,Reichweite,bis 300 m,10,Wertliste,Attribut
SFP-1G-SX-DELL,,Transceivers & SFP Modul,Anwendung,Rechenzentrum (Kurzstrecke),11,Wertliste,Attribut
SFP-1G-SX-DELL,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
SFP-1G-SX-DELL,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 85 °C,13,Wertliste,Attribut
SFP-1G-SX-DELL,,Transceivers & SFP Modul,Standard,1000BASE-SX,14,Wertliste,Attribut
SFP-1G-LX-DELL,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
SFP-1G-LX-DELL,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
SFP-1G-LX-DELL,,Transceivers & SFP Modul,Transceiver Typ,LX,3,Wertliste,Attribut
SFP-1G-LX-DELL,,Transceivers & SFP Modul,Fasertyp,Singlemode,4,Wertliste,Attribut
SFP-1G-LX-DELL,,Transceivers & SFP Modul,Faseranzahl,2,5,Wertliste,Attribut
SFP-1G-LX-DELL,,Transceivers & SFP Modul,Anschlusstyp,LC,6,Wertliste,Attribut
SFP-1G-LX-DELL,,Transceivers & SFP Modul,Wellenlänge,1310 nm,8,Wertliste,Attribut
SFP-1G-LX-DELL,,Transceivers & SFP Modul,Reichweite,bis 10 km,10,Wertliste,Attribut
SFP-1G-LX-DELL,,Transceivers & SFP Modul,Anwendung,Campus-/Metro-Netz (Langstrecke),11,Wertliste,Attribut
SFP-1G-LX-DELL,,Transceivers & SFP Modul,DOM Unterstützung,Ja,12,Wertliste,Attribut
SFP-1G-LX-DELL,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 85 °C,13,Wertliste,Attribut
SFP-1G-LX-DELL,,Transceivers & SFP Modul,Standard,1000BASE-LX,14,Wertliste,Attribut
SFP-1G-T-DELL,,Transceivers & SFP Modul,Formfaktor,SFP,1,Wertliste,Attribut
SFP-1G-T-DELL,,Transceivers & SFP Modul,Geschwindigkeit,1 Gbit/s,2,Wertliste,Attribut
SFP-1G-T-DELL,,Transceivers & SFP Modul,Transceiver Typ,T,3,Wertliste,Attribut
SFP-1G-T-DELL,,Transceivers & SFP Modul,Fasertyp,Kupfer,4,Wertliste,Attribut
SFP-1G-T-DELL,,Transceivers & SFP Modul,Anschlusstyp,RJ45,6,Wertliste,Attribut
SFP-1G-T-DELL,,Transceivers & SFP Modul,Reichweite,bis 100 m,10,Wertliste,Attribut
SFP-1G-T-DELL,,Transceivers & SFP Modul,Anwendung,Zugriffs-/Verteilnetz (Kupfer),11,Wertliste,Attribut
SFP-1G-T-DELL,,Transceivers & SFP Modul,DOM Unterstützung,Nein,12,Wertliste,Attribut
SFP-1G-T-DELL,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 85 °C,13,Wertliste,Attribut
SFP-1G-T-DELL,,Transceivers & SFP Modul,Standard,1000BASE-T,14,Wertliste,Attribut
SFP-10G-T-DELL,,Transceivers & SFP Modul,Formfaktor,SFP+,1,Wertliste,Attribut
SFP-10G-T-DELL,,Transceivers & SFP Modul,Geschwindigkeit,10 Gbit/s,2,Wertliste,Attribut
SFP-10G-T-DELL,,Transceivers & SFP Modul,Transceiver Typ,T,3,Wertliste,Attribut
SFP-10G-T-DELL,,Transceivers & SFP Modul,Fasertyp,Kupfer,4,Wertliste,Attribut
SFP-10G-T-DELL,,Transceivers & SFP Modul,Anschlusstyp,RJ45,6,Wertliste,Attribut
SFP-10G-T-DELL,,Transceivers & SFP Modul,Reichweite,bis 30 m,10,Wertliste,Attribut
SFP-10G-T-DELL,,Transceivers & SFP Modul,Anwendung,Zugriffs-/Verteilnetz (Kupfer),11,Wertliste,Attribut
SFP-10G-T-DELL,,Transceivers & SFP Modul,DOM Unterstützung,Nein,12,Wertliste,Attribut
SFP-10G-T-DELL,,Transceivers & SFP Modul,Betriebstemperatur,0 bis 70 °C,13,Wertliste,Attribut
SFP-10G-T-DELL,,Transceivers & SFP Modul,Standard,10GBASE-T,14,Wertliste,Attribut
SFP-10G-T-LP,,Transceivers & SFP Modul,Formfaktor,SFP+,1,Wertliste,Attribut
SFP-10G-T-LP,,Transceivers & SFP Modul,Geschwindigkeit,10 Gbit/s,2,Wertliste,Attribut
SFP-10G-T-LP,,Transceivers & SFP Modul,Transceiver Typ,T,3,Wertliste,Attribut
