Artikelnummer;Überverkauf Plattform Hexwaren
S56DD-100G-FR;TRUE
S56DD-100G-LR;TRUE
S56DD-100G-SR1.2;TRUE
Q28DD-200G-2SR4;TRUE
400G-Q56DD-ZR+;TRUE
800G-O112-2FR4;TRUE
AOC-Q28DD-8SFP-10G-10M;TRUE
DAC-Q28DD-2Q28-100G-2M;TRUE
DAC-Q28DD-2Q28-100G-3M;TRUE
AOC-Q28DD-2Q28-100G-5M;TRUE
AOC-Q28DD-2Q28-100G-15M;TRUE
DAC-Q28DD-8S28-25G-2M;TRUE
DAC-Q28DD-8S28-25G-3M;TRUE
AOC-Q28DD-8S28-25G-10M;TRUE
DAC-Q28DD-200G-0.5M;TRUE
DAC-Q28DD-200G-1M;TRUE
DAC-Q28DD-200G-2M;TRUE
DAC-Q28DD-200G-3M;TRUE
AOC-Q28DD-200G-5M;TRUE
AOC-Q28DD-200G-10M;TRUE
AOC-Q28DD-200G-20M;TRUE
AEC-O112-800G-2M;TRUE
AEC-O112-800G-3M;TRUE
AEC-O112-800G-4M;TRUE
