Artikelnummer;Netto-VK
S56DD-100G-FR;720,00
S56DD-100G-LR;2240,00
S56DD-100G-SR1.2;384,00
Q28DD-200G-2SR4;1760,00
400G-Q56DD-ZR+;6000,00
800G-O112-2FR4;6000,00
AOC-Q28DD-8SFP-10G-10M;384,00
DAC-Q28DD-2Q28-100G-2M;272,00
DAC-Q28DD-2Q28-100G-3M;300,00
AOC-Q28DD-2Q28-100G-5M;520,00
AOC-Q28DD-2Q28-100G-15M;840,00
DAC-Q28DD-8S28-25G-2M;272,00
DAC-Q28DD-8S28-25G-3M;300,00
AOC-Q28DD-8S28-25G-10M;680,00
DAC-Q28DD-200G-0.5M;230,00
DAC-Q28DD-200G-1M;244,00
DAC-Q28DD-200G-2M;272,00
DAC-Q28DD-200G-3M;300,00
AOC-Q28DD-200G-5M;520,00
AOC-Q28DD-200G-10M;680,00
AOC-Q28DD-200G-20M;1000,00
AEC-O112-800G-2M;624,00
AEC-O112-800G-3M;696,00
AEC-O112-800G-4M;768,00
