Artikelnummer,Attributname,Attributwert
SFP-100M-FX-DELL,FAQ,"Welche Datenrate und Bauform hat das SFP-100M-FX-DELL?||Das SFP-100M-FX-DELL ist ein SFP-Modul mit 100 Mbit/s nach 100BASE-FX.##Welchen Stecker und welche Schnittstelle nutzt das SFP-100M-FX-DELL?||Das SFP-100M-FX-DELL hat den Formfaktor SFP mit LC-Schnittstelle.##Welche Reichweite erreicht das SFP-100M-FX-DELL?||Laut Spezifikation erreicht das SFP-100M-FX-DELL bis 2 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das SFP-100M-FX-DELL ist für Multimode ausgelegt.##Unterstützt das SFP-100M-FX-DELL DOM/DDM?||Ja, das SFP-100M-FX-DELL unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das SFP-100M-FX-DELL?||Das SFP-100M-FX-DELL ist für den Betrieb von 0 bis 85 °C spezifiziert.##Wofür wird das SFP-100M-FX-DELL typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das SFP-100M-FX-DELL mit Dell-Geräten kompatibel?||Das SFP-100M-FX-DELL ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
SFP-1G-SX-DELL,FAQ,"Welche Datenrate und Bauform hat das SFP-1G-SX-DELL?||Das SFP-1G-SX-DELL ist ein SFP-Modul mit 1 Gbit/s nach 1000BASE-SX.##Welchen Stecker und welche Schnittstelle nutzt das SFP-1G-SX-DELL?||Das SFP-1G-SX-DELL hat den Formfaktor SFP mit LC-Schnittstelle.##Welche Reichweite erreicht das SFP-1G-SX-DELL?||Laut Spezifikation erreicht das SFP-1G-SX-DELL bis 300 m (Wellenlänge 850 nm).##Welcher Fasertyp ist erforderlich?||Das SFP-1G-SX-DELL ist für Multimode ausgelegt.##Unterstützt das SFP-1G-SX-DELL DOM/DDM?||Ja, das SFP-1G-SX-DELL unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das SFP-1G-SX-DELL?||Das SFP-1G-SX-DELL ist für den Betrieb von 0 bis 85 °C spezifiziert.##Wofür wird das SFP-1G-SX-DELL typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das SFP-1G-SX-DELL mit Dell-Geräten kompatibel?||Das SFP-1G-SX-DELL ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
SFP-1G-LX-DELL,FAQ,"Welche Datenrate und Bauform hat das SFP-1G-LX-DELL?||Das SFP-1G-LX-DELL ist ein SFP-Modul mit 1 Gbit/s nach 1000BASE-LX.##Welchen Stecker und welche Schnittstelle nutzt das SFP-1G-LX-DELL?||Das SFP-1G-LX-DELL hat den Formfaktor SFP mit LC-Schnittstelle.##Welche Reichweite erreicht das SFP-1G-LX-DELL?||Laut Spezifikation erreicht das SFP-1G-LX-DELL bis 10 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das SFP-1G-LX-DELL ist für Singlemode ausgelegt.##Unterstützt das SFP-1G-LX-DELL DOM/DDM?||Ja, das SFP-1G-LX-DELL unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das SFP-1G-LX-DELL?||Das SFP-1G-LX-DELL ist für den Betrieb von 0 bis 85 °C spezifiziert.##Wofür wird das SFP-1G-LX-DELL typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das SFP-1G-LX-DELL mit Dell-Geräten kompatibel?||Das SFP-1G-LX-DELL ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
SFP-1G-T-DELL,FAQ,"Welche Datenrate und Bauform hat das SFP-1G-T-DELL?||Das SFP-1G-T-DELL ist ein SFP-Modul mit 1 Gbit/s nach 1000BASE-T.##Welchen Stecker und welche Schnittstelle nutzt das SFP-1G-T-DELL?||Das SFP-1G-T-DELL hat den Formfaktor SFP mit RJ45-Schnittstelle.##Welche Reichweite erreicht das SFP-1G-T-DELL?||Laut Spezifikation erreicht das SFP-1G-T-DELL bis 100 m.##Welcher Fasertyp ist erforderlich?||Das SFP-1G-T-DELL ist für Kupfer ausgelegt.##Unterstützt das SFP-1G-T-DELL DOM/DDM?||Nein, das SFP-1G-T-DELL unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das SFP-1G-T-DELL?||Das SFP-1G-T-DELL ist für den Betrieb von 0 bis 85 °C spezifiziert.##Wofür wird das SFP-1G-T-DELL typischerweise eingesetzt?||Typischer Einsatz: Zugriffs-/Verteilnetz (Kupfer).##Ist das SFP-1G-T-DELL mit Dell-Geräten kompatibel?||Das SFP-1G-T-DELL ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
SFP-10G-T-DELL,FAQ,"Welche Datenrate und Bauform hat das SFP-10G-T-DELL?||Das SFP-10G-T-DELL ist ein SFP+-Modul mit 10 Gbit/s nach 10GBASE-T.##Welchen Stecker und welche Schnittstelle nutzt das SFP-10G-T-DELL?||Das SFP-10G-T-DELL hat den Formfaktor SFP+ mit RJ45-Schnittstelle.##Welche Reichweite erreicht das SFP-10G-T-DELL?||Laut Spezifikation erreicht das SFP-10G-T-DELL bis 30 m.##Welcher Fasertyp ist erforderlich?||Das SFP-10G-T-DELL ist für Kupfer ausgelegt.##Unterstützt das SFP-10G-T-DELL DOM/DDM?||Nein, das SFP-10G-T-DELL unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das SFP-10G-T-DELL?||Das SFP-10G-T-DELL ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das SFP-10G-T-DELL typischerweise eingesetzt?||Typischer Einsatz: Zugriffs-/Verteilnetz (Kupfer).##Ist das SFP-10G-T-DELL mit Dell-Geräten kompatibel?||Das SFP-10G-T-DELL ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
SFP-10G-T-LP,FAQ,"Welche Datenrate und Bauform hat das SFP-10G-T-LP?||Das SFP-10G-T-LP ist ein SFP+-Modul mit 10 Gbit/s nach 10GBASE-T.##Welchen Stecker und welche Schnittstelle nutzt das SFP-10G-T-LP?||Das SFP-10G-T-LP hat den Formfaktor SFP+ mit RJ45-Schnittstelle.##Welche Reichweite erreicht das SFP-10G-T-LP?||Laut Spezifikation erreicht das SFP-10G-T-LP bis 30 m.##Welcher Fasertyp ist erforderlich?||Das SFP-10G-T-LP ist für Kupfer ausgelegt.##Unterstützt das SFP-10G-T-LP DOM/DDM?||Nein, das SFP-10G-T-LP unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das SFP-10G-T-LP?||Das SFP-10G-T-LP ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das SFP-10G-T-LP typischerweise eingesetzt?||Typischer Einsatz: Zugriffs-/Verteilnetz (Kupfer).##Ist das SFP-10G-T-LP mit Dell-Geräten kompatibel?||Das SFP-10G-T-LP ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
SFP-10G-T-RA,FAQ,"Welche Datenrate und Bauform hat das SFP-10G-T-RA?||Das SFP-10G-T-RA ist ein SFP+-Modul mit 10 Gbit/s nach 10GBASE-T.##Welchen Stecker und welche Schnittstelle nutzt das SFP-10G-T-RA?||Das SFP-10G-T-RA hat den Formfaktor SFP+ mit RJ45-Schnittstelle.##Welche Reichweite erreicht das SFP-10G-T-RA?||Laut Spezifikation erreicht das SFP-10G-T-RA bis 30 m.##Welcher Fasertyp ist erforderlich?||Das SFP-10G-T-RA ist für Kupfer ausgelegt.##Unterstützt das SFP-10G-T-RA DOM/DDM?||Nein, das SFP-10G-T-RA unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das SFP-10G-T-RA?||Das SFP-10G-T-RA ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das SFP-10G-T-RA typischerweise eingesetzt?||Typischer Einsatz: Zugriffs-/Verteilnetz (Kupfer).##Ist das SFP-10G-T-RA mit Dell-Geräten kompatibel?||Das SFP-10G-T-RA ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
SFP28-25G-SR,FAQ,"Welche Datenrate und Bauform hat das SFP28-25G-SR?||Das SFP28-25G-SR ist ein SFP28-Modul mit 25 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das SFP28-25G-SR?||Das SFP28-25G-SR hat den Formfaktor SFP28 mit LC-Schnittstelle.##Welche Reichweite erreicht das SFP28-25G-SR?||Laut Spezifikation erreicht das SFP28-25G-SR bis 70 m (Wellenlänge 850 nm).##Welcher Fasertyp ist erforderlich?||Das SFP28-25G-SR ist für Multimode ausgelegt.##Unterstützt das SFP28-25G-SR DOM/DDM?||Ja, das SFP28-25G-SR unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das SFP28-25G-SR?||Das SFP28-25G-SR ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das SFP28-25G-SR typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das SFP28-25G-SR mit Dell-Geräten kompatibel?||Das SFP28-25G-SR ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
SFP28-25G-ESR,FAQ,"Welche Datenrate und Bauform hat das SFP28-25G-ESR?||Das SFP28-25G-ESR ist ein SFP28-Modul mit 25 Gbit/s nach 25GBASE-ESR.##Welchen Stecker und welche Schnittstelle nutzt das SFP28-25G-ESR?||Das SFP28-25G-ESR hat den Formfaktor SFP28 mit LC-Schnittstelle.##Welche Reichweite erreicht das SFP28-25G-ESR?||Laut Spezifikation erreicht das SFP28-25G-ESR bis 200 m (Wellenlänge 850 nm).##Welcher Fasertyp ist erforderlich?||Das SFP28-25G-ESR ist für Multimode ausgelegt.##Unterstützt das SFP28-25G-ESR DOM/DDM?||Ja, das SFP28-25G-ESR unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das SFP28-25G-ESR?||Das SFP28-25G-ESR ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das SFP28-25G-ESR typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das SFP28-25G-ESR mit Dell-Geräten kompatibel?||Das SFP28-25G-ESR ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
SFP28-25G-LR,FAQ,"Welche Datenrate und Bauform hat das SFP28-25G-LR?||Das SFP28-25G-LR ist ein SFP28-Modul mit 25 Gbit/s nach 25GBASE-LR.##Welchen Stecker und welche Schnittstelle nutzt das SFP28-25G-LR?||Das SFP28-25G-LR hat den Formfaktor SFP28 mit LC-Schnittstelle.##Welche Reichweite erreicht das SFP28-25G-LR?||Laut Spezifikation erreicht das SFP28-25G-LR bis 10 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das SFP28-25G-LR ist für Singlemode ausgelegt.##Unterstützt das SFP28-25G-LR DOM/DDM?||Ja, das SFP28-25G-LR unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das SFP28-25G-LR?||Das SFP28-25G-LR ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das SFP28-25G-LR typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das SFP28-25G-LR mit Dell-Geräten kompatibel?||Das SFP28-25G-LR ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
QSFP-40G-SM4,FAQ,"Welche Datenrate und Bauform hat das QSFP-40G-SM4?||Das QSFP-40G-SM4 ist ein QSFP+-Modul mit 40 Gbit/s nach 40GBASE-SM4.##Welchen Stecker und welche Schnittstelle nutzt das QSFP-40G-SM4?||Das QSFP-40G-SM4 hat den Formfaktor QSFP+ mit LC-Schnittstelle.##Welche Reichweite erreicht das QSFP-40G-SM4?||Laut Spezifikation erreicht das QSFP-40G-SM4 bis 10 km (Wellenlänge 1271 / 1291 / 1311 / 1331 nm (CWDM4, 4 Lanes)).##Welcher Fasertyp ist erforderlich?||Das QSFP-40G-SM4 ist für Singlemode ausgelegt.##Unterstützt das QSFP-40G-SM4 DOM/DDM?||Ja, das QSFP-40G-SM4 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das QSFP-40G-SM4?||Das QSFP-40G-SM4 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das QSFP-40G-SM4 typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das QSFP-40G-SM4 mit Dell-Geräten kompatibel?||Das QSFP-40G-SM4 ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
QSFP-40G-BIDI,FAQ,"Welche Datenrate und Bauform hat das QSFP-40G-BIDI?||Das QSFP-40G-BIDI ist ein QSFP+-Modul mit 40 Gbit/s nach 40GBASE-BiDi.##Welchen Stecker und welche Schnittstelle nutzt das QSFP-40G-BIDI?||Das QSFP-40G-BIDI hat den Formfaktor QSFP+ mit LC-Schnittstelle.##Welche Reichweite erreicht das QSFP-40G-BIDI?||Laut Spezifikation erreicht das QSFP-40G-BIDI bis 100 m (Wellenlänge 850 / 900 nm (BiDi)).##Welcher Fasertyp ist erforderlich?||Das QSFP-40G-BIDI ist für Multimode ausgelegt.##Unterstützt das QSFP-40G-BIDI DOM/DDM?||Ja, das QSFP-40G-BIDI unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das QSFP-40G-BIDI?||Das QSFP-40G-BIDI ist für den Betrieb von 10 bis 70 °C spezifiziert.##Wofür wird das QSFP-40G-BIDI typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das QSFP-40G-BIDI mit Dell-Geräten kompatibel?||Das QSFP-40G-BIDI ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
Q28-100G-SR1.2,FAQ,"Welche Datenrate und Bauform hat das Q28-100G-SR1.2?||Das Q28-100G-SR1.2 ist ein QSFP28-Modul mit 100 Gbit/s nach 100GBASE-SR1.2.##Welchen Stecker und welche Schnittstelle nutzt das Q28-100G-SR1.2?||Das Q28-100G-SR1.2 hat den Formfaktor QSFP28 mit LC-Schnittstelle.##Welche Reichweite erreicht das Q28-100G-SR1.2?||Laut Spezifikation erreicht das Q28-100G-SR1.2 bis 70 m (Wellenlänge 850 / 908 nm (BiDi)).##Welcher Fasertyp ist erforderlich?||Das Q28-100G-SR1.2 ist für Multimode ausgelegt.##Unterstützt das Q28-100G-SR1.2 DOM/DDM?||Ja, das Q28-100G-SR1.2 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das Q28-100G-SR1.2?||Das Q28-100G-SR1.2 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das Q28-100G-SR1.2 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das Q28-100G-SR1.2 mit Dell-Geräten kompatibel?||Das Q28-100G-SR1.2 ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
Q28-100G-SR4,FAQ,"Welche Datenrate und Bauform hat das Q28-100G-SR4?||Das Q28-100G-SR4 ist ein QSFP28-Modul mit 100 Gbit/s nach 100GBASE-SR4.##Welchen Stecker und welche Schnittstelle nutzt das Q28-100G-SR4?||Das Q28-100G-SR4 hat den Formfaktor QSFP28 mit MPO-12-Schnittstelle.##Welche Reichweite erreicht das Q28-100G-SR4?||Laut Spezifikation erreicht das Q28-100G-SR4 bis 70 m (Wellenlänge 850 nm).##Welcher Fasertyp ist erforderlich?||Das Q28-100G-SR4 ist für Multimode ausgelegt.##Unterstützt das Q28-100G-SR4 DOM/DDM?||Ja, das Q28-100G-SR4 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das Q28-100G-SR4?||Das Q28-100G-SR4 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das Q28-100G-SR4 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das Q28-100G-SR4 mit Dell-Geräten kompatibel?||Das Q28-100G-SR4 ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
Q28-100G-ESR4,FAQ,"Welche Datenrate und Bauform hat das Q28-100G-ESR4?||Das Q28-100G-ESR4 ist ein QSFP28-Modul mit 100 Gbit/s nach 100GBASE-ESR4.##Welchen Stecker und welche Schnittstelle nutzt das Q28-100G-ESR4?||Das Q28-100G-ESR4 hat den Formfaktor QSFP28 mit MPO-12-Schnittstelle.##Welche Reichweite erreicht das Q28-100G-ESR4?||Laut Spezifikation erreicht das Q28-100G-ESR4 bis 170 m (Wellenlänge 850 nm).##Welcher Fasertyp ist erforderlich?||Das Q28-100G-ESR4 ist für Multimode ausgelegt.##Unterstützt das Q28-100G-ESR4 DOM/DDM?||Ja, das Q28-100G-ESR4 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das Q28-100G-ESR4?||Das Q28-100G-ESR4 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das Q28-100G-ESR4 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das Q28-100G-ESR4 mit Dell-Geräten kompatibel?||Das Q28-100G-ESR4 ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
Q28-100G-BIDI,FAQ,"Welche Datenrate und Bauform hat das Q28-100G-BIDI?||Das Q28-100G-BIDI ist ein QSFP28-Modul mit 100 Gbit/s nach 100GBASE-BiDi.##Welchen Stecker und welche Schnittstelle nutzt das Q28-100G-BIDI?||Das Q28-100G-BIDI hat den Formfaktor QSFP28 mit LC-Schnittstelle.##Welche Reichweite erreicht das Q28-100G-BIDI?||Laut Spezifikation erreicht das Q28-100G-BIDI bis 70 m (Wellenlänge 850 / 910 nm (BiDi)).##Welcher Fasertyp ist erforderlich?||Das Q28-100G-BIDI ist für Multimode ausgelegt.##Unterstützt das Q28-100G-BIDI DOM/DDM?||Ja, das Q28-100G-BIDI unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das Q28-100G-BIDI?||Das Q28-100G-BIDI ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das Q28-100G-BIDI typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das Q28-100G-BIDI mit Dell-Geräten kompatibel?||Das Q28-100G-BIDI ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
Q28-100G-SWDM4,FAQ,"Welche Datenrate und Bauform hat das Q28-100G-SWDM4?||Das Q28-100G-SWDM4 ist ein QSFP28-Modul mit 100 Gbit/s nach 100GBASE-SWDM4.##Welchen Stecker und welche Schnittstelle nutzt das Q28-100G-SWDM4?||Das Q28-100G-SWDM4 hat den Formfaktor QSFP28 mit LC-Schnittstelle.##Welche Reichweite erreicht das Q28-100G-SWDM4?||Laut Spezifikation erreicht das Q28-100G-SWDM4 bis 75 m (Wellenlänge 850 / 880 / 910 / 940 nm (WDM, 4 Lanes)).##Welcher Fasertyp ist erforderlich?||Das Q28-100G-SWDM4 ist für Multimode ausgelegt.##Unterstützt das Q28-100G-SWDM4 DOM/DDM?||Ja, das Q28-100G-SWDM4 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das Q28-100G-SWDM4?||Das Q28-100G-SWDM4 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das Q28-100G-SWDM4 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das Q28-100G-SWDM4 mit Dell-Geräten kompatibel?||Das Q28-100G-SWDM4 ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
Q28-100G-CWDM4,FAQ,"Welche Datenrate und Bauform hat das Q28-100G-CWDM4?||Das Q28-100G-CWDM4 ist ein QSFP28-Modul mit 100 Gbit/s nach 100GBASE-CWDM4.##Welchen Stecker und welche Schnittstelle nutzt das Q28-100G-CWDM4?||Das Q28-100G-CWDM4 hat den Formfaktor QSFP28 mit LC-Schnittstelle.##Welche Reichweite erreicht das Q28-100G-CWDM4?||Laut Spezifikation erreicht das Q28-100G-CWDM4 bis 2 km (Wellenlänge 1271 / 1291 / 1311 / 1331 nm (CWDM4, 4 Lanes)).##Welcher Fasertyp ist erforderlich?||Das Q28-100G-CWDM4 ist für Singlemode ausgelegt.##Unterstützt das Q28-100G-CWDM4 DOM/DDM?||Ja, das Q28-100G-CWDM4 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das Q28-100G-CWDM4?||Das Q28-100G-CWDM4 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das Q28-100G-CWDM4 typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das Q28-100G-CWDM4 mit Dell-Geräten kompatibel?||Das Q28-100G-CWDM4 ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
Q28-100G-LR1,FAQ,"Welche Datenrate und Bauform hat das Q28-100G-LR1?||Das Q28-100G-LR1 ist ein QSFP28-Modul mit 100 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das Q28-100G-LR1?||Das Q28-100G-LR1 hat den Formfaktor QSFP28 mit LC-Schnittstelle.##Welche Reichweite erreicht das Q28-100G-LR1?||Laut Spezifikation erreicht das Q28-100G-LR1 bis 10 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das Q28-100G-LR1 ist für Singlemode ausgelegt.##Unterstützt das Q28-100G-LR1 DOM/DDM?||Ja, das Q28-100G-LR1 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das Q28-100G-LR1?||Das Q28-100G-LR1 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das Q28-100G-LR1 typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das Q28-100G-LR1 mit Dell-Geräten kompatibel?||Das Q28-100G-LR1 ist eine Dell-Optik-Komponente und für den Betrieb in Dell-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
