Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
J9772A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9772A,,Switch,Layer,L2,2,Wertliste,Attribut
J9772A,,Switch,Portanzahl,52,3,Wertliste,Attribut
J9772A,,Switch,Port-Konfiguration,"48× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 4× SFP (1G) (Uplink)",4,Wertliste,Attribut
J9772A,,Switch,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),5,Wertliste,Attribut
J9772A,,Switch,Uplink-Ports,4× SFP (1G),6,Wertliste,Attribut
J9772A,,Switch,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 382 W)",7,Wertliste,Attribut
J9772A,,Switch,Switching-Kapazität,104 Gbit/s,8,Wertliste,Attribut
J9772A,,Switch,Durchsatz,"77,3 Mpps",9,Wertliste,Attribut
J9772A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
J9772A,,Switch,Stromversorgung,Internes Festnetzteil (nicht hot-swap),11,Wertliste,Attribut
J9772A,,Switch,Kühlung,Lüftergekühlt,12,Wertliste,Attribut
J9772A,,Switch,Stacking,Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management),13,Wertliste,Attribut
J9772A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
J9772A,,Switch,Anwendung,"Fully-managed Layer-2-Campus-Access (ArubaOS-Switch) für Edge, Filialen und kleine Standorte",15,Wertliste,Attribut
J9773A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9773A,,Switch,Layer,L2,2,Wertliste,Attribut
J9773A,,Switch,Portanzahl,28,3,Wertliste,Attribut
J9773A,,Switch,Port-Konfiguration,"24× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 4× SFP (1G) (Uplink)",4,Wertliste,Attribut
J9773A,,Switch,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),5,Wertliste,Attribut
J9773A,,Switch,Uplink-Ports,4× SFP (1G),6,Wertliste,Attribut
J9773A,,Switch,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 195 W)",7,Wertliste,Attribut
J9773A,,Switch,Switching-Kapazität,56 Gbit/s,8,Wertliste,Attribut
J9773A,,Switch,Durchsatz,"41,6 Mpps",9,Wertliste,Attribut
J9773A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
J9773A,,Switch,Stromversorgung,Internes Festnetzteil (nicht hot-swap),11,Wertliste,Attribut
J9773A,,Switch,Kühlung,Lüftergekühlt,12,Wertliste,Attribut
J9773A,,Switch,Stacking,Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management),13,Wertliste,Attribut
J9773A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
J9773A,,Switch,Anwendung,"Fully-managed Layer-2-Campus-Access (ArubaOS-Switch) für Edge, Filialen und kleine Standorte",15,Wertliste,Attribut
J9774A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9774A,,Switch,Layer,L2,2,Wertliste,Attribut
J9774A,,Switch,Portanzahl,10,3,Wertliste,Attribut
J9774A,,Switch,Port-Konfiguration,"8× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G) (Uplink)",4,Wertliste,Attribut
J9774A,,Switch,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),5,Wertliste,Attribut
J9774A,,Switch,Uplink-Ports,2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G),6,Wertliste,Attribut
J9774A,,Switch,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 67 W)",7,Wertliste,Attribut
J9774A,,Switch,Switching-Kapazität,20 Gbit/s,8,Wertliste,Attribut
J9774A,,Switch,Durchsatz,"14,8 Mpps",9,Wertliste,Attribut
J9774A,,Switch,Bauform,"Kompakt (1 HE, halbe Breite, lüfterlos)",10,Wertliste,Attribut
J9774A,,Switch,Stromversorgung,"Externes Netzteil (Steckernetzteil / EPS-Shelf, separat)",11,Wertliste,Attribut
J9774A,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
J9774A,,Switch,Stacking,Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management),13,Wertliste,Attribut
J9774A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
J9774A,,Switch,Anwendung,"Fully-managed Layer-2-Campus-Access (ArubaOS-Switch) für Edge, Filialen und kleine Standorte",15,Wertliste,Attribut
J9775A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9775A,,Switch,Layer,L2,2,Wertliste,Attribut
J9775A,,Switch,Portanzahl,52,3,Wertliste,Attribut
J9775A,,Switch,Port-Konfiguration,48× 10/100/1000BASE-T (ohne PoE) + 4× SFP (1G) (Uplink),4,Wertliste,Attribut
J9775A,,Switch,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),5,Wertliste,Attribut
J9775A,,Switch,Uplink-Ports,4× SFP (1G),6,Wertliste,Attribut
J9775A,,Switch,PoE,Nein,7,Wertliste,Attribut
J9775A,,Switch,Switching-Kapazität,104 Gbit/s,8,Wertliste,Attribut
J9775A,,Switch,Durchsatz,"77,3 Mpps",9,Wertliste,Attribut
J9775A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
J9775A,,Switch,Stromversorgung,Internes Festnetzteil (nicht hot-swap),11,Wertliste,Attribut
J9775A,,Switch,Kühlung,Lüftergekühlt,12,Wertliste,Attribut
J9775A,,Switch,Stacking,Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management),13,Wertliste,Attribut
J9775A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
J9775A,,Switch,Anwendung,"Fully-managed Layer-2-Campus-Access (ArubaOS-Switch) für Edge, Filialen und kleine Standorte",15,Wertliste,Attribut
J9776A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9776A,,Switch,Layer,L2,2,Wertliste,Attribut
J9776A,,Switch,Portanzahl,28,3,Wertliste,Attribut
J9776A,,Switch,Port-Konfiguration,24× 10/100/1000BASE-T (ohne PoE) + 4× SFP (1G) (Uplink),4,Wertliste,Attribut
J9776A,,Switch,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),5,Wertliste,Attribut
J9776A,,Switch,Uplink-Ports,4× SFP (1G),6,Wertliste,Attribut
J9776A,,Switch,PoE,Nein,7,Wertliste,Attribut
J9776A,,Switch,Switching-Kapazität,56 Gbit/s,8,Wertliste,Attribut
J9776A,,Switch,Durchsatz,"41,6 Mpps",9,Wertliste,Attribut
J9776A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
J9776A,,Switch,Stromversorgung,Internes Festnetzteil (nicht hot-swap),11,Wertliste,Attribut
J9776A,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
J9776A,,Switch,Stacking,Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management),13,Wertliste,Attribut
J9776A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
J9776A,,Switch,Anwendung,"Fully-managed Layer-2-Campus-Access (ArubaOS-Switch) für Edge, Filialen und kleine Standorte",15,Wertliste,Attribut
J9777A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9777A,,Switch,Layer,L2,2,Wertliste,Attribut
J9777A,,Switch,Portanzahl,10,3,Wertliste,Attribut
J9777A,,Switch,Port-Konfiguration,8× 10/100/1000BASE-T (ohne PoE) + 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G) (Uplink),4,Wertliste,Attribut
J9777A,,Switch,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),5,Wertliste,Attribut
J9777A,,Switch,Uplink-Ports,2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G),6,Wertliste,Attribut
J9777A,,Switch,PoE,Nein,7,Wertliste,Attribut
J9777A,,Switch,Switching-Kapazität,20 Gbit/s,8,Wertliste,Attribut
J9777A,,Switch,Durchsatz,"14,8 Mpps",9,Wertliste,Attribut
J9777A,,Switch,Bauform,"Kompakt (1 HE, halbe Breite, lüfterlos)",10,Wertliste,Attribut
J9777A,,Switch,Stromversorgung,"Externes Netzteil (Steckernetzteil / EPS-Shelf, separat)",11,Wertliste,Attribut
J9777A,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
J9777A,,Switch,Stacking,Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management),13,Wertliste,Attribut
J9777A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
J9777A,,Switch,Anwendung,"Fully-managed Layer-2-Campus-Access (ArubaOS-Switch) für Edge, Filialen und kleine Standorte",15,Wertliste,Attribut
J9778A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9778A,,Switch,Layer,L2,2,Wertliste,Attribut
J9778A,,Switch,Portanzahl,52,3,Wertliste,Attribut
J9778A,,Switch,Port-Konfiguration,"48× 10/100BASE-T (Class 4 PoE+, 30 W) + 2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G) (Uplink)",4,Wertliste,Attribut
J9778A,,Switch,Port-Geschwindigkeit,"10/100 Mbit/s (RJ45, Access), 10/100/1000 Mbit/s (Uplink)",5,Wertliste,Attribut
J9778A,,Switch,Uplink-Ports,2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G),6,Wertliste,Attribut
J9778A,,Switch,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 382 W)",7,Wertliste,Attribut
J9778A,,Switch,Switching-Kapazität,"17,6 Gbit/s",8,Wertliste,Attribut
J9778A,,Switch,Durchsatz,13 Mpps,9,Wertliste,Attribut
J9778A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
J9778A,,Switch,Stromversorgung,Internes Festnetzteil (nicht hot-swap),11,Wertliste,Attribut
J9778A,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
J9778A,,Switch,Stacking,Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management),13,Wertliste,Attribut
J9778A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
J9778A,,Switch,Anwendung,"Fully-managed Layer-2-Campus-Access (ArubaOS-Switch) für Edge, Filialen und kleine Standorte",15,Wertliste,Attribut
J9779A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9779A,,Switch,Layer,L2,2,Wertliste,Attribut
J9779A,,Switch,Portanzahl,28,3,Wertliste,Attribut
J9779A,,Switch,Port-Konfiguration,"24× 10/100BASE-T (Class 4 PoE+, 30 W) + 2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G) (Uplink)",4,Wertliste,Attribut
J9779A,,Switch,Port-Geschwindigkeit,"10/100 Mbit/s (RJ45, Access), 10/100/1000 Mbit/s (Uplink)",5,Wertliste,Attribut
J9779A,,Switch,Uplink-Ports,2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G),6,Wertliste,Attribut
J9779A,,Switch,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 195 W)",7,Wertliste,Attribut
J9779A,,Switch,Switching-Kapazität,"12,8 Gbit/s",8,Wertliste,Attribut
J9779A,,Switch,Durchsatz,"9,5 Mpps",9,Wertliste,Attribut
J9779A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
J9779A,,Switch,Stromversorgung,Internes Festnetzteil (nicht hot-swap),11,Wertliste,Attribut
J9779A,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
J9779A,,Switch,Stacking,Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management),13,Wertliste,Attribut
J9779A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
J9779A,,Switch,Anwendung,"Fully-managed Layer-2-Campus-Access (ArubaOS-Switch) für Edge, Filialen und kleine Standorte",15,Wertliste,Attribut
J9780A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9780A,,Switch,Layer,L2,2,Wertliste,Attribut
J9780A,,Switch,Portanzahl,10,3,Wertliste,Attribut
J9780A,,Switch,Port-Konfiguration,"8× 10/100BASE-T (Class 4 PoE+, 30 W) + 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G) (Uplink)",4,Wertliste,Attribut
J9780A,,Switch,Port-Geschwindigkeit,"10/100 Mbit/s (RJ45, Access), 10/100/1000 Mbit/s (Uplink)",5,Wertliste,Attribut
J9780A,,Switch,Uplink-Ports,2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G),6,Wertliste,Attribut
