Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
J9772A;HPE Aruba Networking 2530 J9772A Managed Switch (L2) – 48× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 4× SFP (1G), 19-Zoll-Rackmontage;<p>Der HPE Aruba Networking 2530 J9772A ist ein gemanagter Layer-2-Switch der Aruba-2530-Serie mit 52 Ports mit PoE+, betrieben unter ArubaOS-Switch. Der J9772A bedient als kompakter Layer-2-Edge-Switch Anschlussräume, Filialen und kleinere Standorte.</p><p>Der J9772A liefert eine Switching-Kapazität von 104 Gbit/s und bindet per 4× SFP (1G) an das Netz an. Über Power over Ethernet versorgt der J9772A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der HPE Aruba Networking 2530 J9772A ist ein gemanagter Layer-2-Switch aus der Aruba-2530-Familie mit 48× 10/100/1000BASE-T (Class 4 PoE+, 30 W), ausgelegt für den Layer-2-Campus-Access und betrieben unter ArubaOS-Switch (ProVision).</p><p>Mit 52 Ports erreicht der J9772A eine Switching-Kapazität von 104 Gbit/s bei einer Weiterleitungsrate von 77,3 Mpps. Der J9772A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Der J9772A wird als eigenständiger Switch betrieben; über Single-IP-Virtual-Stacking lassen sich bis zu 16 Einheiten zentral verwalten.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) arbeitet der J9772A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des J9772A übernehmen Lüftergekühlt sowie Internes Festnetzteil (nicht hot-swap). Unter ArubaOS-Switch bietet der J9772A Layer-2-Funktionen unter ArubaOS-Switch (ProVision-ASIC): VLANs, ACLs, QoS, LACP, Spanning Tree, IGMP-Snooping und statisches IPv4-Routing. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/j9772a;4,72;6,72;J9772A;HP;standard;Stk;HPE Aruba 2530 J9772A Switch | Hexwaren;Original HPE Aruba Networking 2530 J9772A: gemanagter Layer-2-Switch mit 48× 10/100/1000BASE-T (Class 4 PoE+, 30 W), Switching-Kapazität 104 Gbit/s, PoE-Budget 382 W, ArubaOS-Switch.;Netzwerk & Infrastruktur;Switches;Aruba 2530 Switches;TRUE;Y;Y
J9773A;HPE Aruba Networking 2530 J9773A Managed Switch (L2) – 24× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 4× SFP (1G), 19-Zoll-Rackmontage;<p>Der HPE Aruba Networking 2530 J9773A ist ein gemanagter Layer-2-Switch der Aruba-2530-Serie mit 28 Ports mit PoE+, betrieben unter ArubaOS-Switch. Der J9773A bedient als kompakter Layer-2-Edge-Switch Anschlussräume, Filialen und kleinere Standorte.</p><p>Der J9773A liefert eine Switching-Kapazität von 56 Gbit/s und bindet per 4× SFP (1G) an das Netz an. Über Power over Ethernet versorgt der J9773A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der HPE Aruba Networking 2530 J9773A ist ein gemanagter Layer-2-Switch aus der Aruba-2530-Familie mit 24× 10/100/1000BASE-T (Class 4 PoE+, 30 W), ausgelegt für den Layer-2-Campus-Access und betrieben unter ArubaOS-Switch (ProVision).</p><p>Mit 28 Ports erreicht der J9773A eine Switching-Kapazität von 56 Gbit/s bei einer Weiterleitungsrate von 41,6 Mpps. Der J9773A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Der J9773A wird als eigenständiger Switch betrieben; über Single-IP-Virtual-Stacking lassen sich bis zu 16 Einheiten zentral verwalten.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) arbeitet der J9773A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des J9773A übernehmen Lüftergekühlt sowie Internes Festnetzteil (nicht hot-swap). Unter ArubaOS-Switch bietet der J9773A Layer-2-Funktionen unter ArubaOS-Switch (ProVision-ASIC): VLANs, ACLs, QoS, LACP, Spanning Tree, IGMP-Snooping und statisches IPv4-Routing. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/j9773a;3,95;5,95;J9773A;HP;standard;Stk;HPE Aruba 2530 J9773A Switch | Hexwaren;Original HPE Aruba Networking 2530 J9773A: gemanagter Layer-2-Switch mit 24× 10/100/1000BASE-T (Class 4 PoE+, 30 W), Switching-Kapazität 56 Gbit/s, PoE-Budget 195 W, ArubaOS-Switch.;Netzwerk & Infrastruktur;Switches;Aruba 2530 Switches;TRUE;Y;Y
J9774A;HPE Aruba Networking 2530 J9774A Managed Switch (L2) – 8× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G), Kompakt;<p>Der HPE Aruba Networking 2530 J9774A ist ein gemanagter Layer-2-Switch der Aruba-2530-Serie mit 10 Ports mit PoE+, betrieben unter ArubaOS-Switch. Der J9774A bedient als kompakter Layer-2-Edge-Switch Anschlussräume, Filialen und kleinere Standorte.</p><p>Der J9774A liefert eine Switching-Kapazität von 20 Gbit/s und bindet per 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G) an das Netz an. Über Power over Ethernet versorgt der J9774A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der HPE Aruba Networking 2530 J9774A ist ein gemanagter Layer-2-Switch aus der Aruba-2530-Familie mit 8× 10/100/1000BASE-T (Class 4 PoE+, 30 W), ausgelegt für den Layer-2-Campus-Access und betrieben unter ArubaOS-Switch (ProVision).</p><p>Mit 10 Ports erreicht der J9774A eine Switching-Kapazität von 20 Gbit/s bei einer Weiterleitungsrate von 14,8 Mpps. Der J9774A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Der J9774A wird als eigenständiger Switch betrieben; über Single-IP-Virtual-Stacking lassen sich bis zu 16 Einheiten zentral verwalten.</p><p>Im Formfaktor Kompakt (1 HE, halbe Breite, lüfterlos) arbeitet der J9774A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des J9774A übernehmen Lüfterlos (passiv gekühlt) sowie Externes Netzteil (Steckernetzteil / EPS-Shelf, separat). Unter ArubaOS-Switch bietet der J9774A Layer-2-Funktionen unter ArubaOS-Switch (ProVision-ASIC): VLANs, ACLs, QoS, LACP, Spanning Tree, IGMP-Snooping und statisches IPv4-Routing. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/j9774a;1,00;3,00;J9774A;HP;standard;Stk;HPE Aruba 2530 J9774A Switch | Hexwaren;Original HPE Aruba Networking 2530 J9774A: gemanagter Layer-2-Switch mit 8× 10/100/1000BASE-T (Class 4 PoE+, 30 W), Switching-Kapazität 20 Gbit/s, PoE-Budget 67 W, ArubaOS-Switch.;Netzwerk & Infrastruktur;Switches;Aruba 2530 Switches;TRUE;Y;Y
J9775A;HPE Aruba Networking 2530 J9775A Managed Switch (L2) – 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP (1G), 19-Zoll-Rackmontage;<p>Der HPE Aruba Networking 2530 J9775A ist ein gemanagter Layer-2-Switch der Aruba-2530-Serie mit 52 Ports, betrieben unter ArubaOS-Switch. Der J9775A bedient als kompakter Layer-2-Edge-Switch Anschlussräume, Filialen und kleinere Standorte.</p><p>Der J9775A liefert eine Switching-Kapazität von 104 Gbit/s und bindet per 4× SFP (1G) an das Netz an.</p>;"<p>Der HPE Aruba Networking 2530 J9775A ist ein gemanagter Layer-2-Switch aus der Aruba-2530-Familie mit 48× 10/100/1000BASE-T (ohne PoE), ausgelegt für den Layer-2-Campus-Access und betrieben unter ArubaOS-Switch (ProVision).</p><p>Mit 52 Ports erreicht der J9775A eine Switching-Kapazität von 104 Gbit/s bei einer Weiterleitungsrate von 77,3 Mpps. Der J9775A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Der J9775A wird als eigenständiger Switch betrieben; über Single-IP-Virtual-Stacking lassen sich bis zu 16 Einheiten zentral verwalten.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) arbeitet der J9775A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des J9775A übernehmen Lüftergekühlt sowie Internes Festnetzteil (nicht hot-swap). Unter ArubaOS-Switch bietet der J9775A Layer-2-Funktionen unter ArubaOS-Switch (ProVision-ASIC): VLANs, ACLs, QoS, LACP, Spanning Tree, IGMP-Snooping und statisches IPv4-Routing. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/j9775a;3,08;5,08;J9775A;HP;standard;Stk;HPE Aruba 2530 J9775A Switch | Hexwaren;Original HPE Aruba Networking 2530 J9775A: gemanagter Layer-2-Switch mit 48× 10/100/1000BASE-T (ohne PoE), Switching-Kapazität 104 Gbit/s, ohne PoE, ArubaOS-Switch.;Netzwerk & Infrastruktur;Switches;Aruba 2530 Switches;TRUE;Y;Y
J9776A;HPE Aruba Networking 2530 J9776A Managed Switch (L2) – 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP (1G), 19-Zoll-Rackmontage;<p>Der HPE Aruba Networking 2530 J9776A ist ein gemanagter Layer-2-Switch der Aruba-2530-Serie mit 28 Ports, betrieben unter ArubaOS-Switch. Der J9776A bedient als kompakter Layer-2-Edge-Switch Anschlussräume, Filialen und kleinere Standorte.</p><p>Der J9776A liefert eine Switching-Kapazität von 56 Gbit/s und bindet per 4× SFP (1G) an das Netz an.</p>;"<p>Der HPE Aruba Networking 2530 J9776A ist ein gemanagter Layer-2-Switch aus der Aruba-2530-Familie mit 24× 10/100/1000BASE-T (ohne PoE), ausgelegt für den Layer-2-Campus-Access und betrieben unter ArubaOS-Switch (ProVision).</p><p>Mit 28 Ports erreicht der J9776A eine Switching-Kapazität von 56 Gbit/s bei einer Weiterleitungsrate von 41,6 Mpps. Der J9776A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Der J9776A wird als eigenständiger Switch betrieben; über Single-IP-Virtual-Stacking lassen sich bis zu 16 Einheiten zentral verwalten.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) arbeitet der J9776A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des J9776A übernehmen Lüfterlos (passiv gekühlt) sowie Internes Festnetzteil (nicht hot-swap). Unter ArubaOS-Switch bietet der J9776A Layer-2-Funktionen unter ArubaOS-Switch (ProVision-ASIC): VLANs, ACLs, QoS, LACP, Spanning Tree, IGMP-Snooping und statisches IPv4-Routing. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/j9776a;2,77;4,77;J9776A;HP;standard;Stk;HPE Aruba 2530 J9776A Switch | Hexwaren;Original HPE Aruba Networking 2530 J9776A: gemanagter Layer-2-Switch mit 24× 10/100/1000BASE-T (ohne PoE), Switching-Kapazität 56 Gbit/s, ohne PoE, ArubaOS-Switch.;Netzwerk & Infrastruktur;Switches;Aruba 2530 Switches;TRUE;Y;Y
J9777A;HPE Aruba Networking 2530 J9777A Managed Switch (L2) – 8× 10/100/1000BASE-T (ohne PoE) + 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G), Kompakt;<p>Der HPE Aruba Networking 2530 J9777A ist ein gemanagter Layer-2-Switch der Aruba-2530-Serie mit 10 Ports, betrieben unter ArubaOS-Switch. Der J9777A bedient als kompakter Layer-2-Edge-Switch Anschlussräume, Filialen und kleinere Standorte.</p><p>Der J9777A liefert eine Switching-Kapazität von 20 Gbit/s und bindet per 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G) an das Netz an.</p>;"<p>Der HPE Aruba Networking 2530 J9777A ist ein gemanagter Layer-2-Switch aus der Aruba-2530-Familie mit 8× 10/100/1000BASE-T (ohne PoE), ausgelegt für den Layer-2-Campus-Access und betrieben unter ArubaOS-Switch (ProVision).</p><p>Mit 10 Ports erreicht der J9777A eine Switching-Kapazität von 20 Gbit/s bei einer Weiterleitungsrate von 14,8 Mpps. Der J9777A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Der J9777A wird als eigenständiger Switch betrieben; über Single-IP-Virtual-Stacking lassen sich bis zu 16 Einheiten zentral verwalten.</p><p>Im Formfaktor Kompakt (1 HE, halbe Breite, lüfterlos) arbeitet der J9777A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des J9777A übernehmen Lüfterlos (passiv gekühlt) sowie Externes Netzteil (Steckernetzteil / EPS-Shelf, separat). Unter ArubaOS-Switch bietet der J9777A Layer-2-Funktionen unter ArubaOS-Switch (ProVision-ASIC): VLANs, ACLs, QoS, LACP, Spanning Tree, IGMP-Snooping und statisches IPv4-Routing. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/j9777a;0,91;2,91;J9777A;HP;standard;Stk;HPE Aruba 2530 J9777A Switch | Hexwaren;Original HPE Aruba Networking 2530 J9777A: gemanagter Layer-2-Switch mit 8× 10/100/1000BASE-T (ohne PoE), Switching-Kapazität 20 Gbit/s, ohne PoE, ArubaOS-Switch.;Netzwerk & Infrastruktur;Switches;Aruba 2530 Switches;TRUE;Y;Y
J9778A;HPE Aruba Networking 2530 J9778A Managed Switch (L2) – 48× 10/100BASE-T (Class 4 PoE+, 30 W) + 2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G), 19-Zoll-Rackmontage;<p>Der HPE Aruba Networking 2530 J9778A ist ein gemanagter Layer-2-Switch der Aruba-2530-Serie mit 52 Ports mit PoE+, betrieben unter ArubaOS-Switch. Der J9778A bedient als kompakter Layer-2-Edge-Switch Anschlussräume, Filialen und kleinere Standorte.</p><p>Der J9778A liefert eine Switching-Kapazität von 17,6 Gbit/s und bindet per 2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G) an das Netz an. Über Power over Ethernet versorgt der J9778A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der HPE Aruba Networking 2530 J9778A ist ein gemanagter Layer-2-Switch aus der Aruba-2530-Familie mit 48× 10/100BASE-T (Class 4 PoE+, 30 W), ausgelegt für den Layer-2-Campus-Access und betrieben unter ArubaOS-Switch (ProVision).</p><p>Mit 52 Ports erreicht der J9778A eine Switching-Kapazität von 17,6 Gbit/s bei einer Weiterleitungsrate von 13 Mpps. Der J9778A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Der J9778A wird als eigenständiger Switch betrieben; über Single-IP-Virtual-Stacking lassen sich bis zu 16 Einheiten zentral verwalten.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) arbeitet der J9778A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des J9778A übernehmen Lüfterlos (passiv gekühlt) sowie Internes Festnetzteil (nicht hot-swap). Unter ArubaOS-Switch bietet der J9778A Layer-2-Funktionen unter ArubaOS-Switch (ProVision-ASIC): VLANs, ACLs, QoS, LACP, Spanning Tree, IGMP-Snooping und statisches IPv4-Routing. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/j9778a;4,58;6,58;J9778A;HP;standard;Stk;HPE Aruba 2530 J9778A Switch | Hexwaren;Original HPE Aruba Networking 2530 J9778A: gemanagter Layer-2-Switch mit 48× 10/100BASE-T (Class 4 PoE+, 30 W), Switching-Kapazität 17,6 Gbit/s, PoE-Budget 382 W, ArubaOS-Switch.;Netzwerk & Infrastruktur;Switches;Aruba 2530 Switches;TRUE;Y;Y
J9779A;HPE Aruba Networking 2530 J9779A Managed Switch (L2) – 24× 10/100BASE-T (Class 4 PoE+, 30 W) + 2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G), 19-Zoll-Rackmontage;<p>Der HPE Aruba Networking 2530 J9779A ist ein gemanagter Layer-2-Switch der Aruba-2530-Serie mit 28 Ports mit PoE+, betrieben unter ArubaOS-Switch. Der J9779A bedient als kompakter Layer-2-Edge-Switch Anschlussräume, Filialen und kleinere Standorte.</p><p>Der J9779A liefert eine Switching-Kapazität von 12,8 Gbit/s und bindet per 2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G) an das Netz an. Über Power over Ethernet versorgt der J9779A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der HPE Aruba Networking 2530 J9779A ist ein gemanagter Layer-2-Switch aus der Aruba-2530-Familie mit 24× 10/100BASE-T (Class 4 PoE+, 30 W), ausgelegt für den Layer-2-Campus-Access und betrieben unter ArubaOS-Switch (ProVision).</p><p>Mit 28 Ports erreicht der J9779A eine Switching-Kapazität von 12,8 Gbit/s bei einer Weiterleitungsrate von 9,5 Mpps. Der J9779A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Der J9779A wird als eigenständiger Switch betrieben; über Single-IP-Virtual-Stacking lassen sich bis zu 16 Einheiten zentral verwalten.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) arbeitet der J9779A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des J9779A übernehmen Lüfterlos (passiv gekühlt) sowie Internes Festnetzteil (nicht hot-swap). Unter ArubaOS-Switch bietet der J9779A Layer-2-Funktionen unter ArubaOS-Switch (ProVision-ASIC): VLANs, ACLs, QoS, LACP, Spanning Tree, IGMP-Snooping und statisches IPv4-Routing. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/j9779a;3,81;5,81;J9779A;HP;standard;Stk;HPE Aruba 2530 J9779A Switch | Hexwaren;Original HPE Aruba Networking 2530 J9779A: gemanagter Layer-2-Switch mit 24× 10/100BASE-T (Class 4 PoE+, 30 W), Switching-Kapazität 12,8 Gbit/s, PoE-Budget 195 W, ArubaOS-Switch.;Netzwerk & Infrastruktur;Switches;Aruba 2530 Switches;TRUE;Y;Y
J9780A;HPE Aruba Networking 2530 J9780A Managed Switch (L2) – 8× 10/100BASE-T (Class 4 PoE+, 30 W) + 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G), Kompakt;<p>Der HPE Aruba Networking 2530 J9780A ist ein gemanagter Layer-2-Switch der Aruba-2530-Serie mit 10 Ports mit PoE+, betrieben unter ArubaOS-Switch. Der J9780A bedient als kompakter Layer-2-Edge-Switch Anschlussräume, Filialen und kleinere Standorte.</p><p>Der J9780A liefert eine Switching-Kapazität von 5,6 Gbit/s und bindet per 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G) an das Netz an. Über Power over Ethernet versorgt der J9780A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der HPE Aruba Networking 2530 J9780A ist ein gemanagter Layer-2-Switch aus der Aruba-2530-Familie mit 8× 10/100BASE-T (Class 4 PoE+, 30 W), ausgelegt für den Layer-2-Campus-Access und betrieben unter ArubaOS-Switch (ProVision).</p><p>Mit 10 Ports erreicht der J9780A eine Switching-Kapazität von 5,6 Gbit/s bei einer Weiterleitungsrate von 4,1 Mpps. Der J9780A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Der J9780A wird als eigenständiger Switch betrieben; über Single-IP-Virtual-Stacking lassen sich bis zu 16 Einheiten zentral verwalten.</p><p>Im Formfaktor Kompakt (1 HE, halbe Breite, lüfterlos) arbeitet der J9780A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des J9780A übernehmen Lüfterlos (passiv gekühlt) sowie Externes Netzteil (Steckernetzteil / EPS-Shelf, separat). Unter ArubaOS-Switch bietet der J9780A Layer-2-Funktionen unter ArubaOS-Switch (ProVision-ASIC): VLANs, ACLs, QoS, LACP, Spanning Tree, IGMP-Snooping und statisches IPv4-Routing. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/j9780a;0,91;2,91;J9780A;HP;standard;Stk;HPE Aruba 2530 J9780A Switch | Hexwaren;Original HPE Aruba Networking 2530 J9780A: gemanagter Layer-2-Switch mit 8× 10/100BASE-T (Class 4 PoE+, 30 W), Switching-Kapazität 5,6 Gbit/s, PoE-Budget 67 W, ArubaOS-Switch.;Netzwerk & Infrastruktur;Switches;Aruba 2530 Switches;TRUE;Y;Y
J9781A;HPE Aruba Networking 2530 J9781A Managed Switch (L2) – 48× 10/100BASE-T (ohne PoE) + 2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G), 19-Zoll-Rackmontage;<p>Der HPE Aruba Networking 2530 J9781A ist ein gemanagter Layer-2-Switch der Aruba-2530-Serie mit 52 Ports, betrieben unter ArubaOS-Switch. Der J9781A bedient als kompakter Layer-2-Edge-Switch Anschlussräume, Filialen und kleinere Standorte.</p><p>Der J9781A liefert eine Switching-Kapazität von 17,6 Gbit/s und bindet per 2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G) an das Netz an.</p>;"<p>Der HPE Aruba Networking 2530 J9781A ist ein gemanagter Layer-2-Switch aus der Aruba-2530-Familie mit 48× 10/100BASE-T (ohne PoE), ausgelegt für den Layer-2-Campus-Access und betrieben unter ArubaOS-Switch (ProVision).</p><p>Mit 52 Ports erreicht der J9781A eine Switching-Kapazität von 17,6 Gbit/s bei einer Weiterleitungsrate von 13 Mpps. Der J9781A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Der J9781A wird als eigenständiger Switch betrieben; über Single-IP-Virtual-Stacking lassen sich bis zu 16 Einheiten zentral verwalten.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) arbeitet der J9781A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des J9781A übernehmen Lüfterlos (passiv gekühlt) sowie Internes Festnetzteil (nicht hot-swap). Unter ArubaOS-Switch bietet der J9781A Layer-2-Funktionen unter ArubaOS-Switch (ProVision-ASIC): VLANs, ACLs, QoS, LACP, Spanning Tree, IGMP-Snooping und statisches IPv4-Routing. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/j9781a;2,86;4,86;J9781A;HP;standard;Stk;HPE Aruba 2530 J9781A Switch | Hexwaren;Original HPE Aruba Networking 2530 J9781A: gemanagter Layer-2-Switch mit 48× 10/100BASE-T (ohne PoE), Switching-Kapazität 17,6 Gbit/s, ohne PoE, ArubaOS-Switch.;Netzwerk & Infrastruktur;Switches;Aruba 2530 Switches;TRUE;Y;Y
