Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
J9772A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9773A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9774A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9775A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9776A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9777A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9778A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9779A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9780A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9781A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9782A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9783A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL070A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9853A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9854A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9855A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9856A,,condition,Funktionsattribut,Wertliste,Deutsch,new
