Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
JL354A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,Layer,L2,https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,Portanzahl,28,https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,Port-Konfiguration,24× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink),https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,Uplink-Ports,4× SFP+ (1/10G),https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,PoE,Nein,https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,Switching-Kapazität,128 Gbit/s,https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,Durchsatz,"95,2 Mpps",https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,Stromversorgung,Internes Festnetzteil (nicht hot-swap),https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,Kühlung,Lüftergekühlt,https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,Stacking,Kein (eigenständiger Access-Switch),https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,Betriebstemperatur,0 bis 45 °C,https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL354A,Anwendung,Layer-2-/Basis-Layer-3-Campus-Access (ArubaOS-Switch) mit festen 10G-SFP+-Uplinks,https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL355A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL355A,Layer,L2,https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL355A,Portanzahl,52,https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL355A,Port-Konfiguration,48× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink),https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL355A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL355A,Uplink-Ports,4× SFP+ (1/10G),https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL355A,PoE,Nein,https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
JL355A,Switching-Kapazität,176 Gbit/s,https://www.hpe.com/psnow/doc/4aa6-7884enw,datasheet,2026-07-01T01:10:15Z
