Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
JL253A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL254A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL255A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL256A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL258A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL259A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL260A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL261A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL262A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL263A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL264A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL557A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL558A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL559A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL692A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL693A,,condition,Funktionsattribut,Wertliste,Deutsch,new
