Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
JL319A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL319A,,Switch,Layer,L3,2,Wertliste,Attribut
JL319A,,Switch,Portanzahl,24,3,Wertliste,Attribut
JL319A,,Switch,Port-Konfiguration,20× 10/100/1000BASE-T + 4× Combo (10/100/1000BASE-T oder SFP),4,Wertliste,Attribut
JL319A,,Switch,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),5,Wertliste,Attribut
JL319A,,Switch,Uplink-Ports,"1 Uplink-Modulschacht (optional 4× SFP+ 10G, 40G-QSFP+ oder 4× HPE Smart Rate, separat)",6,Wertliste,Attribut
JL319A,,Switch,PoE,Nein,7,Wertliste,Attribut
JL319A,,Switch,Switching-Kapazität,128 Gbit/s,8,Wertliste,Attribut
JL319A,,Switch,Durchsatz,"95,2 Mpps",9,Wertliste,Attribut
JL319A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JL319A,,Switch,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, redundant, separat bestellt)",11,Wertliste,Attribut
JL319A,,Switch,Kühlung,Lüftergekühlt (Airflow front-to-back),12,Wertliste,Attribut
JL319A,,Switch,Stacking,"Backplane-Stacking (VSF, Ring bis 10 Einheiten, 100 Gbit/s je Switch; optionales Stacking-Modul)",13,Wertliste,Attribut
JL319A,,Switch,Betriebstemperatur,0 bis 55 °C,14,Wertliste,Attribut
JL319A,,Switch,Anwendung,Layer-3-Campus-Access und -Aggregation (ArubaOS-Switch) mit VSF-Backplane-Stacking,15,Wertliste,Attribut
JL320A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL320A,,Switch,Layer,L3,2,Wertliste,Attribut
JL320A,,Switch,Portanzahl,24,3,Wertliste,Attribut
JL320A,,Switch,Port-Konfiguration,"20× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 4× Combo (10/100/1000BASE-T PoE+ oder SFP)",4,Wertliste,Attribut
JL320A,,Switch,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),5,Wertliste,Attribut
JL320A,,Switch,Uplink-Ports,"1 Uplink-Modulschacht (optional 4× SFP+ 10G, 40G-QSFP+ oder 4× HPE Smart Rate, separat)",6,Wertliste,Attribut
JL320A,,Switch,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 840 W)",7,Wertliste,Attribut
JL320A,,Switch,Switching-Kapazität,128 Gbit/s,8,Wertliste,Attribut
JL320A,,Switch,Durchsatz,"95,2 Mpps",9,Wertliste,Attribut
JL320A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JL320A,,Switch,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, redundant, separat bestellt)",11,Wertliste,Attribut
JL320A,,Switch,Kühlung,Lüftergekühlt (Airflow front-to-back),12,Wertliste,Attribut
JL320A,,Switch,Stacking,"Backplane-Stacking (VSF, Ring bis 10 Einheiten, 100 Gbit/s je Switch; optionales Stacking-Modul)",13,Wertliste,Attribut
JL320A,,Switch,Betriebstemperatur,0 bis 55 °C,14,Wertliste,Attribut
JL320A,,Switch,Anwendung,Layer-3-Campus-Access und -Aggregation (ArubaOS-Switch) mit VSF-Backplane-Stacking,15,Wertliste,Attribut
JL321A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL321A,,Switch,Layer,L3,2,Wertliste,Attribut
JL321A,,Switch,Portanzahl,48,3,Wertliste,Attribut
JL321A,,Switch,Port-Konfiguration,44× 10/100/1000BASE-T + 4× Combo (10/100/1000BASE-T oder SFP),4,Wertliste,Attribut
JL321A,,Switch,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),5,Wertliste,Attribut
JL321A,,Switch,Uplink-Ports,"1 Uplink-Modulschacht (optional 4× SFP+ 10G, 40G-QSFP+ oder 4× HPE Smart Rate, separat)",6,Wertliste,Attribut
JL321A,,Switch,PoE,Nein,7,Wertliste,Attribut
JL321A,,Switch,Switching-Kapazität,176 Gbit/s,8,Wertliste,Attribut
JL321A,,Switch,Durchsatz,112 Mpps,9,Wertliste,Attribut
JL321A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JL321A,,Switch,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, redundant, separat bestellt)",11,Wertliste,Attribut
JL321A,,Switch,Kühlung,Lüftergekühlt (Airflow front-to-back),12,Wertliste,Attribut
JL321A,,Switch,Stacking,"Backplane-Stacking (VSF, Ring bis 10 Einheiten, 100 Gbit/s je Switch; optionales Stacking-Modul)",13,Wertliste,Attribut
JL321A,,Switch,Betriebstemperatur,0 bis 55 °C,14,Wertliste,Attribut
JL321A,,Switch,Anwendung,Layer-3-Campus-Access und -Aggregation (ArubaOS-Switch) mit VSF-Backplane-Stacking,15,Wertliste,Attribut
JL322A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL322A,,Switch,Layer,L3,2,Wertliste,Attribut
JL322A,,Switch,Portanzahl,48,3,Wertliste,Attribut
JL322A,,Switch,Port-Konfiguration,"44× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 4× Combo (10/100/1000BASE-T PoE+ oder SFP)",4,Wertliste,Attribut
JL322A,,Switch,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),5,Wertliste,Attribut
JL322A,,Switch,Uplink-Ports,"1 Uplink-Modulschacht (optional 4× SFP+ 10G, 40G-QSFP+ oder 4× HPE Smart Rate, separat)",6,Wertliste,Attribut
JL322A,,Switch,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 1.440 W)",7,Wertliste,Attribut
JL322A,,Switch,Switching-Kapazität,176 Gbit/s,8,Wertliste,Attribut
JL322A,,Switch,Durchsatz,112 Mpps,9,Wertliste,Attribut
JL322A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JL322A,,Switch,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, redundant, separat bestellt)",11,Wertliste,Attribut
JL322A,,Switch,Kühlung,Lüftergekühlt (Airflow front-to-back),12,Wertliste,Attribut
JL322A,,Switch,Stacking,"Backplane-Stacking (VSF, Ring bis 10 Einheiten, 100 Gbit/s je Switch; optionales Stacking-Modul)",13,Wertliste,Attribut
