Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
JL071A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,Layer,L3,https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,Portanzahl,24,https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,Port-Konfiguration,24× 10/100/1000BASE-T (MACsec),https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,Uplink-Ports,"1 Modulschacht (optional 4× SFP+ 10G, 40G-QSFP+ oder 4× HPE Smart Rate, separat)",https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,PoE,Nein,https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,Switching-Kapazität,160 Gbit/s,https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,Durchsatz,"95,2 Mpps",https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, redundant, separat bestellt)",https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,Kühlung,"Lüftergekühlt (austauschbarer Lüftereinschub JL088A, front-to-side/rear)",https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,Stacking,"Backplane-Stacking (dediziertes Stacking-Modul, bis 336 Gbit/s)",https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,Betriebstemperatur,0 bis 45 °C,https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL071A,Anwendung,Layer-3-Campus-Aggregation (ArubaOS-Switch) mit Backplane-Stacking und durchgängigem MACsec,https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL072A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL072A,Layer,L3,https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL072A,Portanzahl,48,https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL072A,Port-Konfiguration,48× 10/100/1000BASE-T (MACsec),https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL072A,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL072A,Uplink-Ports,"1 Modulschacht (optional 4× SFP+ 10G, 40G-QSFP+ oder 4× HPE Smart Rate, separat)",https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL072A,PoE,Nein,https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL072A,Switching-Kapazität,320 Gbit/s,https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL072A,Durchsatz,"190,5 Mpps",https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL072A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL072A,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, redundant, separat bestellt)",https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
JL072A,Kühlung,"Lüftergekühlt (austauschbarer Lüftereinschub JL088A, front-to-side/rear)",https://www.hpe.com/psnow/doc/c04843019,datasheet,2026-07-01T01:10:18Z
