Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
J9986A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9987A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9988A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9989A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9990A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9991A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9992A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9993A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9995A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9996A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9827A,,condition,Funktionsattribut,Wertliste,Deutsch,new
