Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
J9821A,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
J9821A,,Switch,Layer,L3,2,Wertliste,Attribut
J9821A,,Switch,Switching-Kapazität,"960 Gbit/s (Routing/Switching; Switch-Fabric 1.015 Gbit/s), 571,4 Mpps Durchsatz",8,Wertliste,Attribut
J9821A,,Switch,Bauform,19-Zoll-Rackmontage (4 HE),10,Wertliste,Attribut
J9821A,,Switch,Stromversorgung,"bis 2 Hot-Swap-Netzteile (5400R 700 W oder 1100 W PoE+ zl2; redundant; separat bestellt, Chassis ohne Netzteil)",11,Wertliste,Attribut
J9821A,,Switch,Kühlung,"Lüftergekühlt (Hot-Swap-Lüftertray J9831A, Airflow front-to-back)",12,Wertliste,Attribut
J9821A,,Switch,Anwendung,"Campus-Core/Aggregation (modularer Layer-3-Switch, ArubaOS-Switch)",15,Wertliste,Attribut
J9821A,,Switch,Steckplätze,6 zl2-Modul-Steckplätze (Management-Modul mit integrierter Fabric),16,Wertliste,Attribut
J9821A,,Switch,Unterstützte Supervisor-Engines,"HPE Aruba Networking 5400R zl2 Management Module (J9827A), bis 2 redundant; Weiterleitung im Management-Modul integriert (kein diskretes Fabric-Modul)",17,Wertliste,Attribut
J9821A,,Switch,Redundanz,"Management-Modul (bis 2, redundant), Netzteil (N+1, Hot-Swap) und Hot-Swap-Lüftertray; VSF-Stacking chassisübergreifend",18,Wertliste,Attribut
J9822A,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
J9822A,,Switch,Layer,L3,2,Wertliste,Attribut
J9822A,,Switch,Switching-Kapazität,"1.920 Gbit/s (Routing/Switching; Switch-Fabric 2.030 Gbit/s), 1.142,8 Mpps Durchsatz",8,Wertliste,Attribut
J9822A,,Switch,Bauform,19-Zoll-Rackmontage (7 HE),10,Wertliste,Attribut
J9822A,,Switch,Stromversorgung,"bis 4 Hot-Swap-Netzteile (5400R 700 W oder 1100 W PoE+ zl2; redundant; separat bestellt, Chassis ohne Netzteil)",11,Wertliste,Attribut
J9822A,,Switch,Kühlung,"Lüftergekühlt (Hot-Swap-Lüftertray J9832A, Airflow front-to-back)",12,Wertliste,Attribut
J9822A,,Switch,Anwendung,"Campus-Core/Aggregation (modularer Layer-3-Switch, ArubaOS-Switch)",15,Wertliste,Attribut
J9822A,,Switch,Steckplätze,12 zl2-Modul-Steckplätze (Management-Modul mit integrierter Fabric),16,Wertliste,Attribut
J9822A,,Switch,Unterstützte Supervisor-Engines,"HPE Aruba Networking 5400R zl2 Management Module (J9827A), bis 2 redundant; Weiterleitung im Management-Modul integriert (kein diskretes Fabric-Modul)",17,Wertliste,Attribut
J9822A,,Switch,Redundanz,"Management-Modul (bis 2, redundant), Netzteil (N+1, Hot-Swap) und Hot-Swap-Lüftertray; VSF-Stacking chassisübergreifend",18,Wertliste,Attribut
J9823A,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
J9823A,,Switch,Layer,L3,2,Wertliste,Attribut
J9823A,,Switch,Switching-Kapazität,"960 Gbit/s (Routing/Switching; Switch-Fabric 1.015 Gbit/s), 571,4 Mpps Durchsatz",8,Wertliste,Attribut
J9823A,,Switch,Bauform,19-Zoll-Rackmontage (4 HE),10,Wertliste,Attribut
J9823A,,Switch,Stromversorgung,"bis 2 Hot-Swap-Netzteile (5400R 700 W oder 1100 W PoE+ zl2; redundant; separat bestellt, Chassis ohne Netzteil)",11,Wertliste,Attribut
J9823A,,Switch,Kühlung,"Lüftergekühlt (Hot-Swap-Lüftertray J9831A, Airflow front-to-back)",12,Wertliste,Attribut
J9823A,,Switch,Anwendung,"Campus-Core/Aggregation (modularer Layer-3-Switch, ArubaOS-Switch)",15,Wertliste,Attribut
J9823A,,Switch,Steckplätze,6 zl2-Modul-Steckplätze (Management-Modul mit integrierter Fabric),16,Wertliste,Attribut
J9823A,,Switch,Unterstützte Supervisor-Engines,"HPE Aruba Networking 5400R zl2 Management Module (J9827A), bis 2 redundant; Weiterleitung im Management-Modul integriert (kein diskretes Fabric-Modul)",17,Wertliste,Attribut
